Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Arkansas	Retail & recreation	5.14	0.85	-3.26	4.26	1.96	4.8	3.24	-0.33	3.18	6.75	15.99	15.9	17.77	16.51	18.25	14.47	21.52	15.3	16.66	13.39	12.02	16.37	5.99	13.26	12.42	13.74	4.76	-7.48	-4.75	-6.35	-10.11	-11.99	-18.18	-22.75	-33.46	-40.74	-28.5	-29.76	-25.35	-23.81	-27.65	-38.71	-28.68
region	Arkansas	Grocery & pharmacy	3.62	-2.29	-3.8	1.02	-0.13	0.24	1.96	-1.13	-0.36	0.94	4.74	7.22	9.48	10.85	12.29	6.99	15.01	9.37	12.23	8.23	9.82	12.79	3.83	10.85	13.99	33.29	25.06	11.24	14.18	13.24	9.69	8.14	10.2	11.55	2.02	-10.6	-6.51	-8.76	-5.43	-4.3	-6.89	-13.92	-7.1
region	Arkansas	Parks	32.09	7.26	-3.27	24.12	3.41	19.41	17.89	-32.33	-8.65	14.7	8.04	28.21	48.31	69.64	21.43	25.64	57.5	35.65	80.41	73.07	80.14	77.54	-5.08	84.3	61.0	69.16	15.43	-20.92	-4.49	-19.76	24.66	49.98	17.12	29.5	22.56	-25.6	17.41	52.44	108.2	133.43	87.6	-0.88	80.79
region	Arkansas	Transit stations	-0.34	-1.4	-2.05	-0.07	1.17	2.5	1.69	0.83	-0.74	2.87	5.12	5.84	6.14	7.91	11.47	2.72	4.3	2.59	6.17	6.08	10.12	12.3	1.68	5.88	2.39	3.67	1.59	-1.4	0.66	-6.03	-6.29	-8.51	-10.24	-12.61	-11.83	-21.78	-18.25	-17.1	-17.62	-17.53	-21.51	-26.17	-22.44
region	Arkansas	Workplace	1.07	-16.24	0.43	3.12	1.33	2.18	2.98	0.65	1.26	1.98	3.26	2.51	3.22	3.78	2.57	2.76	2.8	3.81	2.99	2.93	4.14	3.19	1.21	2.52	3.64	1.99	-1.97	-0.21	-3.69	-15.56	-19.37	-21.55	-24.25	-26.27	-14.34	-25.77	-31.94	-34.66	-34.65	-35.87	-36.23	-22.78	-26.78
region	Arkansas	Residential	-0.68	4.53	1.34	-0.77	0.27	-0.64	-0.4	0.83	1.17	-0.1	-1.65	-1.71	-3.18	-3.34	-1.9	-0.7	-2.07	-1.73	-2.35	-2.41	-2.4	-1.92	1.64	-1.09	-1.18	-1.43	1.51	3.64	2.61	7.42	7.77	8.36	9.99	11.23	7.73	9.17	12.49	13.61	11.56	11.74	13.17	10.25	6.7
subregion	Arkansas County	Retail & recreation	-2.59	-9.65	-14.82	1.09	-3.91	-9.78	-9.33	-9.68	-3.56	-0.01	22.82	11.21	2.63	4.88	9.67	2.53	16.93	9.78	11.21	-4.51	4.44	6.44	-3.05	10.58	10.32	7.32	-11.28	-8.9	-16.78	-15.23	-9.53	-8.15	-13.17	-23.31	-28.0	-38.71	-25.38	-24.35	-15.76	-16.1	-21.81	-32.89	-21.94
subregion	Arkansas County	Grocery & pharmacy	3.38	-12.92	-15.5	-12.35	9.43	-7.01	-2.6	-1.7	-5.62	-7.05	13.57	18.23	3.99	6.49	16.94	3.37	30.98	11.11	14.46	10.99	3.9	18.63	2.25	28.17	22.22	32.07	12.99	6.49	13.55	6.74	25.35	-7.41	19.49	10.99	6.49	-3.4	-9.55	-4.23	-6.17	0.63	-8.0	-7.79	-6.79
subregion	Arkansas County	Parks																																											
subregion	Arkansas County	Transit stations																																											
subregion	Arkansas County	Workplace		-18.76	1.56	1.53	-2.31	-1.64	-0.01		2.33	3.12	-0.01	2.3	3.24	16.65		4.68	4.68	4.6	3.84	2.43	9.25		3.9	7.8	4.6	2.3	-0.01	12.95		-1.57	-7.83	-8.47	-12.32	-11.39	-0.01	-25.65	-14.86	-15.63	-15.39	-16.93	-29.28	-11.12	
subregion	Arkansas County	Residential																																											
subregion	Ashley County	Retail & recreation	-1.55	-8.19	-7.51	-1.88	-9.04	-12.69	-9.83	-2.32	-2.52	-5.63	5.61	12.04	5.84	14.11	13.83	8.79	14.37	-1.26	15.65	0.96	14.11	2.3	-0.01	4.36	3.74	13.24	-1.47	-4.3	-6.17	-8.19	-15.63	-11.88	-15.67	-26.84	-28.84	-32.32	-26.43	-28.13	-27.51	-21.69	-27.81	-26.39	-23.86
subregion	Ashley County	Grocery & pharmacy	-8.24	-6.4	-7.3	-4.26	-0.01	-6.61	-2.11	-10.59	5.32	-0.01	4.24	9.46	13.2	16.83	8.22	9.57	7.28	-5.32	9.46	4.7	3.15	11.76	9.57	4.16	10.63	16.83	11.31	11.57	5.87	15.94	10.41	7.44	14.73	9.43	5.25	-22.36	7.44	-7.3	-0.01	-6.33	4.7	-6.33	-3.54
subregion	Ashley County	Parks																																											
subregion	Ashley County	Transit stations																																											
subregion	Ashley County	Workplace	-6.25	-17.31	3.63	1.67	2.75	0.91	6.52	-4.16	8.65	2.72	1.67	9.18	4.54		4.17	8.65	2.72	-5.05	5.5	-0.91		6.25	8.65	6.37	-0.84	7.34	-1.82	8.69	-4.16	-9.62	-14.55	-19.33	-16.52	-22.73	-8.7	-16.67	-24.04	-31.81	-31.09	-25.69	-34.55	-8.7	-27.08
subregion	Ashley County	Residential																																											
subregion	Baxter County	Retail & recreation	3.12	2.89	1.72	6.43	6.55	7.6	3.81	5.0	7.05	3.96	19.14	18.48	24.81	13.55	18.12	19.19	25.51	22.0	22.18	19.79	14.26	21.87	9.78	10.68	20.74	15.79	14.63	1.13	11.03	5.43	-5.52	-1.25	-18.16	-16.79	-28.25	-37.71	-25.91	-30.69	-18.43	-20.85	-24.67	-38.7	-29.79
subregion	Baxter County	Grocery & pharmacy	10.91	5.29	-0.6	3.61	4.16	-3.01	4.07	-5.89	7.05	2.37	10.84	5.35	12.55	4.65	17.64	8.81	24.85	13.84	14.28	2.51	13.94	12.6	13.53	14.19	15.66	33.92	29.65	20.92	43.69	33.53	24.25	31.32	22.01	25.12	24.41	7.56	11.17	-5.33	13.24	-0.01	-5.03	2.9	-1.68
subregion	Baxter County	Parks																																											
subregion	Baxter County	Transit stations																																											
subregion	Baxter County	Workplace	-0.87	-2.1	-0.01	1.32	2.7	5.25	9.0	-7.77	3.13	0.99	2.98	4.74	2.8	10.64	0.86	4.17	5.64	3.97	4.4	5.95	8.18	-0.87	2.78	3.64	2.31	4.4	3.85	4.91	-6.04	-3.85	-10.97	-14.63	-12.55	-17.91	-11.49	-26.73	-17.78	-24.6	-23.93	-22.38	-25.63	-21.32	-25.87
subregion	Baxter County	Residential		1.62	-0.2	-1.57	0.41	0.63			1.68	0.18	-1.73	-1.02	-1.11			-0.76	-2.61	-2.23	-1.83	-0.79			1.88	-1.13	-1.65	-1.72	0.47			3.78	4.26	3.82	7.02	9.37			8.2	10.12	6.61	7.35	10.72		
subregion	Benton County	Retail & recreation	7.1	3.28	1.17	5.05	4.01	8.27	6.16	2.43	-2.47	4.77	9.97	12.71	16.23	15.07	12.82	7.64	13.99	10.51	12.88	12.8	10.11	12.11	0.99	9.61	11.93	12.63	6.49	-11.57	-9.29	-13.05	-15.29	-17.92	-28.2	-28.87	-40.05	-45.81	-35.17	-32.92	-28.77	-28.89	-34.24	-42.71	-35.61
subregion	Benton County	Grocery & pharmacy	2.86	-1.78	1.28	3.68	1.67	6.05	5.0	0.47	-1.78	-0.98	3.61	4.65	10.78	11.54	9.07	4.43	8.97	8.97	10.47	10.96	10.3	10.42	5.0	9.93	18.09	35.89	41.35	15.3	11.59	9.81	4.83	10.98	-3.11	9.82	-2.13	-16.31	-12.75	-13.63	-9.26	-10.68	-10.97	-15.91	-16.31
subregion	Benton County	Parks	17.21	30.49	8.25	47.82	9.67	56.98	49.99	-57.42	-23.41	4.58	5.43	46.23	92.46	141.65	5.25	38.28	81.64	67.38	133.32	118.26	151.17	40.65	-15.61	125.68	133.68	181.7	38.7	-28.58	-27.28	-31.21	41.28	113.03	-0.01	29.02	57.72	-37.33	31.2	96.32	211.93	208.58	132.24	47.01	55.97
subregion	Benton County	Transit stations	-7.74	0.0	1.29	6.08	-2.13	9.82	-4.39	-3.87	-4.8	9.03	3.38	4.26	4.62	-0.88	5.16	-1.8	0.65	2.02	-2.66	-10.41	-2.63	-7.74	-10.78	-10.32	-9.47	-13.83	-16.76	-20.18	-28.39	-40.71	-32.26	-35.14	-50.53	-46.82	-39.47	-61.29	-55.09	-52.26	-52.7	-59.04	-55.49	-55.26	-65.16
subregion	Benton County	Workplace	2.61	-12.94	1.97	6.1	1.86	5.3	3.17	0.13	3.29	2.26	4.9	2.69	6.26	3.75	3.03	4.31	3.17	5.98	2.43	5.51	2.35	-0.28	1.64	2.31	5.48	1.22	0.94	-3.53	-7.3	-29.86	-35.21	-35.88	-41.84	-40.51	-19.03	-31.41	-45.74	-48.65	-47.05	-49.85	-49.11	-25.97	-34.3
subregion	Benton County	Residential	-0.46	4.27	0.1	-1.02	-0.37	-2.38	-1.29	1.01	1.22	0.23	-0.46	-1.17	-3.9	-3.12	-1.33	-0.48	-1.43	-1.46	-1.89	-3.16	-2.13	-0.87	2.29	-0.25	-0.93	-1.07	0.27	4.75	3.97	12.29	13.14	13.16	17.25	15.34	9.18	10.55	17.34	18.85	16.28	16.95	17.41	11.05	8.69
subregion	Boone County	Retail & recreation	5.23	1.59	1.26	6.5	5.3	11.44	4.87	-0.42	3.89	9.19	20.62	15.92	20.59	17.99	16.32	16.46	25.76	19.69	16.09	15.3	18.72	13.59	9.02	14.05	15.61	21.58	12.15	-3.24	0.21	-1.95	-8.83	-3.54	-17.47	-22.32	-34.66	-37.87	-30.62	-32.61	-23.23	-24.83	-28.47	-35.99	-24.68
subregion	Boone County	Grocery & pharmacy	2.12	-0.51	-6.57	4.71	-4.98	7.11	8.73	-6.38	-2.51	-6.07	7.33	5.47	7.55	9.7	14.88	5.53	14.14	13.6	9.45	9.78	10.67	1.41	1.0	9.09	13.08	26.36	33.33	14.56	26.94	31.15	12.62	25.13	12.43	19.55	-4.86	-19.15	-6.03	-14.65	-7.86	-17.42	-15.12	-20.88	-17.02
subregion	Boone County	Parks																																											
subregion	Boone County	Transit stations																																											
subregion	Boone County	Workplace	-1.79	-8.39	0.29	2.68	0.87	2.79	-0.01	0.89	3.89	1.78	4.78	1.16	2.49	3.81	1.78	4.78	3.56	5.68	0.87	1.86	0.76	0.89	2.68	4.74	5.08	2.63	1.55	-3.82	-1.79	-11.69	-16.04	-16.77	-23.69	-24.93	-19.85	-31.26	-31.44	-36.51	-37.43	-40.94	-39.57	-27.48	-32.15
subregion	Boone County	Residential		2.89	1.11	-0.85	0.85	-0.26			0.57	0.45	-0.6	-0.65	-1.9			-1.46	-1.04	-2.01	-0.9	-1.78			0.69	-0.51	-1.54	-1.14	0.43			6.54	6.05	6.31	9.81	12.32			12.71	15.55	11.73	12.02	14.26		
subregion	Bradley County	Retail & recreation		-11.48	-6.57	1.65	-0.01	7.79	1.65		-0.01	-1.65	10.0	31.14	25.96	21.66		6.55	21.3	3.33	16.38	12.98	-3.34		6.55	11.47	1.65	11.47	1.29	-1.67	-22.51	-14.76	-16.4	-6.68	-14.76	-20.78	-26.68	-50.01	-31.15	-29.52	-20.01	-13.12	-14.29	-25.84	-27.51
subregion	Bradley County	Grocery & pharmacy	-5.56	-5.89	2.04	-13.73	4.24	-3.4	1.84	-11.12	-1.97	-0.01	-5.89	4.24	1.69	7.4	-1.86	-0.01	16.32	-1.97	12.76	-6.79	-7.41	-5.56	1.95	4.07	13.71		22.02	11.1	1.84	9.8	2.04	1.95		13.55	-0.01	-22.23	-7.85	-12.25	-5.89	-0.01	-3.4	-14.82	-16.67
subregion	Bradley County	Parks																																											
subregion	Bradley County	Transit stations																																											
subregion	Bradley County	Workplace		-23.33	-3.22	-1.61	0.0	-5.0			-6.67	-8.07	-3.22	-1.61	-5.0			5.0	1.61	-9.67	-3.22	-6.67			3.33	3.23	0.0	-1.61	-5.0			-8.34	-20.97	-25.81	-25.81	-36.67			-35.0	-32.26	-35.49	-30.65	-36.67		
subregion	Bradley County	Residential																																											
subregion	Carroll County	Retail & recreation	31.67	4.42	5.9	13.65	10.96	17.49	36.75	1.43	9.18	3.47	17.33	18.26	27.11	39.07	23.48	19.04	25.69	23.61	29.9	29.15	37.53	37.0	17.0	31.94	38.37	34.22	36.15	19.79	22.77	13.6	7.98	5.53	-13.96	-13.12	-29.05	-38.44	-21.77	-26.39	-18.83	-14.29	-26.53	-36.51	-27.41
subregion	Carroll County	Grocery & pharmacy	11.01	-0.01	-0.78	20.69	-2.16	5.44	7.85	-1.7	5.55	-3.12	12.06	-3.6	14.28	27.85	16.1	7.14	11.71	15.51	6.47	17.68	25.0	22.88	7.14	13.28	20.69	25.17	35.36	30.0	33.9	26.98	17.97	33.61	3.59	23.13	16.43	-1.7	9.51	-7.04	21.54	7.91	4.76	7.85	13.55
subregion	Carroll County	Parks																																											
subregion	Carroll County	Transit stations																																											
