Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	California	Retail & recreation	5.23	8.64	-0.21	0.42	2.02	1.33	0.09	4.24	1.88	2.88	4.83	4.75	4.36	3.96	4.68	6.02	8.23	4.48	4.63	2.19	0.15	2.06	3.08	-0.75	2.61	-3.19	-2.96	-13.47	-16.03	-11.63	-23.17	-29.04	-31.68	-39.6	-47.57	-49.65	-41.14	-41.84	-42.43	-42.12	-43.95	-49.68	-49.54
region	California	Grocery & pharmacy	0.44	0.74	0.35	-0.28	0.53	-0.38	-0.38	0.89	-0.15	1.45	2.9	2.86	4.1	4.39	3.22	5.83	9.29	6.47	6.9	5.26	4.35	3.1	6.34	4.4	9.11	13.1	30.95	22.9	11.1	21.32	10.91	4.22	3.31	-3.5	-12.83	-22.27	-17.92	-17.71	-18.58	-17.55	-17.33	-20.4	-24.32
region	California	Parks	30.52	44.2	15.68	12.85	12.11	8.4	-2.56	15.64	11.73	19.68	15.7	14.05	10.43	15.04	-4.06	8.25	29.77	15.21	10.99	7.3	0.32	11.06	12.38	-9.68	12.23	-14.77	-20.42	-37.44	-24.62	-27.24	-11.88	-19.68	-19.63	-22.12	-21.92	-23.79	-27.82	-31.08	-29.74	-28.46	-29.28	-47.7	-38.49
region	California	Transit stations	1.4	-12.09	2.74	0.84	1.25	-0.2	-3.94	2.7	1.41	3.12	2.75	3.4	2.41	0.64	-0.76	-0.03	1.78	-1.05	-1.36	-3.7	-5.93	-4.15	-6.75	-12.78	-9.92	-18.24	-21.34	-23.58	-22.53	-30.69	-34.28	-38.93	-42.84	-46.43	-46.55	-51.85	-52.37	-52.15	-52.45	-53.19	-53.66	-53.29	-54.44
region	California	Workplace	-0.51	-38.48	0.04	0.04	-0.17	0.91	0.98	1.6	3.96	3.09	2.32	2.05	3.19	2.38	1.36	3.75	2.68	1.94	1.54	1.61	1.53	0.76	0.7	-2.94	-2.7	-5.8	-7.65	-5.65	-8.2	-24.07	-32.92	-37.8	-40.35	-43.95	-32.71	-36.24	-48.57	-50.29	-50.85	-51.31	-49.8	-37.22	-39.43
region	California	Residential	-1.21	7.85	-0.16	0.08	-0.12	-0.06	0.74	-0.43	-0.31	-0.84	-0.99	-0.75	-1.09	-0.93	-0.1	-0.51	-1.36	-0.39	-0.35	0.08	0.74	0.47	0.77	2.67	1.7	3.92	4.71	6.22	5.95	10.51	14.06	16.52	18.04	21.09	15.92	14.12	21.12	22.0	22.45	22.93	23.65	17.65	15.19
subregion	Alameda County	Retail & recreation	6.62	12.75	-1.82	-1.09	0.94	0.89	0.87	4.42	-0.17	1.09	2.28	3.68	2.53	2.03	6.19	3.82	4.75	0.69	1.0	1.2	-5.73	-2.27	-0.15	-0.78	-0.97	-0.52	-6.31	-24.79	-25.12	-5.76	-44.13	-45.89	-44.94	-48.87	-57.81	-57.34	-48.87	-50.7	-49.36	-49.27	-52.47	-60.68	-57.97
subregion	Alameda County	Grocery & pharmacy	0.09	1.01	2.84	-0.01	0.71	0.89	3.11	4.09	-0.49	2.37	1.64	4.25	4.94	6.63	8.95	6.98	11.94	6.42	5.88	5.49	4.13	3.63	6.32	7.75	7.14	15.82	25.52	10.98	5.6	39.39	-4.21	-10.38	-8.83	-9.91	-17.61	-24.38	-22.73	-21.17	-20.15	-19.18	-19.91	-26.31	-27.01
subregion	Alameda County	Parks	23.72	55.47	20.62	13.51	13.37	8.01	17.85	26.22	9.32	25.5	19.67	23.07	7.83	13.49	15.08	7.49	40.8	23.03	11.97	-0.58	-22.92	13.66	18.07	28.74	30.75	26.24	3.46	-55.28	-40.8	-18.33	-9.63	-9.78	15.73	0.4	-10.08	-1.43	-23.3	-32.83	-4.24	-1.59	-11.48	-48.56	-13.99
subregion	Alameda County	Transit stations	5.0	-31.18	2.63	1.01	2.0	-1.01	-1.55	15.42	0.33	4.74	3.38	3.93	0.01	-4.39	1.01	-1.0	-0.49	-2.58	-5.51	-7.18	-13.72	-8.15	-15.36	-15.47	-18.49	-25.2	-30.36	-38.82	-35.79	-44.05	-61.39	-64.19	-65.51	-65.47	-60.12	-61.4	-71.12	-72.16	-69.69	-70.95	-70.17	-67.69	-63.63
