Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Connecticut	Retail & recreation	5.23	11.11	-1.06	1.87	1.78	0.85	9.52	8.56	4.13	1.07	4.85	3.24	3.53	9.02	10.39	7.17	6.13	6.48	6.67	1.6	9.79	8.05	8.53	3.86	5.2	5.3	-3.59	-7.3	-12.67	-7.0	-27.05	-26.82	-33.16	-31.77	-38.15	-43.09	-47.32	-42.93	-46.32	-41.21	-41.65	-48.49	-55.71
region	Connecticut	Grocery & pharmacy	-5.14	1.03	-4.9	-1.22	-1.32	-5.02	-1.29	0.23	1.86	-1.24	1.45	0.58	-0.39	0.46	5.17	8.12	9.54	8.08	7.62	1.15	5.51	3.15	8.09	8.87	12.29	33.97	30.25	16.03	4.27	26.06	8.22	6.21	2.37	11.55	0.74	-14.72	-23.83	-15.59	-19.14	-14.31	-15.69	-20.24	-31.87
region	Connecticut	Parks	-3.61	32.63	-14.46	12.29	2.33	-3.14	74.42	64.36	44.55	3.9	2.85	4.0	0.52	27.47	-0.59	30.53	18.93	21.94	28.6	1.3	49.77	55.06	94.65	23.62	30.01	9.57	5.92	95.37	55.9	16.1	-9.58	46.45	-12.41	11.86	100.1	27.07	-45.82	17.08	-21.17	54.68	55.22	28.71	-51.55
region	Connecticut	Transit stations	2.89	-0.68	0.05	3.56	2.95	1.37	9.72	13.99	3.07	0.8	2.39	2.54	2.81	5.73	10.13	2.5	5.21	3.51	5.08	1.71	7.35	9.5	1.56	0.43	-2.98	-8.57	-17.65	-11.66	-19.37	-24.53	-30.25	-30.27	-40.04	-40.63	-38.1	-47.96	-53.08	-46.11	-50.64	-48.18	-50.81	-54.92	-64.3
region	Connecticut	Workplace	-0.33	-29.22	-7.92	-0.13	1.57	1.23	3.02	2.26	3.61	2.47	1.53	2.84	2.95	2.49	3.25	3.72	3.15	2.04	3.42	1.73	2.72	1.78	2.08	1.07	-0.76	-2.11	-11.63	-2.95	-7.75	-23.32	-31.14	-33.91	-36.26	-37.02	-25.65	-28.77	-44.73	-47.48	-48.97	-48.21	-47.36	-35.44	-37.79
region	Connecticut	Residential	-0.26	6.39	2.87	0.04	0.29	0.67	-1.51	-0.98	-0.48	0.03	-0.43	-0.09	-0.39	-1.54	-0.9	-0.67	-0.74	-0.67	-0.97	0.51	-1.18	-0.38	-0.63	0.33	0.47	1.53	6.29	3.33	4.52	9.27	14.08	14.1	17.49	18.23	11.32	10.93	20.85	20.71	22.1	21.03	22.32	15.01	14.55
subregion	Fairfield County	Retail & recreation	-0.78	10.51	-2.21	1.1	0.75	-0.99	4.8	3.87	2.07	-1.07	2.57	1.28	1.18	4.76	4.75	3.8	3.37	4.98	5.2	0.15	6.46	4.03	5.3	3.12	3.78	0.76	-9.3	-14.03	-19.48	-11.89	-27.9	-29.22	-35.15	-35.4	-43.46	-48.8	-51.37	-44.51	-48.75	-44.72	-45.74	-55.1	-61.46
subregion	Fairfield County	Grocery & pharmacy	-6.12	1.94	-4.01	0.86	-0.86	-4.8	-1.37	-0.32	-0.53	-2.49	1.56	-1.05	-0.77	0.03	4.48	5.36	7.66	9.25	7.47	1.73	6.64	3.14	5.49	7.69	12.38	34.39	25.92	12.77	1.78	19.87	8.26	3.59	0.38	7.15	-0.47	-16.49	-28.54	-16.84	-20.78	-17.04	-17.63	-23.39	-35.3
subregion	Fairfield County	Parks	-0.58	52.58	-11.85	20.13	6.81	-1.26	74.55	71.53	43.95	2.61	-1.4	11.49	3.98	20.39	9.48	36.53	18.71	27.55	35.21	1.04	46.84	66.97	105.42	28.9	34.02	6.56	24.74	110.57	70.39	11.6	1.65	49.06	5.39	32.28	88.4	15.36	-56.05	22.03	-25.0	52.1	52.62	-13.36	-59.96
subregion	Fairfield County	Transit stations	3.11	-9.33	-1.01	2.42	3.11	3.2	9.91	17.87	-0.99	-0.85	0.91	0.56	3.03	6.28	10.03	-0.26	0.33	-1.52	0.98	0.54	1.38	8.06	-4.83	-7.75	-11.42	-16.91	-23.66	-18.88	-25.15	-35.65	-40.16	-42.04	-48.91	-49.97	-46.91	-56.63	-64.19	-58.18	-61.41	-59.31	-61.28	-63.44	-71.87
