Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Delaware	Retail & recreation	6.24	11.7	3.86	1.94	2.67	1.32	7.9	5.81	2.22	1.27	6.82	6.31	6.69	11.58	11.92	9.51	10.81	10.31	9.41	0.8	11.7	9.55	10.36	8.47	6.56	9.17	5.58	-0.73	-6.77	-0.24	-17.38	-22.74	-25.65	-25.01	-33.8	-38.3	-30.79	-42.25	-47.49	-37.59	-39.91	-50.56	-47.46
region	Delaware	Grocery & pharmacy	1.65	2.31	0.23	-0.17	0.77	-1.83	3.99	5.48	0.62	-2.97	2.4	2.8	2.77	3.96	6.59	4.21	6.18	4.41	5.27	-2.71	6.8	8.17	5.09	5.78	6.6	18.4	18.31	10.94	5.85	15.14	4.06	0.71	-0.29	0.68	-6.78	-13.18	-9.43	-21.69	-28.77	-18.41	-22.07	-31.88	-28.38
region	Delaware	Parks	21.13	35.29	32.16	6.9	-2.54	-11.47	60.06	59.93	19.48	-10.09	-0.01	-2.18	-2.87	8.95	6.93	32.71	17.82	37.08	27.16	-17.84	38.8	71.28	83.08	27.9	23.99	16.65	34.39	83.57	38.48	8.82	36.04	38.9	13.39	75.15	55.59	-4.74	-46.32	23.63	-44.37	51.44	28.66	-44.79	-6.32
region	Delaware	Transit stations	3.66	5.74	7.0	5.48	5.76	1.17	16.37	11.01	2.64	-3.62	3.2	1.77	1.36	10.05	1.22	3.97	4.51	7.09	8.42	-1.37	14.65	14.37	3.75	2.25	1.14	0.22	-8.97	-2.88	-16.21	-15.45	-21.22	-24.03	-39.25	-36.85	-37.64	-52.6	-49.89	-46.05	-50.34	-40.57	-48.35	-54.89	-57.5
region	Delaware	Workplace	1.65	-22.82	2.99	2.09	2.36	2.37	4.95	1.65	3.6	2.44	2.23	1.78	2.51	6.2	3.45	3.89	3.13	1.3	1.96	1.13	5.83	1.95	1.74	1.3	0.6	-1.82	-4.98	0.24	-8.34	-19.25	-26.51	-30.43	-32.95	-34.47	-20.81	-29.06	-39.44	-43.7	-46.4	-44.86	-44.21	-33.98	-36.56
region	Delaware	Residential	-0.91	4.48	-0.58	-0.35	-0.25	0.26	-1.15	-1.17	-0.77	0.75	-0.76	-0.44	-0.87	-1.41	-1.19	-1.34	-1.12	-1.23	-1.16	1.31	-1.24	-1.5	-1.24	-0.27	-0.28	0.47	2.75	2.24	3.49	6.99	10.59	11.93	14.22	14.62	10.53	9.75	16.67	18.31	21.26	18.43	20.12	15.58	11.85
subregion	Kent County	Retail & recreation	4.64	10.19	7.35	4.29	4.34	2.5	8.99	5.69	3.09	5.97	8.96	10.55	9.48	13.76	15.24	13.24	16.57	12.58	13.54	4.26	14.61	10.33	10.87	11.26	6.23	10.12	6.91	-0.36	-8.0	2.45	-13.49	-19.42	-21.54	-23.74	-32.73	-35.11	-26.27	-40.16	-45.66	-35.15	-39.42	-49.0	-44.85
subregion	Kent County	Grocery & pharmacy	1.98	1.64	-1.13	-0.32	0.12	-1.02	4.54	5.45	-0.34	-3.41	0.98	0.77	-0.12	1.09	4.53	-0.86	4.33	1.03	0.57	-5.98	6.29	5.24	1.58	1.2	2.53	12.75	15.18	10.48	1.41	13.47	3.07	-0.78	-1.93	-2.85	-6.19	-12.47	-9.14	-23.57	-31.08	-21.42	-23.37	-30.23	-32.32
subregion	Kent County	Parks	19.99			-5.56	-2.08	-3.7	17.64	63.07			-9.26	2.08	3.7	-5.89	9.23			20.36		-12.96	11.76	46.14			24.07		33.33	41.17	26.15			33.33	16.67		4.41	3.08	-36.18		-44.44		37.04	-35.29	1.53
subregion	Kent County	Transit stations		-3.34	13.78	3.38	5.35	-1.48			-8.34	-8.63	-1.7	-3.58	1.46			3.33	12.06	-6.79	8.92	-14.71			1.65	1.72	-6.79	-0.01	-8.83			-6.68	-5.18	-20.35	-28.58	-27.94	-16.67		-45.01	-27.59	-42.38	-28.58	-41.19	-50.01	
