Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Florida	Retail & recreation	3.64	5.44	2.79	2.85	2.09	-0.15	2.51	4.93	2.88	3.18	4.68	7.77	5.36	6.03	8.47	6.78	7.75	6.46	4.87	3.15	3.7	3.85	4.53	4.96	5.56	5.05	1.44	-6.05	-8.76	-5.9	-11.4	-18.95	-23.44	-28.93	-39.41	-43.21	-36.9	-37.77	-38.0	-39.93	-43.52	-48.65	-49.59
region	Florida	Grocery & pharmacy	0.98	0.56	1.6	0.02	0.81	-1.32	0.11	2.43	1.34	1.39	0.72	5.62	4.45	3.92	6.67	6.86	9.76	5.52	5.49	3.41	3.31	3.33	4.55	6.42	6.9	16.65	21.62	15.75	9.38	14.27	13.84	7.1	5.58	5.98	-3.45	-12.47	-11.58	-11.56	-12.92	-14.26	-17.41	-22.53	-25.8
region	Florida	Parks	7.59	23.79	12.54	15.11	9.84	-12.17	7.84	19.82	11.92	5.91	-9.31	2.37	4.38	8.12	9.93	7.66	10.17	14.35	8.46	9.3	12.61	-0.81	6.01	11.26	19.68	17.48	14.42	8.03	11.67	-0.1	0.71	-0.39	-7.43	-15.25	-33.4	-33.12	-33.02	-33.26	-33.09	-34.09	-37.94	-48.32	-48.27
region	Florida	Transit stations	2.24	-0.0	6.3	4.51	3.97	0.35	2.47	4.24	2.69	4.65	3.74	6.73	4.69	5.69	7.03	3.1	3.49	1.49	2.04	-1.0	2.06	1.37	-0.87	1.47	-1.08	-2.46	-8.0	-9.97	-12.53	-16.07	-18.24	-26.49	-32.57	-37.68	-42.46	-49.08	-46.14	-45.7	-48.41	-50.94	-55.13	-59.45	-62.7
region	Florida	Workplace	-1.5	-18.73	1.42	1.58	1.29	0.42	1.08	0.47	2.03	1.82	1.34	1.53	1.2	1.88	1.16	1.1	1.92	1.45	1.27	1.39	1.71	-0.45	-0.19	0.01	-0.17	-1.39	-5.08	-1.24	-5.92	-18.16	-22.32	-26.21	-28.69	-31.03	-25.54	-32.51	-36.19	-39.11	-40.48	-41.62	-42.66	-35.97	-40.7
region	Florida	Residential	0.14	3.56	-0.12	-0.15	-0.23	1.13	-0.47	-0.22	-0.19	0.27	0.34	-0.74	-0.56	-1.74	-0.76	-0.42	-0.49	-0.31	-0.18	-0.12	-1.01	0.55	0.33	0.44	0.12	0.3	1.89	1.51	2.82	6.02	8.27	10.37	11.78	14.03	10.72	10.69	14.75	16.48	16.87	17.56	19.95	14.2	13.16
subregion	Alachua County	Retail & recreation	3.12	2.46	1.73	0.24	-0.11	-0.99	-1.35	0.61	0.31	-2.03	3.05	9.46	6.15	0.35	3.1	2.12	4.81	3.6	-1.22	0.08	-0.99	4.48	3.56	4.54	6.25	5.48	2.54	-8.03	-11.7	-7.71	-13.36	-20.51	-24.94	-30.47	-41.86	-44.83	-35.58	-46.16	-46.08	-47.24	-48.1	-54.38	-53.87
subregion	Alachua County	Grocery & pharmacy	-1.26	-3.13	-0.13	-2.1	-1.13	-3.32	-1.93	-0.14	-1.02	-7.77	-3.34	5.51	6.97	3.56	4.86	4.4	5.15	1.43	0.59	1.03	2.33	3.52	4.09	4.48	9.12	13.28	16.45	13.72	6.65	10.67	9.16	2.86	-0.48	3.48	-2.4	-10.71	-3.39	-19.97	-20.16	-20.39	-20.6	-22.08	-26.41
subregion	Alachua County	Parks	2.63	11.34	8.55	17.29	1.59	-18.96	2.98	19.92	10.27	-41.71	-31.89	10.63	3.32	-7.76	15.78	12.42	14.44	17.84	1.06	9.95	0.89	13.53	8.64	12.29	15.14	20.74	13.27	-11.35	14.28	2.7	8.02	-2.16	-6.38	-16.6	-30.75	-18.05	-21.09	-28.88	-30.27	-13.83	-24.64	-45.08	-32.33
subregion	Alachua County	Transit stations	-5.06	2.43	3.97	0.17	-1.91	-3.24	-2.69	-4.34	1.57	-2.18	1.22	4.67	5.0	0.41	-4.34	-11.18	-5.8	-10.14	-8.15	-8.9	-1.45	6.72	1.39	3.25	-3.16	0.17	-2.92	-2.69	-8.19	-15.02	-16.5	-22.57	-20.63	-29.41	-25.93	-34.86	-34.73	-39.86	-41.09	-41.43	-44.12	-45.69	-47.84
