Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Georgia	Retail & recreation	-1.68	3.61	-4.38	1.7	-6.44	1.53	4.66	2.28	-4.86	4.75	8.72	9.69	8.63	12.54	12.72	4.35	9.91	2.74	1.38	7.06	9.92	7.63	6.72	5.32	6.38	8.03	2.86	-4.32	-11.76	-8.45	-14.1	-18.24	-20.55	-24.31	-31.01	-39.44	-35.14	-35.02	-32.94	-34.3	-34.85	-39.06	-42.26
region	Georgia	Grocery & pharmacy	-5.33	0.86	-5.27	-0.04	-7.4	-1.23	0.3	0.76	-4.28	2.27	2.64	4.58	4.16	6.33	7.42	3.24	11.3	-0.34	0.2	2.81	5.45	4.28	7.81	7.64	7.15	24.02	32.55	17.19	8.15	18.22	13.16	7.0	10.03	7.53	3.68	-10.21	-6.13	-6.25	-7.96	-8.06	-9.23	-9.84	-16.55
region	Georgia	Parks	-18.68	23.91	-23.06	1.69	-35.51	22.99	47.92	20.44	-20.86	9.31	5.01	6.2	29.77	40.41	48.98	-9.46	-0.04	-19.3	-29.93	44.41	78.59	56.95	53.11	18.25	38.43	22.78	38.57	50.01	1.9	-4.32	11.51	23.51	27.37	46.13	33.44	-17.9	-39.62	-22.55	19.07	3.12	33.14	13.56	-2.05
region	Georgia	Transit stations	-4.67	-0.03	1.47	3.21	-0.75	4.09	4.45	3.37	-2.07	0.68	4.01	6.06	7.45	12.11	8.37	0.03	-0.16	-1.64	-0.94	5.16	8.94	3.93	-0.23	-2.77	-0.42	-1.95	-4.52	-3.95	-12.66	-19.85	-21.41	-24.14	-28.96	-30.48	-26.89	-41.7	-43.19	-40.27	-39.4	-42.52	-44.52	-43.0	-51.62
region	Georgia	Workplace	-3.2	-18.58	-4.89	-2.47	-4.33	-2.89	3.58	0.92	1.44	2.12	1.49	1.58	1.99	3.9	2.13	2.38	1.39	-0.31	-1.18	0.7	4.9	1.18	1.84	-0.5	-1.1	-1.5	-7.59	-0.19	-8.96	-19.63	-25.29	-29.24	-30.92	-31.91	-17.87	-29.21	-37.59	-40.85	-41.92	-42.51	-42.34	-28.12	-36.63
region	Georgia	Residential	0.63	3.78	3.16	0.77	3.77	0.31	-1.08	-0.55	1.44	0.3	-1.12	-1.0	-2.4	-2.53	-1.97	-0.04	0.45	1.27	2.42	-1.76	-2.32	-1.1	-1.12	0.99	-0.35	0.04	1.39	1.57	3.44	7.32	10.53	11.5	12.84	13.14	8.77	9.75	16.25	18.33	16.74	18.01	17.62	11.64	11.08
subregion	Appling County	Retail & recreation	-1.78	-6.08	-0.01	5.88	-7.34	2.45	-1.34	0.44	-2.84	2.43	16.38	17.37	8.3	2.66	13.77	9.71	10.93	0.42	-8.49	7.69	1.99	7.99	3.24	4.05	10.91	15.44	28.91	50.66	8.88	-3.24	-8.1	-1.68	-9.65	-15.39	-16.0	-22.23	-17.01	-21.87	-23.53	-23.16	-29.54	-28.0	-28.45
subregion	Appling County	Grocery & pharmacy	5.81	-0.01	-6.25	-0.01	-9.74	3.22	-0.94	-2.33	2.82	1.79	6.47	9.73	10.48	20.56	15.11	11.32	1.79	-4.63	-27.44	7.25	10.28	-0.01	10.37	3.57	7.4	11.49	55.63	86.91	36.62	16.03	-0.89	3.7	4.42	8.06	7.47	6.97	2.82	-6.25	-6.48	-8.85	-5.65	-13.09	-16.28
subregion	Appling County	Parks																																											
subregion	Appling County	Transit stations																																											
subregion	Appling County	Workplace	8.5	-14.09	2.87	1.43	1.44	3.02	10.33		-3.53	1.43	1.43	3.61	0.75	5.16	8.5	0.69	-0.01	-2.15	-17.4	-9.86	8.61		-5.64	-2.17	-0.72	4.34	-7.59	5.16	2.11	-12.68	-15.12	-12.16	-18.13	-19.7	-1.73	-14.9	-26.06	-25.91	-27.14	-26.1	-28.04	-20.7	-19.15
subregion	Appling County	Residential																																											
subregion	Atkinson County	Retail & recreation						-4.09							10.19						-48.72	-8.16							12.24							-10.21							-28.58		
subregion	Atkinson County	Grocery & pharmacy	-0.01	16.06	1.81	7.01	1.72	2.77	8.1	15.68	14.28	16.36	7.01	12.06	9.71	12.15	9.8	24.99	16.36	5.25	5.16	13.88	1.35	11.76	3.57	12.72	12.27	13.78	18.04	22.96		32.14	38.17	21.04	31.02	15.27	22.96		23.2	18.17	8.76	22.4	8.32	12.15	11.76
subregion	Atkinson County	Parks																																											
subregion	Atkinson County	Transit stations																																											
subregion	Atkinson County	Workplace		-15.79	-7.02	1.72	1.75	5.56			7.01	1.75	0.0	-1.76	1.85			5.26	-1.76	3.45	-5.27	-7.41			3.5	3.5	0.0	0.0	-1.86			-7.02	-10.53	-17.24	-10.53	-16.67			-19.3	-21.06	-27.58	-21.06	-25.92		
subregion	Atkinson County	Residential																																											
subregion	Bacon County	Retail & recreation	10.63	-4.82	-6.74	2.38	-2.25	-0.89	4.71		8.43	4.48	20.23	16.85	23.01	22.35		22.89	20.22	14.28	15.73	12.38	32.94		16.86	19.09	19.04	22.46	17.69	23.52		6.02	-10.11	-4.76	-1.12	-7.08	-4.71	-19.15	-8.44	-19.11	-5.96	-5.62	-12.4	2.35	-25.54
subregion	Bacon County	Grocery & pharmacy	-9.6	-21.28	-8.51	17.95	-3.27	2.82	-10.23	-2.74	1.06	-4.79	20.5	2.17	6.6	22.72	-0.01	-0.01	4.25	21.79	3.26	-0.95	15.9	2.74	4.25	-4.26	10.25	2.17	11.32	-3.41	5.47	6.38	6.38	17.95	14.13	2.82	11.36	-4.12	1.06	-1.07	15.38	-4.35	-9.43	-15.92	-15.08
subregion	Bacon County	Parks																																											
subregion	Bacon County	Transit stations																																											
subregion	Bacon County	Workplace		-17.58	-10.54	-2.64	-2.71	-3.04			-9.47	-3.95	-0.01	1.34	-3.04			2.69	-2.64	-7.9	-4.06	1.5			2.69	-3.95	-0.01		-0.01			-5.42	-7.9	-13.17	-5.42	-6.07			-20.28	-15.8	-22.38	-22.98	-19.71		
subregion	Bacon County	Residential																																											
subregion	Baldwin County	Retail & recreation	0.33	8.78	-2.98	2.93	-6.82	6.07	5.04	7.15	0.96	10.33	13.69	20.99	22.21	26.7	25.59	21.65	21.15	6.91	6.8	14.84	17.32	18.25	14.33	12.84	11.48	12.89	13.79	4.68	5.96	9.6	-2.68	-11.5	-10.65	-18.61	-25.04	-34.31	-28.67	-33.86	-31.97	-31.21	-34.28	-34.91	-34.13
subregion	Baldwin County	Grocery & pharmacy	-10.46	-6.05	-14.39	-4.47	-19.64	-2.69	-9.71	-5.89	-11.43	-6.08	-0.01	0.3	2.94	1.65	-0.67	3.16	0.62	-4.15	-7.98	-0.55	0.26	-1.97	1.89	-2.89	2.22	9.2	15.0	0.55	4.56	13.95	8.62	5.4	11.03	1.87	-3.33	-10.46	-7.95	-13.74	-10.52	-11.66	-12.34	-14.69	-20.27
subregion	Baldwin County	Parks																																											
subregion	Baldwin County	Transit stations																																											
subregion	Baldwin County	Workplace	-6.61	-14.29	0.65	0.97	-1.3	2.37	4.92	1.65	1.7	1.3	2.6	2.26	3.74	3.52	1.65	4.08	1.96	0.32	-1.3	1.02	3.52	2.47	3.4	2.61	2.6	1.62	-3.4	-2.82	-9.09	-3.06	-14.06	-17.59	-18.51	-20.41	-13.38	-23.15	-27.55	-31.38	-31.6	-32.14	-32.66	-25.35	-30.58
subregion	Baldwin County	Residential		4.0	4.03	1.29	5.11	-0.06			2.28	1.24	-1.6	-1.26	-3.66			-1.19	0.53	1.55	3.1	-1.68			-1.26	-0.37	-1.84	-1.43	-1.29			1.22	5.74	6.64	7.29	8.11			11.84	11.97	12.54	12.74	12.73		
subregion	Banks County	Retail & recreation	-0.31	6.68	-1.33	2.43	-4.62	6.14	5.71	7.5	-6.15	5.1	15.17	21.84	15.06	22.23	22.51	4.69	12.85	14.04	8.34	12.27	13.21	15.46	8.31	10.96	10.11	14.38	10.6	-3.69	-3.68	-6.87	-10.02	-16.1	-26.82	-24.68	-31.52	-34.46	-33.45	-36.87	-23.97	-25.22	-27.47	-36.21	-34.77
subregion	Banks County	Grocery & pharmacy																																											
subregion	Banks County	Parks																																											
subregion	Banks County	Transit stations																																											
subregion	Banks County	Workplace	7.4	-12.51	4.36	9.19	2.52	3.31	-1.63	1.84	3.74	5.61	8.57	8.22	8.6	14.5	5.55	4.36	3.12	11.65	8.22	9.26	11.28	1.84	-4.38	5.61	4.29	7.58	7.94	6.44	-3.71	-8.76	-8.13	-17.19	-17.73	-19.88	3.22	-14.82	-18.76	-19.38	-23.32	-22.16	-23.19	-3.23	-18.53
subregion	Banks County	Residential																																											
subregion	Barrow County	Retail & recreation	-3.25	1.22	-8.65	0.91	-7.61	5.83	4.89	4.6	-8.86	3.99	12.02	11.8	11.24	8.65	10.94	-0.29	9.29	6.42	1.96	5.98	7.71	8.28	6.5	2.59	5.77	11.8	8.1	-5.52	-12.48	-13.86	-15.52	-17.36	-17.81	-17.54	-26.81	-34.2	-33.65	-35.23	-29.66	-28.36	-26.74	-33.85	-35.48
subregion	Barrow County	Grocery & pharmacy	-4.35	-1.06	-11.64	0.82	-5.62	-2.04	-1.6	-1.98	-6.71	-1.44	1.03	4.56	3.69	5.46	2.16	3.76	6.52	-0.84	1.03	-2.59	5.28	-1.19	5.23	-1.44	3.12	24.94	37.08	17.28	4.13	24.72	8.97	10.0	13.92	16.6	3.16	-7.89	-2.11	-9.19	-2.09	-4.37	0.55	-3.36	-12.43
subregion	Barrow County	Parks																																											
subregion	Barrow County	Transit stations																																											
subregion	Barrow County	Workplace	-1.61	-17.17	1.5	1.48	-0.12	3.03	1.99	2.42	-0.12	3.01	2.29	1.38	1.34	2.32	1.61	2.33	2.67	0.91	2.19	2.06	1.32	-2.42	1.51	1.62	0.91	0.46	-11.53	1.32	-6.85	-16.47	-18.91	-23.77	-25.26	-28.4	-17.61	-26.21	-31.89	-33.76	-34.74	-35.41	-37.14	-25.26	-33.87
subregion	Barrow County	Residential	0.97	4.36	2.81	0.87	3.57	-0.98	-1.56	-1.14	2.45	0.33	-0.44	-1.1	-2.66	-2.42	-1.94	1.03	0.7	1.43	2.41	-1.72	-2.48	-1.34	0.12	0.76	-0.39	-1.12	2.07	1.44	3.18	7.12	8.91	10.78	11.34	12.0	7.61	8.97	15.79	17.88	15.3	16.17	16.15	10.52	
subregion	Bartow County	Retail & recreation	1.64	7.64	-2.45	8.37	-3.5	3.11	4.62	2.53	-4.8	8.65	13.06	12.43	12.63	15.66	15.18	7.64	15.83	8.43	4.63	7.73	11.09	13.06	11.79	6.63	6.26	4.83	-4.42	-13.44	-21.48	-12.22	-19.76	-22.18	-24.19	-28.81	-38.44	-45.42	-42.32	-41.11	-36.06	-35.17	-36.92	-43.05	-41.59
subregion	Bartow County	Grocery & pharmacy	3.17	8.77	-2.31	10.29	4.53	8.67	8.74	7.57	2.57	8.46	13.52	15.86	9.59	15.88	12.72	10.59	17.26	14.59	10.87	8.67	13.45	15.3	17.54	14.48	18.12	41.08	35.74	20.45	5.76	20.72	13.71	10.75	15.86	11.56	11.03	-4.55	-2.42	-2.01	2.15	5.29	4.46	-2.29	-4.7
subregion	Bartow County	Parks	-5.5	29.4	-25.68	-5.72	-37.18	8.56	101.27	29.67	-23.53	18.92	10.0	5.12	22.85	70.5	69.22	-20.59	13.51	-15.72	-23.08	30.0	114.09	60.44	80.87	18.92	38.57	14.1	18.57	69.22	-9.89	2.93	39.18	37.14	99.99	75.71	135.89	23.07	-35.29	-1.35	77.13	84.61	82.85	126.91	39.55
subregion	Bartow County	Transit stations	-1.44	4.06	1.72	-0.84	-0.29	2.63	3.38	-1.08	-5.53	2.57	-2.22	9.62	3.69	21.68	12.13	1.15	2.29	-5.25	9.06	5.8	18.97	13.92	1.73	4.3	5.77	8.77	3.43	8.8	2.14	-2.04	0.28	1.64	5.37	-1.33	4.74	-6.44	-11.35	-8.06	-4.97	-6.52	-18.48	-15.6	-25.0
