Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Hawaii	Retail & recreation	4.35	5.08	-0.3	-0.82	1.7	1.34	2.84	2.08	0.96	1.23	1.58	2.8	2.18	0.76	1.99	0.46	1.4	-0.79	0.99	-1.27	0.15	-0.34	-1.73	-1.89	-2.12	-1.99	-3.75	-6.24	-7.99	-9.75	-17.5	-20.44	-22.84	-30.53	-39.99	-41.87	-37.8	-45.15	-50.44	-51.27	-52.05	-55.84	-56.16
region	Hawaii	Grocery & pharmacy	2.57	-3.93	-1.64	-2.27	0.79	-0.95	1.27	-0.0	-0.72	-0.34	2.27	3.71	1.75	1.24	2.27	0.93	5.05	1.19	6.25	1.03	3.52	2.4	1.01	0.04	0.62	5.33	9.13	6.41	4.87	7.3	0.63	-0.21	-1.62	-5.33	-14.14	-16.08	-14.56	-21.86	-30.47	-32.38	-31.55	-36.32	-36.4
region	Hawaii	Parks	15.01	13.83	0.66	1.26	6.24	7.35	20.16	15.56	5.54	5.3	8.76	2.54	-1.3	0.24	-6.89	-7.01	-0.5	6.57	-0.77	-8.4	3.98	3.39	-6.4	0.99	3.74	-12.01	-8.14	1.64	-7.24	-33.68	-42.54	-23.37	-31.07	-29.39	-37.51	-42.62	-58.55	-61.9	-65.27	-69.04	-69.49	-64.89	-65.08
region	Hawaii	Transit stations	4.26	-1.53	6.11	2.09	2.3	1.92	-0.07	2.3	4.43	0.96	-0.87	-0.92	-0.65	-0.8	-0.41	-1.6	-3.3	-6.0	-4.35	-3.02	-4.01	-2.22	-3.12	-4.27	-5.67	-8.82	-7.95	-9.32	-11.41	-14.89	-22.05	-26.89	-31.41	-33.82	-39.88	-43.4	-43.97	-50.21	-55.73	-65.83	-66.05	-70.23	-71.95
region	Hawaii	Workplace	-0.66	-47.49	-0.71	-0.36	0.39	2.33	0.9	0.98	1.8	-0.34	0.54	0.39	1.78	0.64	1.38	2.19	0.89	0.89	0.95	1.72	1.4	0.71	1.31	-0.0	-0.24	-1.31	-0.65	-3.54	-5.33	-17.04	-22.89	-24.9	-28.35	-31.5	-26.82	-30.22	-34.85	-42.23	-45.83	-53.09	-45.93	-43.27	-45.38
region	Hawaii	Residential	-0.55	11.38	0.88	1.01	0.29	-0.47	-1.01	-0.13	-0.47	0.5	-0.09	-0.18	-0.59	-0.19	1.0	0.02	0.43	0.19	0.18	0.07	-0.17	0.61	0.56	1.0	0.83	1.94	1.67	1.88	3.03	7.03	11.72	11.71	13.62	15.81	12.32	11.42	16.05	20.48	22.38	25.3	25.04	18.28	16.06
subregion	Hawaii County	Retail & recreation	4.05	1.98	1.78	0.04	4.99	2.06	1.76	1.63	0.63	0.7	1.96	2.82	4.16	2.19	1.36	2.4	0.12	-0.41	2.37	1.69	-0.01	-2.19	-1.94	-2.98	-1.31	-0.37	-1.66	-8.06	-5.69	-4.48	-12.45	-19.15	-23.91	-27.93	-39.74	-42.9	-38.09	-36.09	-53.45	-55.84	-53.42	-59.38	-60.79
subregion	Hawaii County	Grocery & pharmacy	1.92	-2.99	0.56	0.65	-0.28	0.39	1.9	-3.69	-0.9	-3.11	1.04	0.99	-1.69	-0.01	-7.8	-2.24	-3.4	1.58	7.03	5.44	2.41	-3.83	1.64	-1.7	2.1	3.37	7.63	-0.38	-6.02	5.96	-0.71	-5.12	-5.07	-2.6	-19.78	-26.54	-13.73	-10.19	-34.43	-36.9	-32.78	-38.53	-46.93
subregion	Hawaii County	Parks	17.72	31.73	14.91	5.57	19.53	7.22	15.15	12.84	10.78	14.91	5.37	16.78	0.2	2.96	-7.78	6.43	-14.52	-0.2	11.49	-6.23	-6.1	-6.33	-6.85	1.79	1.39	11.95	-6.83	-15.51	-5.07	-9.33	-23.07	-22.51	-13.34	-27.11	-53.83	-57.51	-65.97	-58.25	-78.28	-75.4	-75.3	-71.08	-77.04
subregion	Hawaii County	Transit stations	8.71	18.28	20.12	10.96	4.65	3.49	2.19	5.57	2.52	4.15	3.13	4.65	2.04	5.96	1.03	4.73	-4.48	-4.09	-1.88	-0.01	-5.99	-5.58	-0.32	-0.32	-1.89	-6.22	-0.59	1.25	-7.67	1.25	-10.23	-19.13	-26.72	-35.28	-45.29	-49.83	-48.59	-53.04	-61.76	-73.3	-73.77	-80.82	-83.98
