Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Iowa	Retail & recreation	9.69	-2.46	-2.8	-3.46	-0.72	9.22	9.68	13.69	0.82	-2.23	6.89	5.19	11.44	13.5	20.06	5.61	8.0	9.44	2.81	12.78	13.36	18.26	-0.88	4.65	7.85	5.3	9.84	-7.04	0.05	-2.66	-21.04	-32.22	-37.32	-35.44	-43.66	-45.58	-38.71	-40.81	-39.09	-39.63	-39.57	-48.4	-42.75
region	Iowa	Grocery & pharmacy	17.7	4.77	6.18	5.68	5.01	6.41	14.46	21.87	10.97	2.94	10.19	3.06	11.03	18.4	28.64	12.69	15.49	17.05	5.51	14.7	22.4	27.6	9.87	15.53	22.06	21.66	33.03	18.3	29.63	47.88	34.38	16.94	4.14	9.9	6.31	-6.8	-2.37	-4.62	-3.17	-9.74	-4.62	-7.71	-9.66
region	Iowa	Parks	16.15	-8.2	5.05	-2.31	0.14	12.68	51.27	83.3	7.7	7.1	5.5	12.66	15.05	48.36	109.77	18.51	35.53	52.36	12.05	46.71	82.93	140.4	-5.25	36.16	49.6	31.13	38.76	-16.37	18.24	15.23	65.07	0.6	-7.18	-5.45	22.27	-13.18	20.81	53.07	47.62	53.73	25.66	8.0	40.8
region	Iowa	Transit stations	-3.82	-6.99	-0.77	-0.0	-2.27	3.59	2.98	2.57	-3.25	-4.27	5.11	-0.14	6.14	9.4	7.13	-2.75	-1.06	4.83	3.0	13.85	18.11	16.84	-0.07	5.67	8.74	4.67	10.52	-1.38	0.83	-4.52	-1.9	-4.13	-15.15	-15.88	-13.53	-24.16	-19.13	-17.16	-14.85	-20.08	-21.11	-26.99	-28.14
region	Iowa	Workplace	2.13	-8.45	0.91	3.13	1.1	3.44	4.56	4.77	4.25	0.81	4.04	2.11	4.76	4.19	5.0	4.28	1.95	4.43	2.54	5.57	5.98	4.79	2.74	1.23	3.58	0.36	0.07	0.56	-2.28	-14.83	-22.67	-25.51	-29.39	-29.02	-16.56	-25.23	-31.65	-35.79	-35.49	-37.17	-35.49	-23.35	-28.52
region	Iowa	Residential	-1.11	3.97	0.38	0.34	0.51	-2.52	-1.89	-1.96	0.04	0.78	-0.92	-0.2	-3.13	-2.74	-2.71	-0.3	-0.96	-1.44	0.19	-3.69	-2.68	-2.59	1.29	-0.1	-1.0	0.37	-1.99	2.55	1.39	5.47	8.23	11.51	14.51	13.15	10.14	9.37	14.55	15.8	15.64	17.13	16.04	12.91	9.76
subregion	Adair County	Retail & recreation	12.0	-22.96	-0.01	-24.6	1.55	29.72	32.42	10.0	-9.84	-4.92	0.81	33.33	17.56	15.54	23.99	-0.01	6.55	18.03	24.02	21.62	46.61	23.99	4.91	13.11	19.66	10.07	28.38	-25.68	14.0	-13.12	-14.76	-27.87	-36.44	-33.78	-40.54	-46.01	-39.35	-57.38	-26.23	-30.24	-39.2	-63.51	-46.01
subregion	Adair County	Grocery & pharmacy	1.59	-4.05	1.35	-7.25	2.74	5.0	-0.01	9.51	6.75	-4.05	5.8	2.74	1.25	3.57	17.45	-1.35	-2.71	2.89	4.1	14.99	7.14	22.22	1.35	-1.35	17.39	31.5	32.5	13.09	22.22	40.53	40.53	20.29	13.69	17.5	13.09	-0.01	9.45	9.45	7.24	2.74	3.74	-11.9	-3.18
subregion	Adair County	Parks																																											
subregion	Adair County	Transit stations																																											
subregion	Adair County	Workplace		-17.75	-3.18	1.6	-0.01	6.89			1.6	-0.01	6.44	7.93	10.33			1.6	-3.18	3.22	-1.59	1.72			3.22	-0.01	3.22	-1.59	1.72			-12.91	-23.82	-24.21	-30.16	-24.15			-27.43	-34.93	-35.49	-34.93	-32.77		
subregion	Adair County	Residential																																											
