Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Nebraska	Retail & recreation	11.04	6.56	4.66	-5.61	0.76	7.91	11.3	11.28	4.19	1.98	9.65	6.27	11.72	14.12	17.22	8.74	10.47	11.59	7.81	11.0	11.24	13.41	1.92	4.62	8.99	8.03	2.89	-17.01	-11.85	-4.68	-16.82	-22.45	-33.24	-33.29	-38.36	-40.04	-30.34	-31.59	-29.57	-34.18	-34.32	-44.13	-34.41
region	Nebraska	Grocery & pharmacy	7.82	0.99	2.06	-3.09	-0.99	2.73	6.04	6.33	5.69	-3.26	5.8	1.85	8.87	11.15	12.59	8.4	9.58	11.2	6.25	8.66	12.33	13.15	4.8	6.38	14.05	23.05	32.29	4.98	10.12	28.88	16.61	13.67	0.07	3.91	-0.15	-10.65	-4.04	-7.8	-4.75	-9.56	-5.85	-13.22	-8.88
region	Nebraska	Parks	44.32	13.13	23.49	-6.35	3.67	20.76	72.51	43.27	24.32	10.07	15.09	13.85	33.19	85.58	55.83	28.22	55.14	58.41	22.5	50.86	84.43	90.21	-1.22	28.77	64.54	33.54	16.11	-24.84	-19.9	8.26	29.48	17.06	-14.94	-14.96	15.06	-3.67	28.7	69.06	77.45	37.44	16.88	-17.72	108.71
region	Nebraska	Transit stations	-0.11	1.32	5.66	-2.24	3.21	6.81	7.97	7.38	3.79	0.09	6.26	7.4	10.6	10.35	9.47	2.65	1.38	7.52	7.57	14.22	13.37	14.56	-0.86	4.08	8.41	7.57	1.59	-9.91	-4.99	-4.27	-1.3	-7.7	-21.66	-17.85	-8.62	-21.23	-17.35	-14.2	-12.89	-15.06	-18.61	-23.84	-18.01
region	Nebraska	Workplace	4.02	-14.39	1.59	0.84	0.61	1.89	0.39	5.09	2.71	1.26	2.27	2.15	3.78	2.16	6.32	3.32	2.19	2.41	0.81	1.04	-0.21	2.71	-4.15	-4.32	-4.26	-6.75	-11.04	-5.99	-2.39	-14.49	-20.37	-23.88	-27.86	-28.77	-14.31	-21.6	-30.63	-33.21	-34.08	-34.83	-33.95	-21.08	-24.24
region	Nebraska	Residential	-1.29	4.07	-0.43	1.15	0.66	-1.47	-1.77	-1.33	-0.44	0.74	-1.33	-0.45	-2.65	-2.71	-2.12	-1.15	-1.24	-2.01	-0.55	-2.19	-1.92	-2.0	2.14	1.47	-0.1	1.58	3.42	6.51	3.8	6.5	9.5	11.13	15.38	15.73	10.78	9.22	13.47	15.06	14.41	16.43	16.99	13.4	8.07
subregion	Adams County	Retail & recreation	13.1	3.68	6.74	-9.4	-3.21	3.24	9.6	12.64	12.5	-0.7	13.42	11.54	15.16	13.52	19.99	12.01	10.93	12.07	7.05	10.11	7.47	17.92	4.41	11.63	9.84	15.38	-3.25	-17.97	-4.6	-0.74	-10.93	-14.32	-24.36	-26.89	-29.18	-39.09	-21.82	-19.77	-21.93	-25.65	-25.45	-36.3	-24.14
subregion	Adams County	Grocery & pharmacy	10.27	-2.53	7.69	-9.82	0.62	-1.09	7.78	3.43	2.53	-10.26	-0.01	3.1	1.62	13.17	9.58	5.69	8.97	4.29	3.1	-0.54	13.77	21.23	2.53	13.45	12.88	25.46	19.99	3.59	19.86	35.44	17.95	13.49	6.82	5.94	11.37	-12.33	-0.01	-5.77	-7.98	-10.88	-15.68	-12.58	-13.7
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations																																											
subregion	Adams County	Workplace	1.14	-15.02	1.87	-0.94	-0.95	-3.94	-0.91	8.04	2.87	2.51	1.23	0.93	-0.66	3.62	8.04	1.59	2.82	1.23	-0.64	-10.83	4.54	2.29	0.31	-0.01	0.92	-11.32	-14.43	-7.28	4.59	-11.51	-15.41	-16.46	-17.93	-23.29	-7.28	-13.81	-21.73	-22.34	-24.85	-24.23	-24.6	-17.28	-18.4
subregion	Adams County	Residential		3.11	-0.14	2.82	2.08	0.31			0.12	1.84	-0.74	0.24	-1.63			-1.05	-0.28	-1.14	-0.16	0.46			0.8	0.93	-1.07	2.47	4.28			4.3	7.4	8.46	11.55	12.95			9.06	10.54	10.19	12.63	13.0		
