Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Oregon	Retail & recreation	14.36	9.57	3.8	4.5	4.27	4.39	6.36	9.6	5.2	8.29	10.64	9.69	7.59	7.45	17.31	7.75	9.84	10.11	7.14	1.43	4.52	9.93	6.31	7.95	8.37	4.35	-4.3	-17.81	-10.52	-5.2	-21.71	-24.87	-28.28	-31.59	-39.82	-37.39	-37.9	-47.28	-44.82	-45.6	-49.55	-54.53	-50.59
region	Oregon	Grocery & pharmacy	2.71	1.85	2.16	2.78	3.97	0.91	2.77	1.73	1.31	3.73	5.62	5.34	4.3	5.42	9.49	6.91	12.42	8.76	7.87	1.97	3.22	4.52	6.37	7.61	8.59	16.86	19.79	6.9	3.59	17.31		7.56	5.93	3.93	-3.55	-9.17	-10.61	-18.94	-17.21	-16.92	-20.93	-23.92	-24.85
region	Oregon	Parks	32.64	73.9	41.57	51.27	32.71	37.02	71.79	-11.46	27.81	43.67	51.32	49.26	23.68	7.86	22.52	13.73	39.53	57.1	37.49	-3.29	16.01	23.83	60.04	70.67	56.6	43.3	-7.25	-11.72	15.77	53.23	62.66	75.93	76.16	66.29	81.33	47.6	-4.65	-16.79	3.0	-0.74	-28.0	-25.26	-22.15
region	Oregon	Transit stations	2.75	-3.46	4.99	6.13	4.35	6.98	8.53	3.14	3.18	4.34	6.19	7.78	6.75	6.09	9.16	1.57	2.42	5.59	3.9	-0.68	3.95	4.63	1.33	2.64	1.48	-2.92	-11.21	-15.78	-13.66	-15.91	-19.89	-24.02	-28.18	-31.2	-26.33	-31.47	-40.37	-44.01	-42.94	-45.54	-49.13	-45.14	-46.8
region	Oregon	Workplace	0.2	-25.46	0.53	1.33	1.41	3.75	2.56	1.4	3.78	1.93	1.88	1.27	2.81	2.73	2.81	2.9	1.22	1.08	0.77	0.59	2.71	0.99	1.59	0.39	-0.45	-2.77	-6.17	-6.2	-9.44	-21.67	-29.21	-32.61	-34.87	-35.01	-24.97	-29.91	-41.1	-46.93	-47.95	-48.44	-47.44	-35.62	-38.18
region	Oregon	Residential	-0.82	4.14	-0.37	-0.79	-0.79	-1.27	-1.58	-0.15	-0.62	-0.85	-1.46	-1.42	-1.44	-0.86	-1.3	-0.46	-0.56	-0.86	-0.67	0.62	-0.0	-0.2	-0.3	-0.34	-0.21	0.99	3.75	5.53	4.22	6.62	10.0	11.02	12.06	12.84	8.39	7.77	14.59	18.3	17.98	18.51	20.26	13.82	12.04
subregion	Baker County	Retail & recreation	17.85	-0.01	5.84	1.83	9.82	5.73	15.3	19.64	-1.32	12.86	14.02	14.45	12.92	13.11	33.92	13.16	15.78	22.56	24.28	9.57	14.21	23.2	9.86	7.01	16.46	5.2	4.3	1.09	-0.89	14.47	-12.87	-9.15	-19.94	-28.71	-29.51	-19.65	-28.95	-36.84	-36.59	-39.3	-40.43	-45.91	-43.75
subregion	Baker County	Grocery & pharmacy	4.85	5.82	2.75	-1.83	-0.01	10.15	-5.18	8.73	4.85	4.59	21.55	14.91	21.87	1.99	18.44	21.36	29.35	27.51	29.82	18.74	-1.2	8.73	15.53	12.84	9.16	24.56	33.59	13.94	9.7	43.68	33.94	33.94	23.68	24.6	1.99	8.73	4.85	11.92	-9.18	-9.65	-14.07	-22.71	-13.6
subregion	Baker County	Parks																																											
subregion	Baker County	Transit stations	-1.96	-0.01	-3.58	-1.9	7.13	6.77	3.57	1.95	-0.01	-1.79	7.54	24.99	18.63	7.13	9.79	3.92	1.78	13.2	21.42	18.63	12.49	9.79	1.95	14.27	3.77	12.49	15.24	12.49	19.6	19.6	8.92	11.31	16.06	-5.09	-8.94	7.83	-5.89	1.78	-1.9	-3.58	-5.09	-19.66	-11.77
