Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Rhode Island	Retail & recreation	8.78	12.72	-0.3	4.26	3.82	2.4	7.74	12.05	6.93	4.11	8.36	6.9	7.55	7.35	12.9	9.3	9.4	9.3	7.97	3.77	5.26	11.08	13.22	8.22	7.35	6.33	-1.46	-8.77	-12.59	-8.44	-31.25	-28.24	-35.71	-32.27	-39.03	-42.19	-41.65	-39.59	-43.3	-37.86	-39.27	-46.09	-54.91
region	Rhode Island	Grocery & pharmacy	-4.16	-2.78	-6.85	-2.22	-3.87	-6.78	-4.32	-1.66	-1.81	-2.64	-0.51	-3.07	-1.18	-2.35	7.48	7.24	6.06	3.24	3.31	-3.5	-1.44	-0.6	2.98	2.27	5.18	23.57	34.4	20.11	6.05	19.54	4.5	2.85	-1.44	10.24	0.17	-15.84	-16.65	-13.91	-18.77	-11.41	-13.78	-15.94	-29.74
region	Rhode Island	Parks	11.95	90.85	-11.17	16.34	6.56	1.29	89.16	105.64	87.09	18.27	7.0	5.05	2.16	31.16	-2.66	34.4	60.9	21.48	54.03	7.78	35.49	68.1	165.04	64.96	56.06	33.32	-9.53	98.26	80.72	41.38	-8.64	107.46	-16.16	54.97	145.88	61.78	-22.05	64.96	-3.75	138.88	135.92	99.12	-49.5
region	Rhode Island	Transit stations	6.71	-13.35	-3.01	0.39	1.37	-1.31	5.3	7.62	2.9	4.6	3.72	2.95	6.56	5.05	8.84	-0.97	2.19	-1.38	3.54	-1.13	-3.29	4.26	-3.29	-6.21	-7.24	-9.28	-21.2	-15.66	-20.73	-32.49	-39.8	-40.7	-52.67	-46.72	-43.43	-51.22	-59.0	-55.0	-58.71	-55.23	-53.66	-55.05	-67.38
region	Rhode Island	Workplace	1.28	-31.18	-9.36	-5.43	-4.41	-3.32	2.03	3.9	3.92	2.45	1.67	1.96	3.91	2.25	5.1	3.26	1.8	1.11	2.47	3.48	1.75	4.13	1.65	0.44	-2.78	-1.33	-3.32	-3.62	-4.88	-21.85	-30.73	-33.3	-36.36	-35.14	-24.73	-27.78	-40.45	-44.09	-45.82	-45.39	-44.32	-34.82	-36.78
region	Rhode Island	Residential	-0.61	6.9	2.82	0.9	1.22	1.92	-1.24	-1.37	-0.73	0.03	-0.77	-0.11	-0.56	-1.45	-1.35	-0.7	-0.8	-0.56	-0.88	0.58	-0.5	-0.85	-0.8	0.09	0.64	1.08	4.06	3.35	4.24	8.82	14.17	13.69	17.46	17.5	11.21	10.52	18.26	19.11	20.5	19.31	21.01	13.87	13.99
subregion	Bristol County	Retail & recreation	4.73	13.33	0.63	5.12	5.18	4.95	11.75	23.34	9.82	3.8	6.32	2.02	1.41	9.44	11.35	9.82	10.12	8.13	7.2	-0.24	3.45	11.35	19.99	9.49	6.32	11.23	3.55	-0.7	-8.21	-3.87	-34.18	-29.22	-39.48	-34.76	-38.25	-41.33	-42.1	-40.51	-47.9	-38.62	-37.83	-46.08	-60.57
subregion	Bristol County	Grocery & pharmacy	-23.81	-18.25	-20.41	-24.52	-21.23	-14.46	-18.08	-13.7	-16.35	-11.57	-17.43	-12.33	-12.05	-15.82	-12.51	-13.22	-6.13	-18.07	-8.91	-18.07	-22.04	-21.43	-14.47	-10.21	-15.49	2.05	14.46	-1.13	-12.51	5.02	-4.09	-5.81	-7.54	-4.82	-12.43	-28.58	-23.27	-18.37	-24.52	-16.44	-17.47	-22.04	-45.24
subregion	Bristol County	Parks																																											
subregion	Bristol County	Transit stations																																											
subregion	Bristol County	Workplace	6.09	-40.0	-15.26	-6.94	-6.71	-6.8	3.47	9.74	4.54	2.26	3.17	3.2	6.16	1.73	7.31	2.42	-0.58	-0.01	1.74	3.38	0.86	7.31	-3.65	-4.52	-2.33	-3.21	-4.02	-0.01	-7.32	-26.98	-37.29	-38.16	-41.99	-39.51	-25.22	-26.84	-45.77	-49.73	-51.17	-49.86	-47.84	-35.66	-36.59
subregion	Bristol County	Residential		8.8	3.16	1.21	1.74	1.49			-0.53	0.19	-0.74	-0.48	-0.69			-0.16	0.19	0.31	-0.22	0.09			0.78	1.18	0.91	1.92	4.66			11.11	17.99	15.83	20.2	19.64				22.1					
subregion	Kent County	Retail & recreation	2.88	12.88	0.95	3.66	4.06	1.47	8.33	6.98	3.6	5.86	8.79	7.44	5.94	11.15	10.11	6.77	8.9	7.64	6.97	2.16	6.94	9.32	9.2	9.56	7.49	8.38	-2.11	-9.95	-16.35	-11.25	-30.96	-29.56	-36.49	-34.29	-38.43	-44.27	-44.82	-39.06	-43.12	-37.98	-41.05	-45.66	-56.55
subregion	Kent County	Grocery & pharmacy	0.44	3.05	-7.19	1.2	2.81	-15.8	-15.67	-8.92	-12.12	-12.61	-4.73	-8.09	-11.61	-13.91	-2.01	-3.07	-7.66	-5.09	-3.6	-14.19	-13.81	-8.8	-7.42	-11.78	3.02	34.73	39.94	24.71	8.9	22.81	2.82	3.5	8.59	16.96	2.25	-13.03	-16.35	-14.03	-14.54	0.76	-12.36	-12.78	-25.51
subregion	Kent County	Parks	-9.09		-0.01	7.93	10.16	4.6	74.99	103.02		32.14	1.58	10.16	6.15	29.4	-17.17	39.28		20.62	44.06	10.76	23.52	63.63			58.72	30.5	-1.55	108.81	77.76		-0.01		-6.79			77.76	-1.79		17.45				-44.45
subregion	Kent County	Transit stations	5.6	-3.46	9.5	7.12	7.67	-1.98	3.18	4.35	1.86	8.36	10.83	10.41	5.18	9.56	11.21	0.53	5.18	1.14	5.21	0.0	-4.93	4.98	-5.58	-5.19	0.0	-7.13	-20.5	-17.39	-21.19	-27.4	-25.65	-34.76	-50.14	-49.39	-48.7	-53.89	-59.3	-56.48	-58.41	-58.63	-62.22	-62.9	-71.65
subregion	Kent County	Workplace	3.33	-30.49	-10.67	-7.62	-5.2	-5.12	-0.35	3.8	3.89	1.82	1.94	1.94	2.36	3.1	3.09	4.03	1.82	1.12	2.32	2.49	1.38	5.46	2.24	0.94	-0.82	-0.5	-4.86	-2.93	-4.76	-20.66	-31.11	-33.02	-35.79	-36.0	-22.89	-24.47	-40.33	-44.36	-45.82	-45.58	-44.61	-34.43	-35.87
subregion	Kent County	Residential	-0.65	6.72	2.89	1.36	1.35	1.81	-1.39	-1.73	-0.42	-0.04	-0.49	0.14	-0.28	-1.43	-1.32	-0.42	-0.44	-0.25	-0.56	0.66	-0.6	-1.06	-0.52	0.38	0.35	1.36	4.03	3.49	3.8	8.9	14.4	14.03	17.29	17.39	10.46	9.26	18.12	18.78	20.42	19.09	20.54	13.08	13.04
subregion	Newport County	Retail & recreation	27.94	22.82	4.65	5.94	8.02	8.18	18.94	25.09	7.48	6.86	7.16	10.73	10.76	16.68	14.09	11.59	11.73	11.21	15.73	9.47	11.11	16.03	18.35	11.28	10.64	13.99	6.99	13.0	2.17	-0.85	-27.68	-24.21	-36.23	-31.74	-36.57	-40.44	-39.98	-39.07	-43.72	-37.53	-38.74	-43.55	-56.82
subregion	Newport County	Grocery & pharmacy	7.29	2.17	-1.7	1.65	-2.37	-3.0	6.29	7.75	3.91	6.81	3.73	-9.85	4.12	1.96	10.5	3.47	7.23	4.15	-5.91	-6.0	2.35	7.75	-0.43	7.66	8.71	12.19	26.58	18.9	16.88	19.56	10.2	6.23	-8.67	3.74	-3.55	-10.96	-16.96	-13.62	-17.43	-22.84	-21.35	-17.72	-32.43
