Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	South Dakota	Retail & recreation	14.6	2.93	-4.74	-4.76	0.73	3.57	6.62	12.89	-4.59	-9.36	5.71	6.59	11.74	13.83	18.56	6.47	8.21	8.31	5.02	9.92	13.23	18.18	6.2	8.63	7.42	3.24	1.23	-20.51	-7.62	-7.01	-8.46	-14.11	-28.64	-25.65	-33.49	-31.03	-23.42	-27.99	-35.32	-36.8	-36.08	-48.88	-34.95
region	South Dakota	Grocery & pharmacy	11.3	0.37	1.17	-0.85	3.05	5.69	8.9	17.1	5.85	-3.76	10.01	7.87	12.81	17.65	21.07	10.52	10.68	10.49	5.4	10.92	15.46	17.7	9.36	19.69	25.18	24.67	35.81	6.56	12.22	21.35	21.66	18.08	4.41	8.1	6.77	1.98	6.28	3.76	-3.46	-4.18	-0.63	-11.09	-2.71
region	South Dakota	Parks	28.1	-6.67	-2.25	-4.32	6.86	21.87	33.69	46.18	-3.82	-13.9	3.01	6.0	12.82	25.19	15.65	12.37	17.93	31.45	15.01	36.22	68.48	83.12	23.8	21.51	49.56	13.72	12.44	-40.83	0.79	2.38	31.83	21.98	-21.9	-7.56	-0.28	34.53	47.13	48.86	-11.22	12.44	17.35	-16.72	126.09
region	South Dakota	Transit stations	1.22	4.04	0.29	1.41	6.3	4.46	3.0	5.5	-1.16	-4.69	5.65	7.67	8.93	10.08	11.01	7.8	8.79	11.3	9.58	12.65	14.98	9.79	5.78	9.97	9.6	7.67	3.72	-16.35	-3.98	-5.2	0.58	-0.28	-20.82	-15.88	-18.53	-22.64	-17.34	-12.03	-23.16	-20.27	-24.07	-31.34	-31.2
region	South Dakota	Workplace	0.83	-23.02	-0.87	1.08	1.21	4.71	2.35	4.97	3.79	-6.26	2.21	-0.2	1.97	1.42	5.33	4.88	2.43	2.21	1.71	5.35	2.35	2.48	2.08	-0.0	-0.38	-2.68	-1.06	-5.91	-6.25	-14.91	-18.64	-21.01	-25.16	-22.61	-13.32	-18.2	-23.29	-27.46	-29.82	-31.12	-28.98	-21.8	-25.28
region	South Dakota	Residential	-1.63	6.46	1.1	0.8	-0.18	-0.79	-0.77	-1.85	0.78	4.47	-1.25	-0.71	-1.02	-1.85	-2.43	-0.98	-1.06	-1.19	-0.49	-1.24	-2.15	-1.97	-0.21	-0.54	-0.96	0.98	2.56	7.61	3.54	7.43	7.91	9.29	13.98	14.89	10.4	7.43	11.25	12.84	15.63	16.01	17.79	14.68	7.92
subregion	Beadle County	Retail & recreation	4.73	-6.83	-8.13	-3.55	-7.15	-1.4	2.81	3.37	-3.73	-1.88	1.78	-5.5	0.92	9.85	12.83	8.69	15.31	13.01	3.29	2.31	16.9	20.26	2.49	15.93	7.69	-4.4	2.31	-18.31	-9.47	-9.32	-13.13	-19.53	-28.02	-26.85	-35.68	-39.2	-41.0	-45.0	-49.11	-50.56	-43.05	-55.87	-35.14
subregion	Beadle County	Grocery & pharmacy	2.04	-1.7	-1.79	-5.18	1.61	-1.41	6.55	8.16	-0.01	-0.01	8.62	12.89	-5.64	11.47	-2.04	8.46	5.35	3.45	-0.01	-2.82	18.03	8.16	1.69	16.06	17.23	8.06	36.61	14.75	14.28	8.46	16.06	6.89	6.44	1.4	3.27	-0.01	-11.87	-23.22	-34.48	-27.42	-22.54	-24.6	-22.46
subregion	Beadle County	Parks																																											
subregion	Beadle County	Transit stations																																											
