Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Tennessee	Retail & recreation	5.91	5.8	-2.62	3.34	-5.32	0.43	6.15	2.66	-2.39	7.55	9.59	11.28	8.73	15.93	16.45	8.12	16.76	11.67	11.06	5.48	11.83	12.75	8.41	7.95	8.0	6.81	2.04	-4.23	-8.0	-3.67	-10.24	-14.8	-17.0	-27.04	-32.93	-36.55	-31.98	-38.58	-33.14	-30.72	-34.06	-37.8	-35.27
region	Tennessee	Grocery & pharmacy	1.46	-1.68	-3.13	3.33	-3.36	-1.67	3.63	1.02	-4.22	2.7	5.04	4.89	4.02	8.89	11.36	3.63	12.02	10.7	10.22	4.44	10.09	10.71	6.52	8.35	11.04	23.95	23.41	19.2	12.61	20.3	16.56	13.69	13.98	9.02	9.01	-0.04	-2.1	-9.51	-5.66	-6.35	-8.88	-6.58	-9.18
region	Tennessee	Parks	28.9	45.58	-11.36	12.96	-18.22	7.4	61.29	7.27	-19.24	26.59	0.34	12.75	12.32	59.86	59.04	-5.28	37.65	35.78	33.32	25.34	88.04	81.22	45.16	26.41	43.45	29.88	28.57	26.69	-1.69	10.0	8.39	21.49	38.37	-17.95	10.99	1.46	-16.47	-28.63	33.59	57.14	40.24	48.46	35.39
region	Tennessee	Transit stations	3.35	4.17	-0.57	3.8	-0.67	3.41	5.32	2.32	0.42	4.02	5.27	7.89	8.89	15.79	12.93	3.25	3.84	4.62	7.29	6.43	15.22	13.47	4.51	2.51	3.47	0.92	0.2	1.4	-5.26	-7.21	-9.15	-12.68	-15.93	-21.69	-15.76	-29.7	-27.48	-29.09	-25.89	-26.87	-30.48	-26.71	-34.75
region	Tennessee	Workplace	0.58	-15.33	1.14	2.8	-0.07	0.43	5.07	1.49	1.96	3.07	2.75	1.68	1.2	5.09	2.98	2.21	-7.59	0.48	0.67	-0.14	5.68	2.26	0.1	-0.63	-0.26	-2.46	-6.09	0.66	-6.83	-14.77	-19.33	-22.31	-23.95	-27.2	-16.39	-27.96	-33.71	-37.5	-38.1	-38.54	-39.07	-25.65	-34.34
region	Tennessee	Residential	-0.7	3.94	1.21	-0.55	1.99	0.43	-1.52	-0.29	2.03	-0.87	-0.65	-1.28	-1.06	-2.96	-2.39	0.66	0.47	-1.26	-1.61	-0.68	-2.71	-2.1	0.14	0.53	-0.16	0.04	1.55	1.53	2.55	5.76	7.85	8.88	8.92	12.9	7.72	8.25	14.71	17.17	15.38	14.47	15.89	8.92	8.4
subregion	Anderson County	Retail & recreation	6.15	4.27	-2.15	4.98	-6.58	0.63	8.71	5.13	-3.76	9.23	10.18	11.64	10.26	18.14	18.54	6.76	17.26	13.47	9.07	8.89	18.14	14.01	9.48	4.44	8.36	9.46	8.1	4.78	-1.88	-2.22	-10.75	-13.63	-18.15	-24.12	-26.49	-30.22	-34.14	-41.12	-31.46	-31.69	-32.84	-30.41	-29.75
subregion	Anderson County	Grocery & pharmacy	3.05	-3.23	-0.9	3.52	-5.06	-2.69	4.5	4.16	-3.88	7.84	5.06	3.58	3.83	8.32	12.22	3.01	13.45	11.45	6.94	4.02	8.55	14.16	6.03	3.58	15.86	21.26	23.94	20.71	22.77	18.96	11.66	11.23	7.79	3.83	7.87	7.78	-7.98	-14.57	-10.8	-12.0	-11.69	-6.31	-5.28
subregion	Anderson County	Parks	5.0	44.27	-7.69	20.89	-18.75	7.01		8.32	-11.43	44.61	-7.46	-17.5	-0.01	21.15	36.67	-25.71	24.62	23.87	12.5	35.08		73.33	30.0	-3.08	25.37	-2.5	22.8	23.07	13.33	-4.29	-9.24	19.4	30.0	-12.29		26.66	-22.86	-26.16	38.8	28.75			65.0
subregion	Anderson County	Transit stations																																											
subregion	Anderson County	Workplace	1.18	-11.52	0.91	2.99	-1.19	-3.22	5.85	4.75	2.4	2.35	3.12	2.87	1.53	7.58	3.96	0.53	-1.06	3.51	1.82	3.07	6.89	5.55	2.0	0.65	1.95	1.82	0.13	3.78	-3.18	-13.53	-17.96	-20.61	-21.55	-25.88	-14.5	-23.02	-32.67	-37.36	-37.03	-38.52	-39.86	-22.42	-30.96
subregion	Anderson County	Residential	-0.44	2.98	0.53	-0.76	3.47	1.52	-1.34	-0.25	1.87	-1.35	-0.25	-0.63	-0.87	-2.97	-1.55	1.24	-1.1	-1.6	-1.21	-0.79	-2.48	-1.39	-0.49	0.05	-0.89	-0.54	0.04	1.14	1.82	4.66	6.75	7.7	8.22	12.13	6.82	7.59	14.13	15.33	13.83	14.75	15.39	7.75	
subregion	Bedford County	Retail & recreation	8.15	-0.6	1.62	0.78	-6.03	4.01	19.63	6.38	-6.31	8.32	16.52	14.59	12.06	24.13	17.02	11.8	28.86	18.1	14.4	8.61	17.08	17.02	6.88	13.6	10.62	9.67	8.76	17.84	-1.78	0.38	-0.62	-5.32	-6.21	-12.65	-17.25	-18.44	-23.23	-24.81	-17.52	-13.33	-15.1	-13.8	-17.21
