Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Vermont	Retail & recreation	21.99	19.33	-5.08	5.84	7.34	4.12	8.8	11.6	7.81	4.19	6.05	-4.76	2.67	6.01	15.5	9.83	15.67	3.15	5.64	3.16	10.37	12.9	9.19	1.1	2.51	2.94	-3.46	-5.54	-7.66	-5.38	-23.66	-29.79	-36.67	-41.03	-46.2	-47.23	-43.73	-45.74	-39.3	-53.29	-53.39	-58.76	-61.64
region	Vermont	Grocery & pharmacy	11.17	8.97	-4.01	1.5	2.36	0.69	0.06	7.0	2.53	0.46	0.6	-6.72	0.06	-2.73	11.01	4.06	10.02	3.84	6.79	1.45	0.45	10.54	8.83	2.54	5.35	13.95	13.54	10.7	13.77	17.96	5.47	-3.55	-7.9	-12.03	-19.45	-20.69	-23.03	-21.05	-10.55	-31.36	-30.98	-35.87	-41.62
region	Vermont	Parks	46.88	41.35	-3.21	8.5	2.08	6.1	53.11	46.88	20.29	3.99	-4.98	-20.84	-6.12	16.14	16.37	-0.76	28.79	-3.55	13.88	8.88	27.6	49.14	51.87	2.4	-4.27	6.24	-15.56	21.35	10.16	15.03	-12.01	20.55	2.08	-13.9	8.85	17.5	-27.83	-12.01	-12.06	5.55	1.66	21.87	-55.37
region	Vermont	Transit stations	11.52	19.32	9.23	10.0	7.14	11.15	24.76	7.32	7.24	3.59	7.0	-5.71	8.26	16.5	5.76	7.24	13.33	4.99	9.05	7.02	24.76	13.08	7.73	2.56	1.99	-2.39	-19.84	-4.86	-32.46	-22.71	-26.16	-29.0	-37.15	-47.94	-43.69	-53.4	-45.9	-39.49	-43.0	-48.09	-54.54	-58.25	-71.21
region	Vermont	Workplace	3.52	-18.25	-3.75	-3.36	-1.06	-3.11	1.59	3.06	-7.62	-7.72	-8.59	-7.87	-8.89	0.24	2.14	-6.27	-10.07	1.08	4.67	1.69	1.96	3.52	-0.56	-1.08	-1.21	0.96	-4.37	-2.7	-7.51	-13.0	-23.39	-31.34	-33.21	-37.07	-29.81	-31.09	-43.24	-47.04	-46.95	-52.51	-53.39	-41.23	-43.03
region	Vermont	Residential	-1.6	3.81	2.63	1.29	0.83	1.41	-1.15	-2.39	0.76	0.96	1.84	3.47	2.09	-0.76	-2.07	0.94	0.86	1.13	-0.56	0.66	-0.86	-1.71	-0.3	1.08	1.37	0.82	3.86	2.68	2.68	6.02	10.66	13.35	15.34	17.73	11.03	8.62	17.46	19.54	19.57	22.31	24.1	13.99	12.66
subregion	Addison County	Retail & recreation	27.94	10.59	1.9	-1.66	4.3	-2.65	3.78	20.58	1.76	6.96	1.65	-4.84	10.62	6.16	16.91	7.05	17.72	8.28	9.67	-4.87	5.21	15.44	5.3	8.22	1.65	5.37	-0.44	-7.59	0.74	-8.83	-12.02	-29.29	-32.8	-40.27	-44.08	-40.44	-45.3	-36.71	-37.02	-53.77	-52.22	-53.08	-55.15
subregion	Addison County	Grocery & pharmacy	8.25	-6.09	-12.6	-8.77	8.85	-5.49	-11.82	8.25	5.22	1.68	-1.2	-8.85	1.37	-7.09	17.52	5.22	10.91	-3.59	18.58	-1.37	-7.88	15.46	4.34	4.2	-9.97	21.24	13.01	23.62	18.55	25.22	13.44	-21.12	9.73	-4.11	-16.54	-13.4	-25.22	-22.69	-8.37	-32.74	-35.62	-35.43	-38.15
subregion	Addison County	Parks																																											
subregion	Addison County	Transit stations																																											
subregion	Addison County	Workplace	-0.01	-25.11	-11.16	-12.46	-10.71	-12.94	-2.51	3.33	-0.43	-1.24	-0.42	-1.66	-2.6	3.74	8.32	2.96	2.47	0.41	4.1	-6.04	1.24	13.32	2.96	2.88	2.49	1.63	-2.6	-3.76	-3.34	-6.39	-24.39	-29.05	-31.69	-34.49	-30.01	-30.01	-42.56	-45.88	-43.58	-53.51	-53.03	-33.76	-35.01
subregion	Addison County	Residential			4.3	1.01	2.62	2.57			-0.2	0.42	1.12	2.7	1.28			1.18	-0.48	1.82	-1.31	1.48			-0.77	1.32	1.32	1.1	4.76			5.53													
subregion	Bennington County	Retail & recreation	31.34	32.64	-4.02	14.62	19.04	9.08	17.23	23.4	15.51	9.23	15.8	-0.01	11.72	16.95	22.61	14.28	13.24	13.43	12.45	9.96	18.67	28.17	13.06	2.4	6.31	2.92	1.46	-3.45	6.74	-0.83	-21.69	-26.49	-30.41	-40.47	-41.96	-45.24	-53.88	-47.8	-40.12	-46.52	-50.59	-55.47	-62.31
