,Kind,Name,Category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
6,subregion,Abbeville County,Retail & recreation,,3.77,-1.61,9.23,-1.45,17.28,7.57,,7.55,3.22,23.07,27.54,20.99,24.23,,18.86,6.44,18.46,14.49,19.75,31.06,,9.43,-0.01,18.46,17.39,-0.01,15.15,,5.65,-16.14,-32.31,-24.64,-34.57,-33.33,,-60.37,-70.97,-40.0,-27.54,-23.46,-34.85,
7,subregion,Abbeville County,Grocery & pharmacy,-8.13,-11.51,-0.01,-5.64,4.1,-3.21,3.57,6.5,-12.23,19.26,-9.86,16.41,10.89,10.71,9.76,9.35,7.37,2.11,10.44,14.74,7.14,20.32,8.27,24.58,12.31,25.37,21.15,21.42,21.95,27.34,30.73,3.51,19.4,19.22,26.42,1.62,-2.88,-8.2,-0.01,15.67,-0.01,21.42,7.32
8,subregion,Abbeville County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,subregion,Abbeville County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,subregion,Abbeville County,Workplace,-0.01,-15.17,1.09,1.58,-1.6,-1.78,5.79,-4.36,3.93,4.36,3.16,-0.54,0.58,-2.9,-7.26,-0.01,-0.55,-0.54,-2.14,-1.78,5.79,-4.36,3.36,2.73,2.64,-0.54,1.76,-0.01,-2.9,-4.5,-10.4,-13.24,-18.09,-20.72,-13.05,-24.64,-17.98,-21.87,-23.29,-25.0,-27.83,-14.51,-30.44
11,subregion,Abbeville County,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,subregion,Aiken County,Retail & recreation,-3.59,5.22,-4.8,-0.13,-8.02,3.23,4.46,5.27,0.49,5.45,12.71,14.72,12.07,14.97,17.72,10.36,14.66,5.27,1.57,10.26,9.88,11.38,10.56,11.02,10.51,9.66,9.58,4.66,4.0,1.12,-5.88,-15.88,-17.39,-19.18,-27.79,-32.7,-29.67,-30.93,-27.35,-26.2,-27.28,-28.94,-31.35
13,subregion,Aiken County,Grocery & pharmacy,-5.12,3.14,-2.43,-0.51,-7.73,7.27,0.91,3.3,1.36,1.55,6.77,6.8,8.81,6.76,12.27,6.38,11.68,2.7,-2.25,10.5,6.68,7.7,10.13,9.16,11.18,17.1,30.35,18.74,25.79,28.19,21.03,13.46,18.19,15.1,4.76,-5.84,-1.11,-6.42,-4.58,-5.16,-2.15,-6.31,-10.94
14,subregion,Aiken County,Parks,-44.96,18.34,-24.09,-24.77,-25.46,24.16,14.28,34.85,-22.03,-11.12,-5.51,0.9,14.28,5.55,20.18,-18.36,-7.41,-17.44,-20.01,32.96,39.67,41.28,24.76,16.65,24.76,25.44,18.68,33.33,12.84,-19.27,-10.19,-5.51,2.71,16.48,6.34,-15.6,-40.38,-34.27,-1.85,-2.73,13.18,-10.33,-0.93
15,subregion,Aiken County,Transit stations,2.22,0.0,-11.94,-10.3,4.76,-1.41,3.92,,0.0,1.49,4.41,19.05,16.9,13.72,,2.99,8.96,7.35,14.28,4.22,7.84,,17.91,17.91,4.41,20.64,18.31,13.72,,7.46,7.46,2.94,9.53,0.0,-3.92,-4.45,-5.97,-1.49,-8.82,1.59,-18.31,-15.69,0.0
16,subregion,Aiken County,Workplace,-2.98,-21.98,-1.19,-1.23,-1.73,0.77,2.7,1.78,0.43,0.56,0.54,1.46,-6.93,3.38,4.56,1.63,0.7,-1.77,-1.66,,4.73,1.98,1.49,1.96,0.81,0.48,0.31,1.01,-1.19,-10.95,-12.02,-18.48,-19.06,-23.56,-15.88,-26.2,-29.09,-31.52,-34.22,-33.05,-33.72,-25.17,-32.73
17,subregion,Aiken County,Residential,1.26,4.44,2.21,1.74,3.63,-1.08,-0.7,-0.64,1.44,0.81,-0.68,-1.45,-1.31,-2.46,-1.63,-0.59,0.06,0.8,2.18,-3.01,-2.58,-1.81,-1.52,-1.06,-1.46,-1.46,-2.98,-1.39,0.23,3.63,5.71,7.91,8.01,8.06,5.98,8.33,11.77,14.23,12.92,13.42,12.17,8.73,8.33
18,subregion,Allendale County,Retail & recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,subregion,Allendale County,Grocery & pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,subregion,Allendale County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,subregion,Allendale County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,subregion,Allendale County,Workplace,,-30.24,-10.65,-2.18,-6.26,,,,,-6.39,2.17,-0.01,,,,,-0.01,2.17,-2.1,,,,,-6.39,-2.18,-2.1,-2.28,,,,-6.39,-15.23,-18.76,-15.92,,,-16.29,-27.67,-19.57,-22.93,-15.92,,
23,subregion,Allendale County,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,subregion,Anderson County,Retail & recreation,-0.37,2.11,-3.74,0.48,-10.02,-1.3,2.32,1.14,-8.13,5.86,12.19,11.99,11.15,12.98,12.9,5.49,9.41,7.7,2.26,7.94,7.09,5.9,3.01,4.88,7.16,3.05,4.64,-2.73,-3.5,-8.45,-14.82,-25.19,-28.74,-30.59,-38.11,-44.68,-42.05,-42.09,-32.65,-34.86,-34.36,-40.16,-40.29
