Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Alabama	Retail & recreation	-0.27	3.45	-3.94	3.66	-6.64	3.15	5.17	3.34	-1.99	6.96	15.59	11.77	12.32	14.59	16.29	8.13	20.23	6.7	6.81	9.23	11.94	11.95	9.98	8.51	10.21	10.3	6.64	0.87	-7.19	-2.19	-10.87	-13.15	-20.22	-27.18	-35.15	-39.76	-32.78	-31.69	-27.54	-30.25	-30.49	-36.22	-40.74
region	Alabama	Grocery & pharmacy	-2.18	-0.26	-3.24	1.11	-5.67	-0.15	3.72	2.1	-2.67	2.8	4.91	5.67	6.12	9.71	9.81	4.45	14.59	0.14	6.2	4.08	7.84	7.91	8.39	7.89	7.91	21.57	31.83	27.74	16.39	24.23	17.35	13.45	15.41	10.1	5.21	-7.35	-5.72	-5.03	-4.39	-3.42	-1.74	-2.36	-13.44
region	Alabama	Parks	-6.82	17.15	-11.01	6.42	-25.42	11.65	46.03	23.93	-13.26	26.99	6.68	13.79	20.39	54.61	52.76	-1.96	32.99	-8.03	-0.3	29.21	62.6	54.55	44.63	20.68	26.98	42.65	26.15	54.68	16.2	21.54	24.91	38.84	26.58	7.28	10.16	2.3	-11.14	3.61	35.58	31.54	29.56	22.43	19.04
region	Alabama	Transit stations	2.8	6.83	-1.19	4.21	-0.86	8.97	13.14	16.1	1.72	7.44	11.04	8.85	10.0	20.14	20.76	4.76	5.06	1.53	3.6	9.82	17.85	20.14	9.26	4.32	6.79	7.81	7.1	12.23	5.9	1.72	-1.34	-2.72	-7.54	-13.79	-13.15	-21.83	-21.68	-18.08	-15.22	-19.27	-24.01	-24.58	-30.11
region	Alabama	Workplace	-1.43	-16.75	0.85	1.13	-0.45	1.22	5.81	1.71	-2.04	-1.46	0.46	1.5	0.61	5.47	3.54	1.66	2.43	0.27	1.51	1.71	7.47	3.26	1.58	0.63	0.92	1.13	-1.6	4.18	-3.82	-10.41	-16.88	-22.15	-25.12	-28.88	-16.44	-27.38	-33.35	-34.2	-35.61	-35.7	-36.78	-21.74	-31.62
region	Alabama	Residential	0.69	3.94	1.76	0.05	3.03	0.18	-1.28	-0.41	2.19	0.31	-0.95	-0.7	-1.37	-2.93	-2.0	0.43	-1.27	1.15	0.81	-1.02	-2.37	-1.44	-1.08	0.45	-0.78	-1.15	0.29	-0.2	2.33	3.96	7.19	8.18	10.29	13.49	8.44	8.91	14.05	14.5	13.36	14.31	15.61	9.04	9.47
subregion	Autauga County	Retail & recreation	0.17	7.72	-1.68	-1.67	-7.74	-2.76	0.98	-0.17	-2.06	9.88	17.46	13.8	12.24	21.47	15.15	14.77	21.6	5.15	7.43	3.96	9.44	9.81	14.77	13.06	12.14	13.95	8.04	5.51	-4.48	3.09	-5.69	-6.16	-13.05	-24.13	-29.57	-38.39	-21.99	-19.77	-20.47	-21.7	-27.01	-28.71	-41.66
subregion	Autauga County	Grocery & pharmacy	0.76	-0.39	0.39	-0.39	-2.76	-1.99	1.29	3.05	-4.96	-0.01	5.01	11.02	9.6	9.73	12.59	3.81	8.07	-3.87	11.81	9.93	10.39	8.01	11.45	11.92	11.58	26.38	50.99	38.31	21.75	22.52	15.77	22.38	27.16	22.84	11.36	1.91	6.87	2.69	4.63	10.62	12.9	5.84	-7.64
subregion	Autauga County	Parks																																											
subregion	Autauga County	Transit stations																																											
subregion	Autauga County	Workplace	-4.06	-27.04	1.81	1.79	1.18	3.13	8.08	4.72	1.65	3.01	3.58	1.79	2.29	5.2	2.69	4.56	3.62	2.78	2.78	3.96	10.39	8.77	3.52	-1.63	3.58	2.19	2.5	2.88	-6.09	-12.9	-18.36	-22.72	-25.76	-29.51	-17.93	-31.76	-33.68	-34.48	-36.66	-36.13	-35.99	-19.09	-35.14
subregion	Autauga County	Residential		5.18	0.18	0.11	2.42	-0.14			1.3	-0.85	-1.46	-1.59	-2.06			-0.58	-0.88	1.71	0.58	-1.43			-2.05	0.13	-0.89	-1.79	-1.73			3.26	7.09	8.49	11.18	13.58			12.48	13.41	13.11	14.27	15.69		
subregion	Baldwin County	Retail & recreation	8.3	8.8	6.94	12.39	4.87	14.51	15.35	16.85	9.79	10.73	19.99	12.51	12.94	17.82	16.63	7.08	13.45	4.2	6.74	8.48	15.59	19.33	10.36	10.85	16.53	15.4	14.83	15.5	15.82	9.01	1.28	-2.54	-14.0	-27.81	-38.53	-40.16	-35.26	-35.68	-33.52	-35.67	-36.44	-43.15	-46.91
subregion	Baldwin County	Grocery & pharmacy	8.09	9.16	8.38	8.87	4.93	12.98	17.22	19.76	8.53	9.68	19.08	11.14	14.24	17.0	22.99	9.96	14.06	5.97	10.67	9.7	21.98	25.6	13.71	13.99	19.32	28.04	38.47	42.46	48.59	39.01	30.82	30.53	23.74	12.92	2.01	-5.76	-9.03	-8.8	-7.98	-10.29	-9.02	-13.57	-18.74
subregion	Baldwin County	Parks	-12.47	30.9	21.17	41.32	-10.09	59.43	56.29	91.77	12.41	34.26	37.66	38.61	66.24	109.22	53.25	26.96	36.75	5.99	25.06	63.45	67.78	71.66	44.23	60.12	62.32	64.83	105.25	92.33	84.13	48.47	57.31	57.66	31.4	8.04	-25.45	-13.6	-27.28	-20.56	-13.01	-21.63	-6.2	-32.44	-27.2
subregion	Baldwin County	Transit stations	7.46	6.78	0.0	8.48	3.82	18.13	4.21	18.66	1.13	1.66	7.91	7.1	9.33	15.66	35.82	3.39	5.56	1.7	3.82	9.84	14.46	29.85	7.91	10.0	20.34	16.94	19.17	21.08	35.07	4.52	10.0	10.17	1.64	-6.73	-11.44	-2.98	-13.0	-11.12	-9.04	-16.4	-20.2	-26.5	-23.88
