Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Idaho	Retail & recreation	11.14	10.0	0.77	2.2	4.62	3.59	6.08	12.48	4.83	6.31	9.37	9.56	9.82	9.55	21.31	8.86	10.62	9.02	10.24	7.3	8.28	16.59	6.18	8.96	7.95	9.25	5.58	-5.53	1.79	1.79	-7.08	-11.66	-14.61	-20.84	-28.98	-21.82	-23.58	-25.97	-26.92	-39.85	-43.18	-47.38	-41.72
region	Idaho	Grocery & pharmacy	2.86	3.77	3.36	3.32	3.31	1.79	6.13	7.1	4.61	5.42	7.92	7.75	7.05	8.6	14.91	10.5	15.01	13.37	13.59	8.27	9.11	13.69	10.91	13.85	13.12	22.98	33.0	26.49	25.64	31.44	22.48	17.16	12.57	11.82	4.74	1.31	0.71	0.17	7.12	-10.17	-14.15	-17.31	-18.11
region	Idaho	Parks	13.8	43.89	19.99	11.69	16.17	21.59	40.26	43.53	17.98	29.99	24.33	46.81	45.75	14.07	53.48	22.05	42.7	33.57	55.29	41.11	1.7	66.42	37.68	65.4	59.99	54.13	32.63	-11.14	28.49	65.3	56.24	47.53	93.25	68.63	75.87	139.84	46.46	39.78	10.18	23.5	10.55	13.33	24.65
region	Idaho	Transit stations	0.16	-0.27	8.9	7.34	7.35	6.71	8.66	9.13	4.34	9.3	6.95	9.85	9.48	11.12	15.98	2.89	7.18	7.34	12.71	7.63	11.12	13.54	4.6	11.3	6.05	6.73	2.19	-2.02	1.96	-2.11	-2.4	-6.06	-9.23	-16.09	-10.41	-11.43	-19.74	-14.23	-19.33	-26.43	-32.76	-28.61	-33.93
region	Idaho	Workplace	-0.71	-25.32	1.01	2.3	1.65	3.14	2.44	2.28	8.6	2.36	3.37	2.51	0.89	2.6	3.73	8.83	2.81	3.59	2.18	2.2	1.79	2.65	8.7	2.14	3.22	1.4	0.01	-0.87	-8.42	-4.17	-18.76	-23.25	-26.55	-27.68	-17.51	-26.75	-29.68	-36.26	-37.67	-43.78	-43.43	-30.79	-37.82
region	Idaho	Residential	-0.36	3.44	-0.2	-0.3	-0.35	-1.06	-1.32	-0.85	-2.35	-0.79	-1.2	-1.31	-1.69	-1.53	-1.62	-2.62	-1.11	-1.01	-1.32	-1.29	-0.77	-1.1	-2.51	-1.36	-1.04	-1.0	-0.3	2.61	2.7	1.48	7.02	8.83	9.51	10.4	6.65	5.2	9.12	13.17	13.83	16.85	17.89	11.73	9.79
subregion	Ada County	Retail & recreation	10.97	10.8	1.11	0.87	3.01	2.55	9.1	11.14	3.72	7.85	6.37	8.67	6.7	11.36	19.22	7.52	8.22	5.96	9.67	6.84	11.65	15.38	5.27	8.68	5.77	7.17	2.12	-3.95	-3.24	-3.27	-13.75	-18.71	-20.62	-30.62	-36.65	-32.09	-31.6	-33.18	-33.67	-46.11	-50.35	-51.72	-48.6
subregion	Ada County	Grocery & pharmacy	3.19	4.63	4.48	4.22	4.46	4.1	8.07	9.15	6.66	5.64	9.3	10.16	8.74	10.56	18.07	14.12	15.14	14.63	14.28	11.91	12.82	14.22	12.97	13.63	14.63	25.92	38.73	35.53	24.35	32.35	19.14	16.55	12.98	13.81	1.26	-5.11	-1.9	-1.52	8.76	-14.07	-16.22	-20.82	-22.95
subregion	Ada County	Parks	-5.43	34.21	25.09	6.75	18.05	15.42	68.38	83.72	27.44	43.81	30.22	67.0	61.99	45.67	83.39	32.32	62.16	51.44	90.61	57.13	17.53	107.79	51.87	97.37	95.17	82.28	58.57	22.22	61.35	90.59	54.3	37.29	115.96	82.0	110.85	162.36	40.97	32.96	11.25	29.51	13.13	38.26	32.53
subregion	Ada County	Transit stations	-2.85	-2.49	7.02	8.05	6.17	3.72	1.5	2.84	4.6	5.92	6.21	7.54	5.67	3.86	7.64	-1.78	-0.56	3.47	5.82	3.08	7.73	1.52	-2.49	3.33	0.73	-3.62	-7.63	-10.55	-14.01	-17.56	-16.67	-19.6	-27.11	-34.53	-31.41	-37.42	-39.72	-35.56	-37.37	-44.61	-48.8	-45.17	-53.62
