Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Michigan	Retail & recreation	8.72	0.74	-1.73	1.75	2.12	-1.34	9.38	11.82	1.08	3.59	-7.61	1.28	2.21	12.73	17.04	9.2	11.51	11.09	10.22	1.67	14.3	16.8	5.79	10.71	7.45	7.24	-5.36	-12.93	-10.91	-16.77	-29.28	-33.23	-34.5	-40.67	-45.86	-47.08	-33.76	-59.47	-53.45	-55.98	-57.63	-63.3	-58.37
region	Michigan	Grocery & pharmacy	4.15	-1.71	-3.89	0.47	-1.3	-4.84	3.8	6.34	0.31	2.75	-8.99	-3.4	-2.04	6.09	10.29	3.81	6.84	5.34	4.31	-4.96	8.0	10.59	3.6	5.14	13.84	27.62	28.58	13.32	9.52	24.39	10.13	4.48	8.69	1.6	-5.1	-15.01	12.07	-28.65	-21.8	-24.63	-25.52	-29.45	-28.41
region	Michigan	Parks	44.72	1.09	-3.64	3.84	2.32	3.95	56.39	90.27	14.31	1.83	-12.28	-7.18	-2.02	23.38	57.06	27.77	14.15	22.06	20.31	0.3	61.36	154.67	30.74	48.11	14.22	27.66	8.45	15.51	86.96	12.68	44.75	9.51	9.23	-1.57	32.66	47.93	-0.58	2.75	66.28	11.52	21.65	-22.13	14.91
region	Michigan	Transit stations	4.25	-1.81	2.4	3.81	4.89	8.95	16.67	18.47	5.92	4.97	0.56	6.86	14.74	27.72	22.69	5.22	8.24	8.53	8.64	6.57	13.97	14.12	3.26	4.95	3.81	1.59	-3.09	-5.41	-8.16	-16.8	-19.07	-23.8	-30.16	-32.24	-32.42	-40.57	-39.98	-50.01	-46.5	-50.96	-52.05	-55.71	-55.46
region	Michigan	Workplace	3.42	-13.42	-5.55	-0.38	0.04	0.22	7.8	5.67	2.46	1.78	-10.8	-8.25	0.14	6.07	5.27	1.93	1.39	1.17	1.46	0.39	7.76	4.92	1.78	-1.27	0.83	-0.52	-6.95	2.01	-4.29	-20.74	-27.65	-31.04	-33.62	-37.06	-25.67	-31.06	-43.06	-57.23	-57.81	-58.56	-58.16	-43.76	-43.26
region	Michigan	Residential	-1.41	3.56	2.19	0.24	0.35	0.87	-1.75	-1.99	0.04	-0.1	4.86	3.49	0.32	-2.09	-2.13	-0.56	-0.78	-0.82	-0.66	0.81	-2.23	-2.46	-0.17	-0.2	-0.18	0.51	4.25	3.59	2.55	8.6	11.23	13.29	14.84	18.11	11.27	8.91	16.62	24.52	23.47	25.09	27.17	17.21	12.49
subregion	Alcona County	Retail & recreation																																											
subregion	Alcona County	Grocery & pharmacy																																											
subregion	Alcona County	Parks																																											
subregion	Alcona County	Transit stations																																											
subregion	Alcona County	Workplace		-16.4	-12.91	-1.59	-1.57	3.22			-1.65	-3.23	1.58	-4.7	-6.46			-0.01	8.05	-0.01	1.56	-3.23			1.63	1.6	-1.59	4.68	-4.85			-13.13	-14.53	-17.47	-18.76	-25.81			-27.88	-37.11	-42.87	-40.63	-45.17		
subregion	Alcona County	Residential																																											
subregion	Alger County	Retail & recreation						10.52	20.33						-8.78							-14.04	3.38						-28.08	-5.09							-78.82								
subregion	Alger County	Grocery & pharmacy						2.04							-0.01							-6.13							-4.09		-20.01					-28.58	-13.64	-27.51				-41.03	-34.7	-43.19	-57.51
subregion	Alger County	Parks													-9.31															7.83						-41.86	-0.01						-13.96	-37.26	-53.85
subregion	Alger County	Transit stations																																											
subregion	Alger County	Workplace		-15.91		0.0	2.17	2.22			-4.55			-13.04	-24.45			-13.63	-4.55	-2.23	-6.52	-15.56						-2.17	-2.23			-27.28	-29.54	-35.55	-36.95	-46.66			-43.19	-52.27	-53.33	-60.87	-55.55		
subregion	Alger County	Residential																																											
subregion	Allegan County	Retail & recreation	12.85	0.11	0.44	4.42	2.99	-2.72	9.04	18.96	7.17	-0.12	-0.98	4.64	3.1	18.43	30.1	15.97	13.76	19.65	13.74	5.9	12.71	30.96	7.17	17.53	9.29	17.04	3.33	-2.71	9.18	-7.64	-22.31	-27.32	-28.3	-34.45	-38.21	-32.56	-23.27	-51.62	-44.82	-47.74	-50.2	-55.76	-49.33
subregion	Allegan County	Grocery & pharmacy	12.42	1.67	0.36	4.04	2.55	-2.12	6.26	11.09	6.5	2.96	0.55	2.55	1.96	9.54	23.33	10.03	9.65	9.0	9.32	0.9	11.57	22.56	10.59	12.8	15.07	31.99	41.02	23.31	25.81	40.33	17.99	13.59	17.54	12.66	7.98	-0.96	28.99	-16.7	-11.77	-11.71	-12.82	-19.41	-16.82
subregion	Allegan County	Parks																																											
subregion	Allegan County	Transit stations	-4.56	-12.67	-10.4	-12.2	-11.92	-8.34	10.63		-3.8	-13.0	-19.53	-4.77	7.13	6.38		3.78	-5.2	-9.76	-8.34	-11.92			-12.67	5.18	-12.2	-1.2	-13.11	-8.53		-15.2	-9.1	-18.3	-19.06	-26.19	-14.9	-20.47	-19.0	-22.08	-26.84	-33.34	-35.72	-36.18	-36.37
subregion	Allegan County	Workplace	3.99	-8.98	-6.93	-0.09	-1.8	-4.64	6.09	8.92	0.07	1.23	-0.99	0.4	-0.01	6.86	10.76	2.76	2.21	1.29	1.13	-2.02	6.35	7.98	3.01	2.79	1.95	0.4	-3.59	3.04	-2.47	-15.79	-21.17	-23.68	-26.7	-28.8	-19.6	-24.32	-29.45	-48.77	-51.28	-51.52	-51.63	-38.18	-38.78
subregion	Allegan County	Residential	-1.14	2.69	2.3	-0.56	-0.07	1.8	-1.79	-2.26	-0.14	-0.24	0.88	0.23	0.69	-1.93	-2.49	-0.78	-0.3	-0.77	0.17	1.22	-2.15	-2.5	0.2	-1.05	-0.53	-0.89	2.87	3.54	1.94	6.94	9.36	10.87	12.35	16.09	10.4	7.69	12.64	22.22	21.85	23.62	25.83	16.05	11.82
subregion	Alpena County	Retail & recreation	11.78	2.83	-13.87	-0.01	4.03	-0.84	8.81	13.92	4.54	-1.88	10.15	2.68	-7.1	12.98	14.27	11.35	9.33	6.14	5.91	-11.67	15.43	21.42	0.56	3.72	-2.15	7.79	-3.97	-6.38	2.49	-12.79	-32.54	-32.63	-29.57	-41.47	-39.22	-31.43	-22.17	-57.87	-52.95	-51.62	-53.97	-57.85	-42.86
subregion	Alpena County	Grocery & pharmacy	11.95	0.64	-15.93	-2.01	-4.47	-9.86	-2.4	9.39	-2.59	-3.83	3.99	-1.28	-15.28	8.97	17.93	4.51	7.63	11.32	0.62	-19.22	8.38	23.06	3.22	6.37	10.66	28.01	19.2	17.35	20.5	36.76	3.17	8.66	4.45	-5.43	-4.8	-0.01	28.37	-38.22	-29.35	-19.76	-28.58	-27.55	-17.1
subregion	Alpena County	Parks																																											
subregion	Alpena County	Transit stations																																											
subregion	Alpena County	Workplace	2.49	-5.33	-14.66	-2.54	0.0	0.44	1.04	2.49	3.11	3.02	0.42	-0.84	0.0	3.12	1.25	3.56	4.31	0.84	0.0	-14.54	5.21	5.0	1.78	-2.16	0.42	-2.52	-1.32	3.12	0.0	-14.22	-19.39	-22.37	-25.63	-27.31	-20.84	-23.75	-25.33	-40.94	-39.24	-41.17	-40.09	-35.41	-31.25
subregion	Alpena County	Residential		1.85	4.89	2.41	0.56	0.58			-0.58	-0.3	-0.01	1.04	0.96			-0.47	-0.96	-0.46	-0.46				0.82	-1.26	0.77	0.78	2.98																
