Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Missouri	Retail & recreation	13.16	4.46	0.37	8.52	0.74	9.68	7.04	11.75	-2.12	1.86	13.3	8.33	17.27	14.56	21.25	9.06	13.68	18.27	9.94	15.97	12.06	19.68	2.99	11.43	18.79	7.55	12.29	-6.1	-1.54	-2.16	-10.5	-11.95	-24.55	-23.51	-36.57	-39.65	-33.13	-43.54	-32.77	-38.55	-36.83	-45.65	-38.01
region	Missouri	Grocery & pharmacy	7.27	1.82	-1.53	0.82	-0.39	-1.72	9.67	8.34	0.14	0.32	2.47	3.92	3.82	12.37	15.33	7.71	12.3	9.55	8.27	2.88	13.58	16.44	4.7	10.74	13.39	23.52	24.24	17.59	17.25	30.28	22.49	19.72	13.28	13.3	11.15	-1.07	1.67	-13.69	-6.42	-10.39	-13.41	-12.26	-12.15
region	Missouri	Parks	45.1	7.53	11.37	-2.26	0.71	23.28	62.6	53.74	-15.39	1.52	-14.43	9.99	36.69	84.34	95.17	19.02	66.1	28.21	50.38	66.84	114.18	119.05	-7.55	46.2	49.83	25.93	36.64	-16.27	-8.03	-11.2	27.83	2.4	9.04	8.57	27.15	-41.3	1.73	-15.96	46.77	72.8	50.11	31.95	72.9
region	Missouri	Transit stations	2.55	-2.44	1.81	7.02	2.89	8.84	8.17	6.47	-3.15	-0.95	7.63	4.83	12.66	10.7	10.61	0.97	4.68	10.54	6.25	13.27	13.3	13.7	-4.05	1.27	10.41	1.42	6.42	-3.45	-4.69	-12.54	-10.73	-10.41	-19.06	-17.68	-16.88	-30.25	-30.84	-32.66	-24.47	-30.02	-29.6	-32.02	-34.24
region	Missouri	Workplace	3.11	-19.65	1.52	4.76	3.16	18.01	6.39	4.56	3.01	2.02	3.61	3.88	17.79	6.4	5.41	4.36	3.12	5.68	4.2	17.57	7.4	4.92	1.14	0.27	3.54	0.61	9.5	0.82	-2.42	-13.5	-19.41	-24.09	-28.71	-21.7	-16.89	-26.16	-35.43	-42.32	-41.19	-42.96	-35.54	-28.3	-31.82
region	Missouri	Residential	-1.25	5.22	-0.05	-2.48	0.07	-1.73	-1.98	-1.11	1.35	0.31	-2.03	-0.71	-2.9	-3.53	-2.72	-0.55	-1.85	-3.65	-1.43	-2.83	-3.12	-2.5	1.54	-0.68	-3.16	0.33	-0.24	2.56	2.02	5.71	7.0	7.84	12.57	12.5	8.59	9.33	14.46	18.39	14.11	17.35	17.71	11.99	9.07
subregion	Adair County	Retail & recreation	15.96	4.28	-2.69	4.03	-8.66	4.07	0.86	12.76	-6.31	-11.86	7.58	6.12	28.51	13.37	25.52	14.1	6.7	18.95	7.38	13.84	-4.63	7.17	-5.29	-5.38	3.78	-6.12	10.79	-18.02	-0.01	-5.29	-15.44	-18.25	-29.11	-19.76	-40.65	-45.22	-41.06	-48.1	-43.84	-47.68	-39.51	-45.8	-40.43
subregion	Adair County	Grocery & pharmacy		72.96	54.31	75.63	61.1	79.54	71.73		85.12	56.78	78.19	45.55	120.44	95.64		90.54	86.41	92.3	76.66	101.13	92.38		83.78	75.3	93.58	88.89	136.35	91.29			117.27	103.83	82.22	113.63	78.26		64.85	32.09	33.33	21.11	67.04	55.43	
subregion	Adair County	Parks																																											
subregion	Adair County	Transit stations																																											
