Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Montana	Retail & recreation	8.85	6.13	-1.81	1.39	6.0	3.95	8.16	9.77	0.69	3.97	9.4	12.2	10.59	13.54	17.69	9.0	10.39	7.71	11.53	8.93	11.44	11.2	7.95	7.99	6.11	9.94	-0.05	-15.07	-13.97	-2.27	-19.24	-27.17	-29.19	-32.9	-41.09	-39.23	-31.58	-35.13	-36.99	-32.52	-34.89	-58.5	-51.17
region	Montana	Grocery & pharmacy	2.42	0.5	-0.84	0.74	1.13	1.4	5.91	4.72	-0.26	0.87	3.38	3.07	5.62	7.84	10.2	5.36	8.71	7.25	10.68	7.29	8.11	7.2	6.83	7.07	8.98	15.62	20.13	12.89	10.07	28.65	15.99	5.27	1.57	6.25	1.33	-7.02	-5.45	-6.03	-8.9	2.19	7.73	-24.89	-24.96
region	Montana	Parks	-0.66	9.87	-2.45	3.47	4.25	3.36	5.37	-5.89	-8.96	9.78	-1.17	8.23	19.75	-3.66	-0.66	-0.62	12.53	0.57	18.74	29.87	6.72	-8.07	12.34	19.26	7.24	10.79	-16.16	-43.85	-31.16	9.56	27.51	9.85	2.27	19.51	33.65	38.11	30.85	12.84	8.11	20.73	8.43	-1.55	28.31
region	Montana	Transit stations	8.38	-1.57	0.96	2.98	5.47	3.58	4.69	8.38	3.13	5.74	5.04	7.66	7.84	12.13	14.06	5.88	11.3	6.52	8.75	8.19	10.76	12.02	7.44	6.31	5.97	7.66	1.02	-5.09	-0.0	1.57	-0.19	-11.01	-13.69	-15.54	-13.31	-19.5	-24.32	-22.22	-24.44	-25.73	-29.19	-36.79	-36.97
region	Montana	Workplace	0.14	-23.85	1.58	1.82	1.58	1.87	0.71	3.01	3.13	1.66	1.87	1.39	0.91	1.27	4.62	3.86	1.44	1.63	2.05	1.89	1.16	2.0	3.03	0.92	1.02	-0.2	-3.42	-6.1	-5.56	-15.5	-22.4	-25.73	-27.82	-29.09	-26.03	-29.25	-30.54	-34.46	-35.5	-35.55	-35.74	-35.83	-36.95
region	Montana	Residential	0.1	5.06	0.32	0.01	-0.61	-0.54	-1.29	-0.17	0.11	-0.29	-0.67	-0.97	-1.4	-1.6	-1.18	-0.84	-0.66	-0.02	-1.27	-1.13	-1.22	-0.06	-0.8	-0.7	-0.36	-0.57	1.75	4.48	3.81	4.65	7.4	9.89	11.3	12.45	8.05	6.89	10.65	13.38	14.11	13.73	14.81	12.73	9.57
subregion	Beaverhead County	Retail & recreation	8.56	10.94	-8.7	7.24	12.12	-4.82	-1.35	-0.96	-0.01	-1.45	4.34	21.2	7.22	8.1	27.61	4.68	8.69	14.49	25.75	8.43	28.38	25.71	4.68	4.34	11.59	12.12	10.84	-18.92	-2.86	-12.51	-23.19	-27.54	-3.04	-12.05	-28.38	-20.01	-25.0	-40.58	-37.69	-31.83	-33.74	-44.6	-31.43
subregion	Beaverhead County	Grocery & pharmacy	3.7	1.63	5.16	-0.01	5.08	-1.47	-4.84	11.11	3.27	1.72	-3.28	-1.7	1.47	-0.01	20.36	-1.65	6.89	6.55	6.77	4.41	4.83	3.7	-0.01	6.89	-4.92	28.8	16.17	6.44	14.81	16.39	12.06	3.27	18.63	10.29	11.29	5.55	-14.76	3.45	-11.48	6.77	-1.47	-14.52	-11.12
subregion	Beaverhead County	Parks																																											
subregion	Beaverhead County	Transit stations																																											
subregion	Beaverhead County	Workplace		-17.75	1.56	6.15	-1.57	-4.85			6.44	3.12	3.07	3.12	-11.3			1.6	-1.57	3.07	9.36	-4.85			1.6	-3.13	-4.62	-4.7	-12.91			-19.36	-18.76	-23.09	-21.89	-24.21			-20.98	-23.45	-27.7	-21.89	-30.66		
subregion	Beaverhead County	Residential																																											
