Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Nevada	Retail & recreation	6.21	4.89	2.11	0.93	3.51	2.4	-0.34	4.88	3.34	4.87	8.73	7.94	5.73	6.91	6.56	6.11	8.51	6.6	6.0	2.58	1.71	3.82	4.28	1.82	5.12	2.28	1.01	-5.57	-6.28	-4.53	-11.51	-26.64	-35.55	-37.56	-46.18	-46.37	-41.03	-39.77	-40.9	-41.6	-42.86	-47.03	-46.71
region	Nevada	Grocery & pharmacy	3.46	0.33	1.36	1.23	0.77	1.88	-2.9	4.31	2.61	2.7	6.14	5.09	3.82	6.06	3.78	6.83	11.17	9.38	10.05	7.22	4.88	6.76	7.85	6.62	10.77	12.99	23.72	22.33	21.22	27.78	21.15	11.88	-1.51	-3.19	-12.54	-18.95	-15.86	-14.27	-14.62	-16.06	-16.79	-19.19	-23.06
region	Nevada	Parks	35.86	30.97	6.15	11.41	7.62	13.48	-12.49	26.89	13.67	6.45	12.43	11.61	11.74	4.09	2.51	0.88	9.12	13.9	13.42	14.15	0.02	21.57	15.17	-4.53	10.9	-3.27	-7.72	-19.29	-1.52	-14.08	-25.28	-36.41	-39.04	-42.22	-41.0	-23.68	-36.76	-35.95	-41.75	-42.63	-43.56	-49.49	-37.54
region	Nevada	Transit stations	0.84	-2.09	4.24	7.52	3.58	1.62	-1.5	5.06	3.7	2.03	5.68	4.52	2.46	3.99	0.48	-1.43	-0.68	3.62	0.57	-1.92	-0.16	0.45	-0.48	-6.32	-0.79	-8.34	-11.08	-9.3	-16.74	-19.2	-22.77	-28.87	-44.55	-49.47	-47.97	-56.9	-54.18	-50.81	-50.63	-55.55	-57.27	-54.34	-61.79
region	Nevada	Workplace	-0.47	-28.35	0.71	1.13	0.65	1.35	-2.33	-0.33	2.55	-2.08	1.53	1.13	1.61	-0.2	-1.09	2.64	1.63	1.46	1.19	1.8	-0.26	0.23	-6.98	-0.83	-0.37	-1.49	-3.7	-5.34	-7.4	-20.46	-25.99	-35.61	-42.87	-44.78	-46.13	-48.52	-47.59	-49.9	-50.51	-51.45	-51.56	-50.12	-52.1
region	Nevada	Residential	-0.58	5.78	-0.09	0.12	-0.32	-0.2	1.0	-0.56	-0.28	0.59	-1.17	-0.95	-0.93	-1.09	-0.07	-0.32	-0.88	-0.77	-0.79	-0.33	-0.16	-0.22	1.34	1.06	0.52	1.1	2.61	3.15	3.19	6.93	9.38	14.26	17.28	19.49	15.1	12.84	18.33	19.32	20.03	20.5	22.2	16.23	14.12
subregion	Carson City	Retail & recreation	10.32	3.62	3.05	-0.18	1.8	2.1	-0.15	5.62	-2.74	3.6	6.93	6.76	0.56	2.99	-5.53	5.39	9.0	5.98	9.34	0.13	1.28	7.83	-0.71	5.48	4.42	9.08	2.04	-10.26	-9.68	-7.34	-13.69	-23.62	-29.74	-31.65	-40.96	-36.87	-36.78	-35.11	-37.06	-35.9	-38.05	-42.88	-36.41
subregion	Carson City	Grocery & pharmacy	5.0	0.58	7.19	3.66	3.52	8.8	6.72	10.0	2.63	7.19	10.98	10.29	7.54	15.4	3.43	14.33	15.56	8.16	17.93	14.57	14.84	14.05	14.33	14.96	12.67	26.76	32.41	29.13	27.19	40.63	32.34	19.72	11.17	9.3	-0.84	-10.62	-12.29	-7.19	-14.09	-9.12	-7.29	-5.32	-13.13
subregion	Carson City	Parks							37.09							9.67	-35.72						-16.14							-48.39	-21.43	-30.78		-26.19	-20.01	-0.01	1.61				-14.29			-3.23	
subregion	Carson City	Transit stations																																											
