Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	New Hampshire	Retail & recreation	10.03	20.63	-11.55	6.78	6.63	1.47	3.66	6.32	5.49	3.86	8.02	0.76	2.36	4.33	9.75	6.07	8.49	5.3	6.3	0.59	6.51	9.38	9.28	7.51	7.18	7.24	-1.49	-4.96	-6.22	-1.24	-21.98	-22.6	-33.3	-32.75	-39.43	-41.09	-37.63	-42.14	-38.42	-34.31	-37.16	-50.8	-57.68
region	New Hampshire	Grocery & pharmacy	0.29	7.7	-10.95	1.6	1.89	-2.7	-2.54	-1.69	-1.62	-2.67	0.94	-6.6	-2.3	-1.89	3.33	2.88	6.19	1.7	6.53	-0.89	1.54	3.36	5.71	5.88	9.41	29.69	31.12	19.72	10.2	27.52	17.07	14.72	6.1	12.64	-2.47	-14.61	-9.78	-16.49	-8.91	-2.16	-5.57	-22.32	-35.14
region	New Hampshire	Parks	21.4	54.87	-5.54	9.79	15.7	8.7	39.23	40.26	57.9	14.32	-1.19	-6.1	5.47	8.29	-10.02	11.44	42.66	-4.17	25.31	2.73	14.9	44.59	97.29	30.93	13.35	11.85	-22.64	23.39	23.96	21.87	-11.74	60.53	-23.73	10.93	37.16	32.02	-17.85	-7.17	-5.35	59.61	43.53	24.52	-63.46
region	New Hampshire	Transit stations	11.29	13.31	11.76	14.69	17.02	12.34	27.04	27.82	13.31	10.45	5.62	4.64	3.77	13.16	22.98	9.28	16.01	6.87	8.36	3.02	9.25	19.75	6.81	5.23	4.37	2.48	-12.59	-4.27	-7.26	-11.46	-13.73	-17.19	-30.03	-37.03	-30.96	-37.9	-38.08	-35.95	-36.26	-36.23	-46.85	-49.11	-63.31
region	New Hampshire	Workplace	3.59	-21.37	-1.12	0.18	2.6	0.94	3.36	3.96	-9.48	-9.53	-9.69	-10.96	-10.38	1.15	3.27	3.25	2.14	1.78	3.98	2.76	4.46	3.27	1.58	-1.19	0.49	0.89	-2.82	-0.24	-3.14	-16.33	-25.16	-29.39	-32.4	-34.34	-24.48	-27.82	-39.4	-45.14	-43.02	-42.53	-42.17	-34.13	-38.13
region	New Hampshire	Residential	-0.69	5.26	3.17	0.51	0.11	1.05	-1.37	-1.82	0.72	1.23	1.34	2.97	1.83	-1.57	-1.46	-0.51	-0.65	0.47	-0.48	0.76	-0.88	-1.09	-0.7	0.65	0.6	1.08	4.02	2.41	2.94	7.06	12.47	13.29	17.15	17.9	10.66	9.23	17.34	20.61	20.22	19.43	20.47	13.32	13.28
subregion	Belknap County	Retail & recreation	21.28	23.7	-17.62	9.55	10.24	3.69	10.65	13.11	6.17	8.26	15.79	5.12	7.81	13.28	14.36	6.78	10.56	8.96	10.47	1.4	13.35		11.23	8.99	7.66	6.0	-4.83	1.96	3.2	1.36	-21.26	-16.99	-30.62	-32.04	-34.43	-35.64	-37.65	-35.97	-32.08	-25.28	-30.38	-42.96	-51.65
subregion	Belknap County	Grocery & pharmacy	15.1	15.52	-11.35	7.85	8.57	2.44	1.16	6.58	4.48	2.98	7.85	-5.33	2.2	2.09	13.45	9.84	9.25	8.45	12.42	1.71	9.3	10.98	10.44	7.75	10.87	35.5	29.09	30.22	35.71	39.99	25.07	25.97	17.16	18.58	4.65	-3.57	1.49	-13.44	2.11	7.69	0.48	-16.05	-28.02
subregion	Belknap County	Parks														4.08	-17.02						-2.04							10.2	2.12														-53.19
subregion	Belknap County	Transit stations																																											
subregion	Belknap County	Workplace	7.4	-15.94	-2.27	2.6	5.96	3.09	4.12	4.31	-12.57	-12.37	-11.97	-14.07	-12.04	-0.01	-0.63	2.65	3.64	2.76	5.26	4.54	3.21	1.23	2.82	0.34	3.11	4.04	-1.83	-0.01	2.46	-11.34	-18.3	-22.19	-26.89	-30.79	-22.95	-28.4	-33.28	-39.21	-35.53	-35.34	-35.16	-31.66	-35.19
subregion	Belknap County	Residential		4.4	4.95	0.19	0.28	1.4	-1.59		1.09	2.04	1.2	4.59	2.57	-0.9		-0.25	-1.05	-0.01	-0.42	0.86	-0.91		-0.08	0.1	0.15	0.51	4.09	2.07		5.83	9.56	10.24	14.76	16.46			15.31	17.53	16.32	16.03	18.46		
subregion	Carroll County	Retail & recreation	38.72	48.23	1.62	24.86	31.03	14.12	16.57	23.88	15.48	17.86	18.78	-6.05	11.22	11.91	18.75	6.51	13.35	7.29	6.53	0.95	9.73	13.89	8.79	5.59	5.56	5.38	-7.62	-2.19	-3.52	-2.47	-29.97	-26.27	-37.92	-45.66	-51.2	-52.63	-42.61	-47.3	-42.79	-39.71	-47.35	-61.14	-69.23
subregion	Carroll County	Grocery & pharmacy	30.62	22.14	-1.87	14.46	9.2	0.91	10.84	13.75	5.69	4.95	13.82	-10.44	1.82	1.4	16.86	7.59	5.58	1.25	8.59	-6.4	4.23	13.75	10.75	-0.01	6.91	25.14	13.23	27.82	44.98	46.19	20.49	25.77	4.9	1.36	1.4	6.25	1.89	-11.18	-5.04	3.06	-10.96	-21.7	-30.01
subregion	Carroll County	Parks																																											
subregion	Carroll County	Transit stations																																											
subregion	Carroll County	Workplace	2.76	-16.33	-5.32	-2.78	-0.56	-3.1	1.72	3.45	-2.34	-4.21	-3.34	-13.97	-5.07	1.72	2.76	6.7	2.52	4.74	3.91	3.38	5.17	-1.39	4.08	-0.84	3.62	-1.12	-7.32	-2.31	-10.34	-9.62	-21.29	-22.57	-28.49	-32.4	-30.46	-37.24	-34.11	-43.97	-39.27	-39.11	-40.85	-41.95	-51.04
subregion	Carroll County	Residential		2.76	5.56	0.4	-0.37	2.0			0.01	0.09	1.16	6.98	1.42			-0.82	-1.49	1.6	-0.72	0.56			-1.14	0.31	-0.09	1.42	5.39			4.78	11.01	10.66	15.03	15.85			14.35	18.1	17.03	16.78	18.63		
subregion	Cheshire County	Retail & recreation	4.25	12.03	-16.91	3.61	8.53	3.42	3.43	5.21	3.82	3.81	7.45	6.46	7.09	5.23	9.76	7.98	9.85	5.43	10.3	3.58	9.21	8.78	11.92	7.49	8.51	10.09	8.1	4.36	-1.75	6.02	-15.12	-16.73	-26.87	-21.35	-28.52	-31.79	-33.68	-35.61	-29.92	-26.66	-29.64	-42.11	-51.02
subregion	Cheshire County	Grocery & pharmacy	-3.94	4.45	-15.17	-1.22	1.46	-5.26	-5.9	-5.1	-4.46	-5.73	-3.91	-4.13	-8.49	-5.69	-2.33	-1.73	4.73	-0.01	4.36	-5.66	-3.46	0.46	2.22	1.74	4.15	17.22	11.5	17.88	4.87	21.03	8.95	8.53	0.24	5.65	1.62	-13.0	-14.86	-18.41	-10.97	-6.32	-11.12	-19.11	-36.2
subregion	Cheshire County	Parks																																											
subregion	Cheshire County	Transit stations																																											
