Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	New Mexico	Retail & recreation	10.18	7.63	3.69	1.97	4.24	2.88	1.64	1.78	4.21	4.13	12.21	13.49	11.67	12.43	17.15	12.15	13.63	12.88	12.47	8.25	10.49	8.61	11.99	11.79	12.37	13.37	0.86	-5.11	-7.08	-2.27	-11.07	-15.47	-23.89	-27.9	-37.18	-36.5	-25.5	-38.7	-40.51	-41.34	-42.68	-46.52	-43.51
region	New Mexico	Grocery & pharmacy	9.11	5.83	5.76	4.23	4.04	5.59	2.54	1.0	5.27	2.94	8.73	10.29	13.93	12.95	15.25	12.65	15.46	13.19	13.42	12.27	13.81	9.32	14.91	13.9	20.85	36.74	39.17	24.16	16.31	25.07	21.7	19.2	16.54	14.76	2.52	-2.54	12.34	-7.17	-12.2	-14.74	-12.98	-18.03	-18.1
region	New Mexico	Parks	32.72	35.07	15.39	5.14	8.49	-0.4	-9.14	-24.69	9.18	-3.13	6.37	24.21	15.17	26.18	16.9	18.6	11.11	19.79	32.12	20.53	37.35	-3.8	46.89	35.18	29.86	28.16	-13.3	19.97	19.25	35.79	12.84	-6.83	-1.99	-1.7	-9.47	9.67	3.93	4.62	-6.05	-18.05	-27.78	-28.39	-12.21
region	New Mexico	Transit stations	6.57	7.34	4.24	2.51	4.61	2.88	-1.24	1.42	4.78	3.98	5.62	10.81	8.82	7.22	11.0	8.86	7.96	7.08	8.34	8.08	11.79	9.25	10.07	9.41	8.44	9.62	2.65	8.37	6.18	3.53	3.25	-2.09	-5.51	-10.06	-10.32	-15.71	-19.76	-18.89	-23.18	-25.96	-32.68	-29.21	-30.76
region	New Mexico	Workplace	1.08	-26.3	2.86	3.2	1.27	4.67	0.41	0.6	3.41	3.06	3.25	1.22	4.78	2.79	4.46	4.1	3.03	3.11	1.86	5.08	3.3	1.75	1.62	1.1	0.6	-4.39	-6.02	-2.07	-4.56	-20.32	-24.97	-28.19	-33.32	-31.36	-23.07	-26.07	-36.16	-42.65	-44.36	-46.59	-43.7	-33.13	-33.67
region	New Mexico	Residential	-1.36	4.32	-0.65	-0.25	-0.13	-1.22	0.23	0.78	-1.0	0.02	-1.36	-1.18	-2.66	-2.55	-1.88	-1.79	-0.79	-0.97	-1.44	-2.43	-2.51	-0.22	-1.61	-0.98	-0.96	0.24	2.84	2.28	2.72	5.38	8.91	10.93	13.43	13.06	10.45	8.3	12.51	16.82	17.74	19.22	19.12	13.62	10.83
subregion	Bernalillo County	Retail & recreation	11.75	9.91	4.66	1.01	5.23	3.39	0.83	3.0	6.05	4.88	11.26	12.6	11.4	13.17	19.12	12.38	13.58	11.19	10.93	8.24	10.13	9.74	12.02	10.68	12.13	12.46	-1.56	-10.88	-10.83	-5.19	-15.52	-20.54	-29.53	-32.0	-41.95	-39.68	-27.52	-42.63	-44.25	-44.68	-44.56	-50.51	-45.73
subregion	Bernalillo County	Grocery & pharmacy	9.93	6.44	7.96	7.89	4.29	5.81	3.03	1.45	4.68	3.69	8.51	8.72	11.97	13.16	15.11	11.1	17.57	15.44	12.75	12.0	12.78	9.45	11.82	13.33	22.82	36.91	42.71	23.49	13.2	24.44	19.16	18.43	10.11	10.3	-0.98	-8.18	9.84	-13.81	-16.07	-20.64	-14.67	-20.43	-21.64
subregion	Bernalillo County	Parks	27.83	34.52	16.98	5.88	8.72	4.25	-12.42	-32.3	8.8	-4.09	8.6	23.82	18.66	41.34	28.1	26.26	16.5	23.57	32.72	27.01	51.38	-4.2	48.74	27.28	22.77	26.0	-17.31	28.92	28.1	35.07	7.35	-13.86	-7.05	6.37	9.37	27.7	18.34	13.72	4.62	-19.47	-19.12	-15.06	7.98
subregion	Bernalillo County	Transit stations	4.26	2.0	6.41	3.03	2.54	1.32	-6.83	-4.83	4.72	3.48	5.8	11.46	11.01	5.65	6.31	9.72	6.98	7.63	7.71	6.66	6.46	-0.96	4.3	7.67	7.96	1.53	-8.2	-4.01	-7.99	-8.83	-10.55	-18.73	-22.29	-25.52	-26.13	-31.52	-31.49	-33.95	-36.49	-39.74	-43.14	-39.84	-42.58
