Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	North Dakota	Retail & recreation	8.86	8.58	-1.7	0.19	4.05	4.49	12.3	11.41	1.22	1.07	7.16	7.81	8.44	12.38	12.34	6.07	6.2	6.79	6.44	7.06	14.57	9.83	5.42	5.31	7.73	9.13	3.48	-2.14	-8.47	-4.25	-10.37	-19.38	-29.77	-40.11	-51.89	-48.52	-37.49	-40.62	-39.2	-38.48	-40.05	-47.97	-43.73
region	North Dakota	Grocery & pharmacy	-0.07	-2.62	-3.79	-4.28	-1.33	-1.61	4.1	7.43	-2.87	-3.21	-0.07	-0.82	0.34	10.67	8.74	1.4	3.6	1.46	1.46	0.34	7.95	4.01	2.23	6.49	9.89	20.45	19.1	14.7	13.41	25.9	21.07	17.81	11.4	9.97	-3.86	-11.23	-6.32	-9.44	-8.94	-6.84	-6.57	-9.1	-12.98
region	North Dakota	Parks	9.87	3.89	-5.33	-4.95	6.7	11.53	30.39	16.65	5.84	-1.79	10.49	9.14	12.63	21.56	-1.24	7.13	13.01	9.25	15.23	21.42	47.05	4.31	14.92	10.05	20.98	4.87	5.48	-13.73	-12.97	-15.59	1.77	-8.03	-20.74	-15.39	-15.2	24.68	18.82	3.54	1.85	18.28	32.41	38.22	72.83
region	North Dakota	Transit stations	4.26	0.56	6.15	9.31	5.19	7.25	9.01	11.23	-2.61	3.84	7.03	4.66	8.85	10.65	6.74	1.86	3.46	7.03	4.84	6.2	9.63	8.98	1.29	5.96	12.16	4.3	4.42	-6.15	-7.42	-8.36	-2.32	-7.23	-16.85	-19.47	-29.1	-29.67	-24.17	-17.69	-21.87	-24.19	-24.78	-31.56	-35.95
region	North Dakota	Workplace	1.48	-21.18	-1.06	1.19	0.83	4.25	3.74	2.56	3.78	2.0	1.93	1.91	5.48	5.16	4.14	4.43	2.26	2.19	1.71	3.34	4.67	3.25	3.52	1.86	1.5	-0.55	-1.61	1.99	-1.08	-12.62	-15.13	-19.17	-24.06	-24.77	-19.4	-22.68	-27.19	-30.41	-31.41	-31.68	-29.95	-22.15	-23.76
region	North Dakota	Residential	-0.87	5.34	1.15	0.5	-0.12	-0.16	-1.78	-1.9	0.19	0.46	-0.87	-0.47	-0.45	-1.91	-0.87	-0.57	-0.21	-0.8	-0.23	0.14	-1.9	-0.94	-0.39	-0.15	-0.77	0.35	2.45	2.93	2.69	6.28	7.38	9.8	13.5	17.14	12.89	8.92	13.42	15.8	15.64	16.29	18.59	12.32	8.97
subregion	Barnes County	Retail & recreation	-20.01	-8.58	-7.69	-5.41	1.26	9.57	96.24	21.99	-11.43	-6.42	-4.05	-5.07	14.88	69.99		38.57	61.53	49.99	74.67	79.78		-16.0	-5.72	2.56	10.8	5.06	1.06	2.5	3.99	-4.29	-12.82	-22.98	-20.26	-45.74	-52.5	-40.0	-31.43	-41.03	-37.84	-40.51	-36.18	-35.01	-22.01
subregion	Barnes County	Grocery & pharmacy																																											
subregion	Barnes County	Parks																																											
subregion	Barnes County	Transit stations																																											
subregion	Barnes County	Workplace		-20.66	2.11	1.05	-2.12	3.74			4.34	4.25	-1.07	1.04	11.24			7.6	2.11	3.19	-2.12	8.74			3.25	4.25	8.5	4.2	8.74			-14.13	-14.9	-18.09	-23.16	-25.0			-26.1	-25.54	-27.67	-30.53	-25.0		
subregion	Barnes County	Residential																																											
subregion	Bottineau County	Retail & recreation		-2.23	-6.4	6.38	2.17	10.33	16.06		-2.23	10.63		2.17	6.89	14.28			10.63	-0.01		25.85	35.7		-4.45	6.38	2.12		1.72	12.49		-31.12	-10.65	2.12	-0.01	-48.28	-48.22	-40.55	-33.34	-44.68	-34.04	-32.61	-44.84	-39.29	
