Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Ohio	Retail & recreation	6.29	5.3	0.3	3.03	2.11	1.79	8.63	7.49	1.57	3.87	6.12	1.77	4.4	11.14	16.68	7.34	11.54	11.55	11.18	1.99	12.97	15.27	9.31	5.3	7.92	8.93	-0.69	-12.05	-9.02	-16.09	-25.15	-28.89	-31.82	-34.86	-43.87	-37.56	-32.89	-51.03	-43.16	-41.9	-46.3	-50.29	-42.78
region	Ohio	Grocery & pharmacy	1.36	-2.09	-1.17	-0.37	0.1	-2.24	3.81	3.33	-1.34	0.47	1.94	-0.18	0.87	5.33	10.15	3.39	8.04	6.94	7.93	-2.65	7.26	9.37	6.7	5.55	11.45	32.45	21.35	10.69	16.98	25.74	10.79	5.28	8.39	0.44	-7.04	-0.14	-0.78	-25.66	-18.04	-15.37	-19.73	-21.31	-18.79
region	Ohio	Parks	25.44	8.95	5.77	14.16	1.7	18.67	67.66	77.36	-0.13	2.36	-2.95	-5.97	7.31	12.97	68.11	-7.41	22.97	29.32	51.28	9.06	67.81	186.8	78.38	13.39	25.37	49.72	46.39	9.03	45.96	16.04	27.14	2.19	13.75	47.49	3.52	62.04	-1.85	10.99	100.57	103.01	26.08	29.26	117.02
region	Ohio	Transit stations	0.12	-1.26	3.48	3.43	1.62	6.33	8.18	5.63	1.56	3.52	3.23	2.1	7.1	7.03	10.65	2.24	6.51	6.92	7.9	4.9	12.87	13.65	7.21	2.29	4.24	1.87	1.02	-4.12	-5.88	-8.78	-9.67	-15.41	-18.67	-19.44	-21.71	-25.87	-26.33	-31.21	-27.1	-29.37	-33.25	-34.49	-32.89
region	Ohio	Workplace	0.79	-19.19	1.55	1.8	1.89	3.15	3.43		2.72	1.66	1.02	-3.4	1.04	1.89	3.51	2.5	2.15	1.78	2.4	1.89	3.85	2.47	1.29	0.26	0.02	-0.55	-4.13	-2.86	-6.53	-17.53	-24.79	-28.42	-31.28	-33.62	-24.95	-27.74	-38.69	-47.07	-47.58	-48.06	-47.54	-34.89	-35.08
region	Ohio	Residential	-0.83	4.98	0.1	-0.22	0.25	-0.18	-1.68	-1.25	0.59	0.02	-0.0	2.29	0.14	-1.6	-2.03	0.34	-0.91	-0.88	-1.03	0.35	-2.09	-2.28	-0.35	0.49	0.11	0.29	2.48	3.81	2.94	7.49	10.03	12.31	14.03	15.87	11.32	8.22	15.78	20.11	19.25	19.7	22.2	13.96	9.89
subregion	Adams County	Retail & recreation	-6.37	-10.58	0.44	8.67	-2.94	2.11	11.21	0.45	-1.33	8.07	13.92	10.04	8.83	11.78	18.63	9.24	17.93	11.41	19.66	5.3	26.23	18.17	11.45	10.32	5.25	24.27	8.83	-0.38	-4.55	-5.73	-16.6	-14.62	-17.99	-20.85	-19.78	-20.01	-23.79	-46.64	-28.77	-25.11	-24.74	-16.74	-24.54
subregion	Adams County	Grocery & pharmacy	-0.97	-8.04	-7.9	-0.89	-5.69	-5.31	-4.76	0.97	-2.69	-7.9	1.76	-4.06	3.02	3.96	14.56	7.14	13.16	11.49	3.25	-6.07	0.79	20.38	7.14	1.75	3.54	21.95	20.45	22.22	32.03	42.85	13.16	15.04	6.5	6.82	2.38	30.09	13.39	-17.55	-8.85	-5.69	-9.09	-0.01	-3.89
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations																																											
subregion	Adams County	Workplace	1.36	-24.76	3.97	3.39	-0.01	3.12	2.38	-4.12	-0.01	1.48	1.93	0.97	4.68	11.9	4.1	3.95	3.47	1.93	1.45	4.68	2.38	-2.75	0.98	0.99	-0.01	2.42	2.6	-2.39	-4.12	-9.41	-16.92	-17.48	-27.19	-25.53	-13.11	-19.19	-26.25	-34.34	-33.99	-34.47	-32.82	-22.63	-21.93
subregion	Adams County	Residential																																											
subregion	Allen County	Retail & recreation	4.34	4.88	-0.08	4.89	1.09	0.24	13.76	8.83	-1.68	4.32	3.87	1.74	6.55	13.37	13.69	9.34	16.46	13.59	12.42	0.14	13.89	12.35	7.6	5.93	9.79	14.56	-0.65	-7.27	-5.51	-12.7	-20.95	-23.68	-29.59	-34.8	-42.61	-37.9	-29.18	-48.43	-41.1	-40.46	-46.6	-55.09	-47.7
subregion	Allen County	Grocery & pharmacy	-0.99	-0.52	-1.73	3.12	-2.5	-3.67	4.74	0.48	-2.39	1.19	-1.57	-0.68	-0.14	10.97	8.22	2.37	9.94	9.89	3.82	-5.17	8.66	7.24	7.32	6.86	17.35	43.42	24.31	12.05	22.56	45.64	19.54	16.83	16.8	6.25	2.57	4.28	8.33	-23.33	-14.77	-13.31	-16.18	-21.95	-25.21
subregion	Allen County	Parks		-2.23	-0.01	6.38	4.24	10.63			-0.01	-2.23	-6.4	-12.77	4.24																			-4.26	6.38	12.76							12.76		
