Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Oklahoma	Retail & recreation	4.69	2.6	-0.04	5.12	1.55	2.51	3.4	0.07	0.17	4.22	15.0	15.33	14.52	13.53	19.21	10.27	17.37	14.0	14.16	9.5	9.92	7.47	6.6	10.2	15.27	15.2	2.84	-4.77	-4.73	-1.61	-9.75	-12.06	-20.16	-26.3	-34.95	-38.36	-28.28	-24.82	-21.07	-29.12	-34.17	-37.14	-36.44
region	Oklahoma	Grocery & pharmacy	1.37	-1.24	-0.79	3.2	-0.17	-3.31	2.3	-2.44	-0.82	1.36	6.96	8.52	7.11	11.63	17.38	7.26	13.67	10.16	12.9	4.26	10.62	5.07	6.7	12.24	15.2	26.88	13.78	12.95	9.04	20.77	18.45	18.23	10.32	6.29	2.22	-7.59	-3.76	1.73	4.47	-3.03	-10.41	-5.98	-12.32
region	Oklahoma	Parks	16.64	27.57	7.5	20.67	-4.11	1.8	10.39	-38.09	-12.96	8.1	4.93	25.26	32.75	56.94	68.18	10.04	45.84	25.71	46.32	45.91	60.51	3.87	13.56	64.25	73.14	74.16	-14.49	-23.54	-20.6	-17.1	-0.41	47.63	25.35	-10.87	-9.07	-26.1	-1.24	50.94	72.52	56.52	23.86	13.06	28.84
region	Oklahoma	Transit stations	1.48	2.1	2.05	5.41	2.34	2.73	3.52	-0.32	1.26	2.82	10.09	9.95	12.5	12.75	13.91	5.94	7.34	10.27	10.34	9.93	14.63	10.66	4.77	9.04	15.41	13.89	7.78	6.72	3.57	-1.78	-3.24	2.27	-6.11	-10.52	-8.89	-16.58	-16.51	-13.89	-9.17	-16.5	-22.03	-20.1	-23.02
region	Oklahoma	Workplace	0.57	-19.14	0.31	3.32	1.39	2.79	2.67	-0.27	1.89	2.21	3.62	2.61	3.18	4.02	3.5	2.79	2.32	4.19	2.72	2.91	3.52	1.55	1.76	1.85	3.7	0.87	-7.03	-2.74	-3.9	-18.85	-22.49	-25.05	-29.24	-29.79	-18.43	-26.49	-31.02	-33.59	-34.27	-38.19	-37.98	-26.69	-32.37
region	Oklahoma	Residential	-0.41	4.74	0.45	-1.08	0.21	0.07	-0.49	1.16	1.33	0.12	-1.65	-1.89	-2.48	-2.96	-2.7	-0.51	-1.97	-1.81	-2.16	-1.53	-2.0	-0.18	0.83	-1.23	-2.4	-2.2	3.09	2.67	2.1	6.2	7.84	7.87	10.96	13.17	9.11	9.0	13.26	12.91	11.69	14.16	16.46	10.71	9.08
subregion	Adair County	Retail & recreation	-30.0	-25.58	-26.14	-17.75	0.56	-2.33	-5.89	1.43	0.58	2.26	27.81	23.29	17.67	14.44	29.28	23.83	20.45	14.79	24.43	11.15	9.62	23.57	4.65	11.93	14.79	24.43	5.58	-0.01	6.42	1.74	-5.11	-0.6	-5.68	-10.23	-6.43	-8.58	-16.87	-9.66	-8.88	-5.11	-17.68	-14.98	-2.86
subregion	Adair County	Grocery & pharmacy	28.33	15.48	29.84	35.38	7.35	-2.47	2.86	-21.67	-11.27	2.98	4.6	8.81	9.88	12.85	16.67	7.03	14.92	16.92	17.64	2.46	2.86	10.0	4.22	10.44	13.84	26.46	4.94	-4.29	-1.67	7.03	17.9	23.07	14.7	11.11	5.71	-8.34	7.03	1.49	15.38	16.17	3.7	12.85	8.32
subregion	Adair County	Parks																																											
subregion	Adair County	Transit stations																																											
