Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Texas	Retail & recreation	7.9	5.5	-0.88	-1.56	-0.62	1.65	3.23	4.24	2.38	5.81	10.0	10.87	9.73	10.18	13.8	8.26	11.7	6.07	10.58	6.37	5.43	8.92	6.35	9.82	11.78	10.59	0.98	-8.09	-8.78	-3.91	-12.26	-16.15	-22.09	-29.71	-40.13	-41.21	-30.65	-29.67	-38.71	-38.42	-41.45	-46.8	-44.89
region	Texas	Grocery & pharmacy	3.21	1.81	-0.79	-0.48	-1.87	0.01	1.36	0.82	0.95	1.57	6.04	5.54	7.52	7.6	8.89	7.17	9.5	5.09	8.34	6.69	6.61	4.27	5.17	6.5	14.06	25.6	31.12	14.19	6.51	16.77	15.27	14.4	11.59	9.0	-3.17	-10.1	-3.61	-0.63	-12.63	-13.67	-15.35	-19.4	-22.77
region	Texas	Parks	19.71	21.21	-3.97	-12.4	-12.87	-1.7	13.16	-11.17	1.24	11.75	0.31	25.25	18.15	32.98	6.29	7.84	16.88	-9.98	34.07	20.53	21.35	11.11	6.9	39.4	49.07	47.82	3.78	-3.15	-16.89	-1.96	1.75	11.43	10.47	-33.1	-44.66	-40.64	-13.65	-2.97	-6.43	-1.71	-18.56	-34.87	-27.25
region	Texas	Transit stations	3.54	1.84	2.57	-0.38	-1.17	2.1	3.41	2.87	2.44	3.13	5.06	7.4	7.19	9.16	6.72	3.66	3.25	-0.43	5.45	6.42	10.57	6.3	0.98	3.41	4.04	1.14	-4.61	-2.18	-6.83	-12.53	-15.73	-19.23	-24.58	-30.39	-31.53	-37.19	-34.21	-32.34	-37.17	-39.14	-42.08	-43.36	-47.19
region	Texas	Workplace	0.58	-17.56	1.24	3.19	0.71	3.03	3.56	0.96	3.14	2.87	4.16	2.23	1.42	3.44	2.35	3.65	2.59	2.49	2.55	2.71	2.79	-0.02	-8.83	-9.59	-8.55	-11.36	-14.9	-3.35	-7.3	-21.8	-26.49	-28.53	-32.08	-33.89	-21.96	-28.84	-36.11	-40.38	-43.91	-45.32	-44.76	-32.02	-35.89
region	Texas	Residential	-1.29	3.83	0.25	0.73	1.3	-0.93	-1.21	-0.11	-0.26	-1.03	-1.31	-1.71	-2.25	-2.97	-1.63	-1.41	-1.51	0.87	-1.8	-2.13	-1.96	-1.13	1.67	1.02	0.6	0.94	3.6	2.27	3.06	7.33	10.19	11.82	13.48	16.57	12.63	11.07	15.35	16.82	19.58	19.91	21.28	15.43	12.85
subregion	Anderson County	Retail & recreation	7.03	0.66	1.68	-5.32	3.33	3.83	0.83	-4.18	9.15	10.9	21.36	16.48	14.54	11.23	16.15	14.3	20.8	11.94	18.22	8.19	9.12	13.49	7.32	15.77	23.45	15.36	8.86	-0.56	-0.96	0.82	-1.01	-3.75	-10.62	-22.36	-33.71	-36.31	-23.46	-18.29	-17.52	-19.34	-23.94	-31.75	-23.39
subregion	Anderson County	Grocery & pharmacy	9.68	-2.73	-3.93	-8.69	-0.91	5.16	0.86	3.46	-0.91	-0.61	6.75	5.45	13.58	15.85	14.87	7.26	8.15	5.14	12.72	9.78	12.39	18.34	8.78	10.27	21.86	25.45	31.24	22.76	28.03	17.27	15.4	24.11	25.45	19.29	10.66	5.18	5.76	5.44	8.67	3.33	3.52	-3.75	1.03
subregion	Anderson County	Parks																																											
subregion	Anderson County	Transit stations																																											
