Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Virginia	Retail & recreation	3.95	7.82	1.4	2.26	-2.42	-2.8	3.55	4.86	1.1	3.9	6.93	6.29	6.17	5.95	9.87	7.13	13.79	8.6	6.0	2.66	5.72	7.32	6.93	6.15	7.25	7.45	3.14	-7.22	-13.88	-7.33	-13.47	-20.65	-22.65	-26.06	-37.16	-38.4	-33.55	-31.0	-39.22	-35.02	-36.96	-41.71	-39.41
region	Virginia	Grocery & pharmacy	0.19	1.63	1.88	2.36	3.34	-6.77	2.21	2.79	-0.1	0.96	4.04	3.86	3.78	6.16	8.87	5.36	9.95	7.55	5.97	0.7	7.93	8.01	7.52	7.94	9.49	19.53	21.72	14.08	5.09	13.59	10.24	5.35	4.82	3.1	-3.58	-11.68	-10.39	-7.02	-16.71	-9.01	-12.98	-13.56	-15.66
region	Virginia	Parks	8.81	40.89	22.38	6.45	-6.76	-6.88	32.13	43.02	3.62	11.08	6.64	4.2	7.42	-1.24	24.3	19.78	39.66	38.66	18.72	5.17	27.36	62.18	63.98	39.51	40.37	43.56	46.49	36.97	-12.74	9.99	52.38	25.78	61.92	59.37	5.85	15.01	-28.8	29.21	-27.98	34.36	41.39	23.71	45.78
region	Virginia	Transit stations	-0.81	-6.42	4.46	3.12	0.89	-1.77	6.1	6.52	1.09	2.08	5.83	6.1	6.19	6.04	9.13	1.95	1.99	5.43	4.34	2.59	7.95	7.06	-1.07	-1.5	0.36	-2.93	-7.99	-6.41	-16.71	-24.56	-25.46	-29.98	-33.94	-36.33	-33.61	-42.69	-49.42	-42.92	-49.04	-46.17	-48.64	-44.37	-49.84
region	Virginia	Workplace	-0.33	-26.92	2.72	1.59	0.55	-4.14	2.1	2.18	5.47	2.79	1.76	1.82	2.04	1.86	2.47	5.19	-3.79	2.05	2.24	1.16	1.29	0.35	2.58	0.66	-0.98	-2.76	-7.92	-2.51	-10.66	-19.99	-27.52	-32.81	-34.58	-35.87	-23.49	-30.89	-40.16	-42.09	-46.25	-44.75	-44.14	-30.93	-35.98
region	Virginia	Residential	-0.49	6.49	-0.49	-0.24		3.34	-0.74	-0.68	0.24	0.04	-0.72	-0.56	-0.85	-1.21	-1.28	-0.54	0.14	-1.17	-0.73	0.48	-1.06	-0.95	-0.21	-0.17	-0.17	0.46	2.74	2.53	4.8	8.79	10.68	13.41	14.21	15.43	10.93	10.0	18.59	17.24	21.01	18.8	19.6	12.36	10.53
subregion	Accomack County	Retail & recreation	12.5	6.78	5.9	0.58	-6.1	-5.53	15.21	14.8	3.15	1.24	12.53	10.79	6.44	15.73	13.16	8.83	18.32	11.08	6.37	0.69	14.42	14.8	11.35	6.2	4.95	6.93	7.02	8.97	5.59	3.47	-8.08	-15.46	-15.8	-16.82	-24.06	-19.08	-25.55	-20.5	-39.36	-31.3	-32.26	-29.26	-29.61
subregion	Accomack County	Grocery & pharmacy	5.45	6.41	2.63	-0.01	8.78	-12.9	9.04	5.91	3.1	-2.63	-0.01	5.02	2.09	16.04	11.81	7.52	8.32	8.65	8.37	2.78	17.28	7.72	13.71	12.05	8.65	15.89	20.21	30.86	15.9	29.65	10.96	8.65	7.94	3.13	8.64	-6.37	-10.18	-7.02	-18.62	-9.63	-20.56	-15.64	-17.73
subregion	Accomack County	Parks																																											
subregion	Accomack County	Transit stations																																											
