Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Washington	Retail & recreation	15.32	11.71	4.55	3.52	4.04	3.32	3.89	10.32	2.6	5.63	9.12	9.05	6.57	6.84	18.12	4.25	6.02	5.45	1.98	-1.72	-2.72	6.57	1.9	1.29	0.56	-1.18	-8.89	-19.04	-9.96	-13.48	-26.16	-28.01	-30.91	-32.67	-42.73	-38.49	-36.15	-40.75	-43.98	-48.9	-50.61	-55.39	-47.86
region	Washington	Grocery & pharmacy	2.92	1.52	1.88	2.53	2.59	-0.98	-0.34	0.16	-1.06	1.29	4.37	3.92	2.43	6.5	9.55	8.06	11.22	8.81	6.93	2.26	0.77	1.61	3.3	4.57	8.74	15.29	16.79	7.82	4.71	19.05	7.62	5.2	3.08	3.06	-9.04	-14.5	-8.74	-13.06	-16.11	-20.94	-22.24	-25.97	-25.6
region	Washington	Parks	19.06	62.53	52.47	59.65	52.99	54.75	43.5	-10.82	14.97	36.24	47.56	56.9	30.95	30.69	27.17	-6.53	22.58	56.41	21.35	13.32	17.5	33.57	48.87	36.91	46.18	38.68	-14.62	3.32	27.67	44.85	62.32	92.55	86.69	86.37	75.02	29.79	-3.95	-3.47	6.66	-15.03	-19.24	-26.12	-10.59
region	Washington	Transit stations	5.45	-6.95	6.67	7.07	5.19	3.84	9.2	3.16	2.59	4.98	6.66	8.56	6.21	4.95	8.94	-3.42	-2.28	-2.42	-7.71	-11.9	-5.61	-4.92	-14.63	-15.25	-16.04	-20.24	-27.73	-22.1	-22.01	-30.84	-33.45	-36.18	-41.11	-41.59	-37.38	-43.54	-50.2	-51.96	-53.98	-58.59	-60.61	-56.26	-56.04
region	Washington	Workplace	-0.86	-34.85	-3.96	-1.67	-1.71	-1.12	0.29	0.68	4.21	1.82	1.85	1.71	2.51	1.56	2.33	2.36	-1.05	-2.31	-5.86	-8.05	-0.66	-1.71	-8.34	-10.58	-11.18	-13.77	-17.11	-7.8	-10.56	-26.06	-35.28	-38.2	-40.25	-40.82	-27.72	-32.04	-43.97	-48.97	-51.95	-55.95	-55.51	-40.49	-41.32
region	Washington	Residential	-1.16	5.92	0.36	-0.52	-0.42	-0.67	-1.01	0.01	-0.73	-0.45	-1.41	-1.48	-1.64	-1.19	-1.18	0.04	0.78	0.46	2.18	2.98	1.41	0.79	2.77	3.97	3.77	4.87	7.17	5.77	4.45	8.86	13.34	13.81	15.2	15.46	10.09	9.15	16.54	19.87	20.59	23.25	24.08	15.64	12.77
subregion	Adams County	Retail & recreation	10.38	15.03	2.35	10.52	9.29	9.3	14.06	1.09	11.56	9.41	13.44	13.66		22.6	23.49	12.71	18.82	19.29	18.03	19.53	18.09	20.76	10.4	10.59	11.11	10.38	26.04	6.53	1.63	4.62	-14.12	-17.55	-15.3	-18.61	-21.11	-23.51	-26.01	-25.3	-29.24	-31.69	-38.15	-32.67	-30.6
subregion	Adams County	Grocery & pharmacy	5.76	-3.78	-0.01	-7.41	-3.64	4.76	3.33	-28.85	11.32	5.76	-0.01	1.82	7.93	1.67	26.92	13.2	9.62	11.11	5.45	1.59	3.33	11.54	1.88	3.84	-1.86	10.9	39.67	39.99	32.69	35.85	13.45	11.11	3.63	6.35	8.32	13.45	-1.89	3.84	-5.56	-1.82	-3.18	-3.33	3.84
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations	33.79	47.49	17.28	10.97	6.58	17.16	29.15	28.16	26.24	14.81	21.94	19.77	36.35	41.65	53.51	23.74	9.86	23.16	18.67	22.21	37.49	46.47	31.24	20.97	20.72	17.57	10.09	18.04	26.75	18.74	11.1	17.06	16.47	6.05	6.93	-5.64	-2.51	2.46	2.43	-11.0	-25.26	-19.45	-30.99
subregion	Adams County	Workplace	-0.01	-36.67	-21.78	0.8	-0.01	2.47	-5.18	-8.34	-0.84	3.22	-0.01		-0.01	-1.73	2.07	3.33	5.64	0.8	-0.01	2.47	-1.73	4.16	0.82	-0.01	0.8	1.58	-1.66	-17.25	-6.26	-1.68	-26.62	-29.85	-30.96	-31.41	-6.91	-18.76	-34.18	-35.49	-35.49	-38.1	-39.68	-22.42	-27.09
subregion	Adams County	Residential																																											
subregion	Asotin County	Retail & recreation	7.28	-2.6	0.44	6.1	7.09	-1.56	2.89	7.28	-1.52	5.53	14.25	11.18	7.26	13.97	29.87	7.12	16.84	15.82	11.18	1.89	6.64	13.88	6.9	9.08	15.15	13.76	11.93	-0.18	2.11	-1.09	-6.44	-4.98	-5.17	-12.46	-25.39	-17.42	-17.72	-13.75	-19.69	-28.82	-37.38	-41.4	-32.71
subregion	Asotin County	Grocery & pharmacy																																											
subregion	Asotin County	Parks																																											
subregion	Asotin County	Transit stations																																											
subregion	Asotin County	Workplace	-1.26	-29.31	2.82	3.61	1.58	4.29	6.92	-1.26	4.74	3.23	1.61	3.16	1.72	5.94	6.25	3.45	2.42	2.81	0.0	-0.86	4.94	5.0	4.31	4.03	3.21	-1.19	-0.86	1.98	0.0	0.0	-16.13	-22.89	-24.51	-25.75	-11.88	-22.5	-27.58	-29.83	-34.94	-41.9	-40.77	-30.69	-31.25
subregion	Asotin County	Residential			0.27	0.12	0.43	0.69			-1.02	-0.77	-0.39	-1.63	-0.05			-1.17	-1.31	0.42	-0.25	1.37			-1.17	-0.97	0.19	-0.02	0.92			1.39	5.3	7.26	6.6										
subregion	Benton County	Retail & recreation	24.91	17.53	1.52	3.43	4.92	1.22	5.59	8.28	3.54	5.83	13.83	12.77	9.36	18.05	27.73	11.93	13.41	11.19	8.86	4.31	10.32	15.32	9.45	6.55	10.48	7.94	-2.64	-17.67	-11.3	-4.44	-23.33	-24.49	-29.2	-33.06	-41.56	-36.69	-29.54	-36.47	-42.95	-45.54	-50.02	-53.13	-46.59
subregion	Benton County	Grocery & pharmacy	5.5	6.64	2.58	3.95	4.8	-2.16	2.03	0.43	-0.97	3.75	6.74	8.38	3.16	9.57	16.5	13.45	15.99	14.1	8.9	2.52	6.47	7.05	6.03	6.88	11.22	22.01	35.46	18.75	10.4	32.16	16.88	12.58	11.94	9.66	-6.56	-10.58	-0.09	-7.96	-13.12	-14.18	-20.77	-22.92	-22.71
subregion	Benton County	Parks	51.61	101.92	46.38	57.13	58.42	32.81	107.96	-18.07	18.26	53.6	77.55	95.5	45.3	42.02	72.9	15.38	54.63	75.5	75.27	29.68	40.57	66.45	56.73	51.53	83.67	102.23	-14.85	-39.13	-30.33	39.42	90.71	111.21	144.93	80.45	105.07	69.68	19.22	44.32	14.28	50.55	10.94	7.24	3.22
subregion	Benton County	Transit stations	9.91	-8.74	5.23	11.76	10.32	7.23	14.52	2.47	1.93	10.47	14.7	10.78	10.85	12.19	29.74	3.39	5.23	12.73	7.98	5.88	12.78	22.31	8.25	4.28	14.7	10.78	0.9	-15.13	2.47	-0.98	-0.01	1.46	-7.05	-2.72	-4.07	4.13	-13.12	-18.59	-19.13	-22.07	-28.51	-26.17	-11.58
