County,"2,016","2,017","2,018",,
,,,,,
Alabama,"39,224","40,467","42,238",,
Autauga,"39,561","40,450","41,618",,
Baldwin,"42,907","43,989","45,596",,
Barbour,"31,595","33,048","35,199",,
Bibb,"28,799","29,081","30,254",,
Blount,"32,389","33,533","34,976",,
Bullock,"26,655","27,442","28,797",,
Butler,"33,501","34,733","36,450",,
Calhoun,"34,774","35,721","37,120",,
Chambers,"32,470","32,583","33,859",,
Cherokee,"32,826","33,852","35,505",,
Chilton,"32,204","33,416","34,798",,
Choctaw,"35,676","36,603","39,280",,
Clarke,"34,436","34,777","36,361",,
Clay,"31,149","32,017","33,530",,
Cleburne,"33,708","34,862","36,159",,
Coffee,"40,386","41,268","43,094",,
Colbert,"36,289","37,073","38,378",,
Conecuh,"30,308","31,267","32,656",,
Coosa,"29,174","29,926","31,328",,
Covington,"33,014","34,393","35,651",,
Crenshaw,"34,405","35,823","36,645",,
Cullman,"36,649","38,158","39,607",,
Dale,"34,492","35,200","36,613",,
Dallas,"33,454","34,282","36,026",,
DeKalb,"29,446","30,682","31,916",,
Elmore,"39,587","40,966","42,269",,
Escambia,"30,404","31,641","32,996",,
Etowah,"34,792","35,542","36,918",,
Fayette,"32,533","33,492","34,966",,
Franklin,"30,940","32,422","34,318",,
Geneva,"32,619","33,736","35,192",,
Greene,"30,737","31,388","32,359",,
Hale,"34,900","35,559","36,585",,
Henry,"37,657","38,790","40,360",,
Houston,"39,459","40,642","42,398",,
Jackson,"34,198","35,099","36,567",,
Jefferson,"49,573","52,128","54,730",,
Lamar,"31,863","32,230","33,496",,
Lauderdale,"35,202","35,573","37,151",,
Lawrence,"31,129","32,596","34,125",,
Lee,"35,690","36,437","38,036",,
Limestone,"39,102","40,845","42,546",,
Lowndes,"37,050","39,011","38,991",,
Macon,"30,568","31,372","32,919",,
Madison,"48,026","49,158","51,445",,
Marengo,"36,650","37,447","39,801",,
Marion,"30,458","31,807","33,264",,
Marshall,"33,700","34,579","36,044",,
Mobile,"36,025","36,777","38,243",,
Monroe,"31,259","31,720","33,456",,
Montgomery,"41,388","42,211","43,688",,
Morgan,"37,173","38,289","39,991",,
Perry,"29,030","30,173","30,535",,
Pickens,"30,412","31,233","32,551",,
Pike,"34,842","36,140","37,359",,
Randolph,"30,268","31,242","32,411",,
Russell,"30,700","32,384","33,104",,
St. Clair,"35,766","36,993","38,569",,
Shelby,"50,650","51,852","54,369",,
Sumter,"30,848","31,452","31,664",,
Talladega,"32,487","33,282","34,718",,
Tallapoosa,"38,205","38,829","40,696",,
Tuscaloosa,"36,143","37,157","38,822",,
Walker,"37,030","38,482","40,197",,
Washington,"34,371","34,882","36,323",,
Wilcox,"30,247","30,929","32,215",,
Winston,"31,995","33,679","35,430",,
,,,,,
Alaska,"56,016","56,794","59,420",,
Aleutians East Borough,"57,255","58,210","56,676",,
Aleutians West Census Area,"55,302","52,695","54,385",,
Anchorage Municipality,"62,172","63,173","66,510",,
Bethel Census Area,"41,168","42,134","43,500",,
Bristol Bay Borough,"119,915","125,895","143,575",,
Denali Borough,"76,113","78,685","82,919",,
Dillingham Census Area,"55,471","58,042","59,621",,
Fairbanks North Star Borough,"52,803","53,974","56,606",,
Haines Borough,"57,423","62,478","67,059",,
Hoonah-Angoon Census Area,"54,863","59,277","61,752",,
Juneau City and Borough,"63,779","65,784","68,145",,
Kenai Peninsula Borough,"49,544","49,697","52,015",,
Ketchikan Gateway Borough,"64,229","65,179","67,602",,
Kodiak Island Borough,"57,840","61,157","63,938",,
Kusilvak Census Area,"29,979","29,838","30,099",,
Lake and Peninsula Borough,"54,510","61,219","65,414",,
Matanuska-Susitna Borough,"44,520","44,043","45,897",,
Nome Census Area,"48,001","49,518","51,378",,
North Slope Borough,"89,281","84,340","83,489",,
Northwest Arctic Borough,"43,886","44,861","47,854",,
Petersburg Borough,"64,029","66,703","69,995",,
Prince of Wales-Hyder Census Area,"39,834","41,456","43,707",,
Sitka City and Borough,"63,572","67,771","71,972",,
Skagway Municipality,"74,760","76,785","81,471",,
Southeast Fairbanks Census Area,"46,700","47,449","49,398",,
Valdez-Cordova Census Area,"57,309","59,736","62,307",,
Wrangell City and Borough,"44,956","44,963","47,658",,
Yakutat City and Borough,"54,406","55,783","58,937",,
Yukon-Koyukuk Census Area,"53,871","54,874","59,010",,
,,,,,
Arizona,"40,671","42,505","44,329",,
Apache,"31,417","33,093","34,355",,
Cochise,"37,621","39,165","40,308",,
Coconino,"44,279","46,662","48,129",,
Gila,"36,286","38,524","40,267",,
Graham,"29,460","30,233","31,597",,
Greenlee,"33,892","36,626","39,855",,
La Paz,"29,596","29,750","30,948",,
Maricopa,"43,825","45,667","47,694",,
Mohave,"30,286","31,742","33,148",,
Navajo,"29,677","31,008","32,165",,
Pima,"39,904","42,133","44,028",,
Pinal,"28,535","29,587","30,644",,
Santa Cruz,"34,828","37,395","39,057",,
Yavapai,"36,511","38,381","40,312",,
Yuma,"33,141","35,049","35,682",,
,,,,,
