,date,county,state,fips,cases,deaths,county_fips_all,timestamp,cldCvrMin,cldCvrAvg,cldCvrMax,dewPtMin,dewPtAvg,dewPtMax,feelsLikeMin,feelsLikeAvg,feelsLikeMax,heatIndexMin,heatIndexAvg,heatIndexMax,mslPresMin,mslPresAvg,mslPresMax,precip,presTendMin,presTendAvg,presTendMax,radSolarMin,radSolarAvg,radSolarMax,radSolarTot,relHumMin,relHumAvg,relHumMax,sfcPresMin,sfcPresAvg,sfcPresMax,snowDepth,snowfall,spcHumMin,spcHumAvg,spcHumMax,tempMin,tempAvg,tempMax,windChillMin,windChillAvg,windChillMax,windDirAvg,windDir80mAvg,windDir100mAvg,windSpdMin,windSpdAvg,windSpdMax,windSpd80mMin,windSpd80mAvg,windSpd80mMax,windSpd100mMin,windSpd100mAvg,windSpd100mMax,wetBulbMin,wetBulbAvg,wetBulbMax
0,2020-01-24,Cook,Illinois,17031,1,0,17031,2020-01-24,99.0,100.0,100.0,31.95,34.25,36.45,27.55,32.5,37.400000000000006,32.849999999999994,35.150000000000006,37.45,1008.8,1011.45,1014.7,0.515,-0.9,-0.3,0.2,0.0,26.65,118.75,639.3,95.3,96.75,97.65,982.8,985.0,988.95,3.8499999999999996,0.0,3.8499999999999996,4.25,4.65,32.849999999999994,35.150000000000006,37.45,27.55,32.5,37.400000000000006,52.5,78.5,88.5,0.35,3.5,7.35,1.6,7.65,13.95,1.95,8.35,15.95,32.45,34.8,37.0
1,2020-01-25,Cook,Illinois,17031,1,0,17031,2020-01-25,100.0,100.0,100.0,31.4,32.05,33.25,26.05,28.15,30.15,32.4,33.3,34.650000000000006,1008.45,1010.8499999999999,1013.0,0.28,-0.3,0.2,0.55,0.0,93.5,421.6,2243.5,93.0,95.15,97.15,982.4,984.55,986.9,4.0,0.09000000000000001,3.8,3.9,4.1,32.4,33.3,34.650000000000006,26.05,28.15,30.15,262.0,268.0,270.5,2.95,5.75,9.1,7.4,11.899999999999999,16.0,7.8,13.4,17.950000000000003,32.05,32.8,34.05
2,2020-01-26,Cook,Illinois,17031,1,0,17031,2020-01-26,76.0,97.0,100.0,26.15,28.55,31.1,21.5,24.5,27.5,27.7,30.7,33.15,1012.3499999999999,1013.3499999999999,1014.9,0.0,-0.5,0.0,0.4,0.0,63.8,286.15,1531.45,85.55,91.75,95.05,986.4,987.1,987.75,3.5999999999999996,0.0,3.0,3.3499999999999996,3.7,27.7,30.7,33.15,21.5,24.5,27.5,261.5,266.5,269.0,4.300000000000001,6.4,9.45,5.95,11.05,16.55,6.9,12.0,18.299999999999997,27.15,29.9,32.25
3,2020-01-27,Cook,Illinois,17031,1,0,17031,2020-01-27,92.0,99.0,100.0,26.4,28.95,30.6,22.45,27.6,32.150000000000006,27.85,31.5,34.55,1011.95,1015.5,1017.9,0.0,-0.35,0.2,0.6,0.0,47.85,197.89999999999998,1148.65,83.80000000000001,90.25,96.30000000000001,987.0,989.7,992.4,3.15,0.0,3.05,3.4,3.6500000000000004,27.85,31.5,34.55,22.45,27.6,32.150000000000006,301.5,325.0,324.5,1.5499999999999998,4.0,5.55,3.7,6.15,8.4,4.05,6.65,9.0,27.35,30.5,32.849999999999994
4,2020-01-28,Cook,Illinois,17031,1,0,17031,2020-01-28,100.0,100.0,100.0,20.35,26.15,29.049999999999997,20.9,26.4,31.4,25.2,30.15,32.45,1017.6500000000001,1019.3,1020.7,0.0,-0.7,0.1,0.5,0.0,72.55,400.15,1740.6,80.6,84.94999999999999,90.6,992.2,993.3,994.8499999999999,2.5,0.0,2.3499999999999996,3.05,3.45,25.2,30.15,32.45,20.9,26.4,31.4,304.5,317.0,314.0,1.75,3.75,5.75,3.65,6.45,10.05,3.0,5.65,8.1,23.700000000000003,28.75,31.049999999999997
5,2020-01-29,Cook,Illinois,17031,1,0,17031,2020-01-29,92.0,99.0,100.0,21.200000000000003,25.05,27.65,18.9,27.4,32.45,25.05,29.6,32.45,1020.2,1022.7,1023.95,0.01,-0.5,0.1,0.6499999999999999,0.0,82.35,367.65,1976.6999999999998,75.30000000000001,83.4,88.6,994.8499999999999,996.25,997.25,2.35,0.115,2.45,2.9,3.2,25.05,29.6,32.45,18.9,27.4,32.45,10.0,17.5,15.5,0.0,2.45,5.75,0.85,3.5,8.2,1.2,2.75,5.9,23.9,28.049999999999997,30.4
6,2020-01-30,Cook,Illinois,17031,2,0,17031,2020-01-30,82.5,98.0,100.0,23.2,26.05,28.05,27.3,30.2,32.6,27.9,32.1,34.1,1022.2,1023.1,1024.6,0.0,-0.55,0.0,0.6,0.0,124.55,509.0,2988.75,65.5,78.4,90.35,995.8499999999999,996.55,997.5,2.05,0.0,2.7,3.0,3.3,27.9,32.1,34.1,27.3,30.2,32.6,211.0,184.5,184.5,0.0,2.45,5.800000000000001,0.6,5.0,9.45,1.15,4.75,8.75,27.0,30.0,31.200000000000003
7,2020-01-31,Cook,Illinois,17031,2,0,17031,2020-01-31,51.5,95.0,100.0,27.8,30.4,31.6,26.5,30.1,33.55,30.9,33.55,36.05,1019.4,1021.4,1023.25,0.045,-0.6,-0.1,0.6,0.0,50.7,248.2,1218.15,81.65,88.1,95.25,992.7,994.6,995.8,1.85,0.39,3.2,3.6,3.8,30.9,33.55,36.05,26.5,30.1,33.55,186.5,181.0,184.5,2.4000000000000004,3.8,5.45,4.9,7.35,11.45,5.3,7.25,10.25,30.299999999999997,32.3,34.1
8,2020-02-01,Cook,Illinois,17031,2,0,17031,2020-02-01,0.0,71.0,100.0,29.75,31.5,33.7,25.45,27.1,29.5,32.8,34.0,36.1,1004.65,1012.05,1017.1500000000001,0.01,-2.1500000000000004,-0.6,0.55,0.0,47.45,216.65,1138.25,81.80000000000001,90.75,96.0,978.7,985.6500000000001,991.7,1.85,0.0,3.5,3.8,4.15,32.8,34.0,36.1,25.45,27.1,29.5,234.5,235.0,236.5,4.6,8.5,11.45,10.0,15.5,22.1,10.75,16.85,23.15,32.0,33.0,35.05
9,2020-02-02,Cook,Illinois,17031,2,0,17031,2020-02-02,0.0,15.5,87.0,30.700000000000003,33.150000000000006,34.5,27.35,36.0,43.45,35.0,41.8,49.05,997.5,1001.8,1007.7,0.0,-1.9,0.2,1.4,0.0,140.05,561.7,3361.85,56.650000000000006,71.85,87.30000000000001,971.55,976.4,982.4,0.0,0.0,3.7,4.1,4.35,35.0,41.8,49.05,27.35,36.0,43.45,251.5,256.5,261.5,1.85,11.100000000000001,16.700000000000003,9.8,21.6,27.9,9.8,21.15,25.35,33.3,38.150000000000006,42.75
