Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Alaska	Retail & recreation	15.28	3.41	-2.46	-0.33	2.97	-0.68	5.36	11.55	3.64	6.41	11.65	9.73	12.03	13.17	18.0	6.03	10.93	11.01	8.74	9.31	12.49	12.64	7.15	12.57	11.62	12.39	6.65	0.03	5.44	1.28	-14.37	-19.47	-26.42	-28.2	-37.0	-30.06	-36.19	-37.02	-40.08	-39.53	-42.03	-47.09	-48.26
region	Alaska	Grocery & pharmacy	4.92	-1.99	-2.06	-2.0	2.78	-1.67	2.65	3.95	0.96	-1.03	5.56	5.85	5.26	8.73	13.87	5.97	9.14	8.29	7.01	4.04	9.99	7.98	3.83	6.19	9.04	19.44	18.62	18.92	14.43	19.88	8.25	7.78	4.24	2.57	-0.84	-4.36	-10.68	-12.08	-14.52	-12.79	-14.64	-14.6	-26.54
region	Alaska	Parks	29.44	9.25	1.16	1.11	5.14	0.51	12.91	16.1	6.78	1.16	6.7	13.14	12.95	8.6	6.1	3.7	-2.33	3.34	8.56	9.84	17.22	33.88	13.58	11.04	16.19	21.14	15.53	37.31	57.77	29.0	11.62	6.14	14.85	23.31	1.43	64.99	23.45	17.43	6.14	30.85	2.07	11.47	17.77
region	Alaska	Transit stations	6.43	-5.78	3.93	4.19	1.18	5.18	3.37	0.86	3.64	-1.21	2.4	9.47	8.06	12.35	16.31	6.38	3.31	8.08	3.54	8.64	8.98	9.44	3.34	2.11	2.69	-0.59	-0.29	1.49	6.86	-5.78	-12.39	-12.27	-21.3	-24.5	-24.72	-29.61	-36.78	-38.67	-41.62	-42.31	-50.14	-50.19	-54.93
region	Alaska	Workplace	1.0	-33.23	-1.99	-2.75	1.74	4.89	4.0	1.88	2.76	3.08	2.71	2.3	6.39	5.06	4.91	0.9	3.43	2.83	1.52	0.18	3.48	2.01	-9.5	-7.36	-7.73	-8.92	-9.61	-0.74	-1.26	-11.86	-14.81	-20.98	-24.62	-25.14	-19.71	-21.16	-35.49	-38.65	-41.49	-41.76	-40.11	-30.35	-32.75
region	Alaska	Residential	-1.41	8.43	2.2	1.75	-0.28	0.04	-0.68	-0.71	-0.2	0.23	-0.45	-0.86	-1.8	-1.59	-1.46	0.14	-0.21	-0.12	-0.35	0.56	-0.97	-1.17	2.14	2.12	1.87	1.82	3.04	0.76	0.19	3.89	7.0	9.29	10.37	11.85	8.19	5.58	14.29	16.17	17.57	16.87	18.68	11.2	9.66
subregion	Anchorage	Retail & recreation	14.57	3.63	-4.77	-1.0	3.29	-1.89	5.91	12.14	3.78	6.85	10.95	10.17	12.92	15.31	19.95	5.73	10.89	9.35	8.4	10.7	18.34	12.55	7.79	12.41	10.18	10.4	4.22	-3.0	0.56	-0.53	-20.0	-24.71	-29.66	-28.25	-36.71	-31.07	-39.68	-40.92	-41.73	-42.09	-45.95	-49.8	-48.52
subregion	Anchorage	Grocery & pharmacy	3.24	0.08	-1.36	-2.52	4.02	-1.86	2.8	4.5	2.95	2.2	5.77	7.71	6.21	9.85	14.75	7.16	11.3	8.54	8.04	3.47	11.63	5.94	5.3	8.07	9.8	23.63	19.6	20.44	15.83	26.98	10.44	6.03	5.53	7.69	5.21	-1.44	-9.78	-12.66	-13.84	-11.07	-15.39	-16.92	-24.85
subregion	Anchorage	Parks	43.36	-1.82	-19.13	-7.76	-0.87	-5.52	12.05	30.97	-0.91	3.47	3.45	15.65	16.53	8.51	16.81	9.09	-7.83	3.45	3.47	1.57	19.15	32.74	-0.01	7.82	10.33	10.43	6.29	22.69	61.94	30.0	-0.87	5.16	-0.87	23.62	-9.94	107.95	19.08	19.13	10.33	46.08	-1.58	21.98	51.32
subregion	Anchorage	Transit stations	6.37	-9.71	3.01	5.26	1.33	1.97	3.21	1.67	3.69	1.61	6.18	10.41	7.7	15.48	20.46	7.15	4.63	7.33	1.76	9.02	9.63	10.73	5.3	2.54	2.06	-2.89	-3.09	0.57	6.7	-6.94	-10.91	-11.25	-24.4	-24.89	-21.94	-28.19	-37.42	-40.15	-41.06	-43.91	-50.67	-49.13	-52.69
