Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Colorado	Retail & recreation	6.59	5.48	-4.57	-5.54	1.96	2.77	3.13	-4.28	-0.17	-2.8	6.6	6.95	6.92	5.11	7.61	3.05	8.91	7.53	7.61	5.8	5.5	8.36	6.4	5.61	7.24	6.22	-5.82	-13.84	-14.09	-7.32	-24.21	-25.54	-45.83	-41.63	-43.48	-40.97	-31.46	-35.05	-35.19	-49.94	-52.61	-55.54	-50.99
region	Colorado	Grocery & pharmacy	4.71	1.64	-3.87	-3.66	1.67	2.83	6.61	-2.35	0.43	-3.81	4.85	6.33	7.31	7.53	9.06	4.75	11.46	8.42	9.82	9.81	12.64	12.41	10.59	11.39	14.28	26.88	26.58	18.38	12.25	22.37	13.59	9.53	-12.23	-3.73	-4.99	-9.73	-3.95	-7.92	-7.58	-23.83	-26.45	-27.79	-27.49
region	Colorado	Parks	-6.93	4.21	-17.51	-20.98	-4.55	3.83	3.67	-37.2	-6.66	-24.8	1.73	13.98	23.74	4.78	-13.86	0.45	17.31	24.98	33.42	39.22	48.87	37.43	45.5	32.04	47.88	22.45	-22.24	-17.03	15.99	44.03	14.49	50.05	-51.51	-43.13	-25.87	10.4	18.49	36.38	32.41	3.69	-41.6	-38.98	-12.14
region	Colorado	Transit stations	2.71	-4.46	0.81	-1.63	0.4	2.79	4.97	-2.54	2.56	-2.37	3.41	2.21	4.33	4.14	1.57	0.3	3.34	1.78	0.26	1.31	3.51	1.16	1.22	-1.74	-1.5	-8.33	-17.03	-15.34	-18.11	-22.92	-28.94	-31.89	-56.71	-48.07	-43.54	-47.23	-47.29	-46.6	-49.72	-56.59	-60.39	-58.72	-59.56
region	Colorado	Workplace	0.75	-20.48	-4.14	0.21	-0.12	2.82	3.8	-1.18	8.47	1.96	2.29	2.21	2.94	3.6	2.51	7.04	3.63	2.46	1.98	1.96	3.24	1.67	7.92	1.91	0.68	-1.62	-8.44	-3.85	-9.62	-21.38	-33.66	-37.7	-46.63	-46.01	-29.21	-32.52	-40.83	-47.05	-49.44	-53.43	-52.72	-39.84	-40.32
region	Colorado	Residential	-0.43	4.86	2.74	1.61	0.4	-1.03	-0.77	1.99	-0.37	1.48	-0.82	-0.99	-1.84	-1.34	-0.28	0.01	-1.22	-1.06	-1.15	-1.18	-1.53	-0.45	-1.02	-0.27	-0.58	0.5	5.28	4.67	4.29	7.43	12.81	13.51	21.72	21.28	13.08	10.1	15.59	17.99	18.81	22.24	24.57	17.22	13.09
subregion	Adams County	Retail & recreation	3.63	4.79	-2.46	-10.36	-0.65	0.07	2.29	-4.59	0.38	-3.88	3.2	5.14	3.51	3.47	4.01	3.02	7.28	4.05	6.17	2.91	7.15	8.87	6.35	4.13	3.75	5.53	-1.78	-12.33	-11.79	-4.28	-19.55	-21.78	-44.22	-37.63	-38.63	-37.76	-23.77	-30.75	-31.93	-46.93	-49.34	-51.85	-48.56
subregion	Adams County	Grocery & pharmacy	4.54	3.36	2.8	-2.94	7.58	9.41	15.47	7.16	9.8	2.65	9.41	8.49	9.77	7.35	7.75	12.03	17.14	12.99	15.34	15.38	18.67	18.5	14.7	17.73	20.01	30.75	38.49	19.66	13.0	24.72	17.58	11.68	-13.28	0.03	-1.61	-5.51	8.11	-2.62	-4.46	-23.8	-23.37	-24.51	-25.0
subregion	Adams County	Parks	-13.53	-1.14	-11.57	-22.92	-5.12	16.44	13.63	-32.79	5.69	-15.43	4.18	16.44	42.96	12.5	-16.19	7.12	20.47	15.27	30.18	48.8	51.7	36.26	47.29	24.09	42.36	4.57	-17.78	-18.18	18.23	15.94	2.17	25.61	-63.07	-44.04	-29.35	9.62	15.66	20.96	21.67	-16.18	-39.52	-32.95	-12.09
subregion	Adams County	Transit stations	-1.2	-3.92	-4.4	-8.01	-3.56	0.67	-0.64	-10.96	1.15	-10.03	4.09	-0.72	3.58	0.31	-4.1	-3.81	5.51	6.26	3.84	9.48	6.98	3.56	6.23	1.32	3.99	0.19	-7.18	-8.9	-2.77	-5.29	-16.88	-13.05	-41.09	-26.95	-26.04	-20.59	-15.34	-22.61	-23.0	-30.84	-35.28	-37.99	-30.09
