Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Illinois	Retail & recreation	7.75	2.01	0.55	0.77	0.0	2.14	10.8	10.54	0.81	-0.61	0.06	5.52	6.35	14.16	16.83	7.75	10.08	8.94	6.78	5.52	14.44	14.67	-0.56	6.87	5.88	6.55	4.89	-7.11	-8.44	-10.28	-22.97	-33.52	-34.1	-32.86	-46.04	-62.85	-50.39	-46.55	-43.34	-47.13	-47.68	-52.76	-53.2
region	Illinois	Grocery & pharmacy	2.18	-2.82	-0.75	-1.08	-0.3	0.2	9.34	9.05	5.82	-1.25	-0.73	4.34	3.54	11.25	14.5	7.7	9.52	9.61	8.48	4.56	14.21	14.23	2.74	10.08	12.73	32.13	42.75	30.78	24.68	30.46	17.23	8.15	16.13	25.82	3.21	-34.45	-21.2	-16.71	-12.76	-14.99	-14.21	-16.61	-23.78
region	Illinois	Parks	29.25	-13.68	5.33	2.79	0.43	5.29	56.66	103.61	-1.88	-3.26	-3.33	3.68	4.72	25.94	118.15	20.31	20.59	27.58	20.86	16.87	75.1	164.74	-5.16	20.24	14.79	18.57	18.91	-12.61	24.68	-18.75	44.16	-33.9	-31.06	-27.74	-21.55	-38.64	-29.33	-11.22	29.47	-28.2	-27.44	-34.56	-28.56
region	Illinois	Transit stations	2.94	-12.56	2.27	2.26	0.45	4.56	9.69	7.21	-0.49	-2.69	-0.9	2.41	6.83	10.34	11.74	0.02	2.01	3.65	1.93	3.76	13.3	10.25	-5.15	-1.98	-1.59	-5.11	-5.96	-7.66	-12.82	-26.96	-30.49	-38.99	-42.84	-40.86	-39.42	-54.06	-55.29	-52.74	-49.66	-54.66	-53.1	-50.18	-54.73
region	Illinois	Workplace	1.72	-22.71	0.95	1.28	2.26	2.44	6.72	4.08	2.25	0.98	-1.22	2.5	0.26	5.78	4.35	-0.89	1.95	1.83	2.79	1.84	6.74	2.9	-0.36	-0.08	-0.53	-0.77	-3.63	0.45	-5.24	-19.17	-30.91	-34.83	-36.67	-37.88	-25.02	-37.85	-49.53	-50.43	-50.45	-50.45	-49.88	-34.92	-39.14
region	Illinois	Residential	-1.3	5.61	0.01	0.2	0.15	-0.71	-2.45	-1.77	0.01	1.03	1.43	-0.41	-0.96	-3.04	-2.72	-0.02	-0.92	-0.81	-0.7	-0.97	-2.95	-2.32	1.09	0.07	0.39	0.78	0.8	2.76	3.25	7.84	11.53	15.62	16.85	16.93	12.55	13.73	21.01	21.68	20.97	22.47	23.08	15.24	13.13
subregion	Adams County	Retail & recreation	15.59	4.55	2.54	4.16	-0.01	3.61	7.91	17.39	-0.47	-2.56	11.92	11.24	14.71	14.49	26.85	15.77	19.57	16.43	10.62	11.19	8.69	20.33	0.69	10.42	15.16	8.85	16.15	-7.37	11.37	-4.8	-23.88	-26.39	-32.92	-33.13	-54.55	-62.66	-48.95	-46.12	-40.51	-41.87	-40.43	-54.32	-41.56
subregion	Adams County	Grocery & pharmacy	3.58	3.56	-4.22	-2.27	1.13	-6.58	7.54	8.95	1.18	-7.03	-0.29	2.82	0.7	13.62	14.02	8.6	9.82	10.23	7.34	0.23	11.43	12.24	2.67	6.18	10.79	23.45	22.06	14.11	29.84	30.86	10.67	2.26	16.38	10.79	-14.11	-42.39	-19.59	-19.95	-15.35	-13.57	-14.32	-20.93	-14.63
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations		-11.92				2.17							-0.01							-2.18														-6.54	-30.01		-21.44				-13.05	-30.01	
