Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Indiana	Retail & recreation	8.07	4.65	0.56	4.02	2.99	4.41	13.29	9.05	0.6	2.37	0.53	6.8	7.67	17.93	17.58	9.19	13.79	13.77	12.04	4.95	18.3	15.29	7.11	5.96	8.2	7.26	5.08	-7.4	-7.03	-5.28	-20.89	-27.13	-27.65	-30.2	-38.78	-45.55	-29.7	-33.72	-44.75	-43.39	-44.62	-48.72	-48.14
region	Indiana	Grocery & pharmacy	2.86	-2.81	-1.17	0.11	-0.54	-1.83	7.07	6.23	-1.58	2.2	-2.91	2.96	1.58	11.02	12.41	4.3	10.64	7.16	9.08	-0.34	12.92	12.14	6.47	6.38	9.31	23.35	27.28	15.1	11.85	26.36	16.29	7.03	14.51	8.75	2.58	-15.41	2.82	-2.33	-19.79	-18.18	-19.87	-20.79	-24.61
region	Indiana	Parks	34.3	-3.85	2.96	8.94	0.94	11.68	69.45	83.38	-8.26	-4.19	-7.41	0.14	7.63	27.19	88.04	6.51	34.8	41.85	42.73	9.86	85.46	160.68	24.46	14.54	22.35	31.78	36.95	0.73	36.59	4.26	52.31	-10.49	-4.22	18.57	9.77	-4.94	6.15	11.03	60.69	37.51	13.84	28.66	24.03
region	Indiana	Transit stations	5.47	2.25	4.17	5.41	4.54	5.61	11.92	7.5	0.63	2.66	1.77	5.82	8.57	15.54	14.15	4.84	8.87	7.72	7.83	7.67	19.07	16.78	5.19	5.22	6.1	4.62	4.58	1.11	0.14	-3.0	-2.64	-8.88	-12.69	-14.63	-13.4	-26.46	-20.81	-19.27	-23.02	-26.82	-32.12	-30.61	-33.75
region	Indiana	Workplace	1.36	-12.59	1.58	1.66	1.34	1.79	4.01	3.48	2.03	1.69	-1.4	-0.75	1.02	2.0	3.89	2.07	2.09	1.79	1.91	1.47	4.75	3.01	0.92	-0.0	-0.02	-0.92	-4.35	-1.0	-4.94	-14.49	-20.87	-24.74	-27.13	-29.56	-22.5	-29.29	-34.54	-38.98	-44.97	-45.74	-46.16	-34.5	-36.1
region	Indiana	Residential	-0.98	3.95	-0.0	-0.1	0.05	-0.66	-2.32	-1.46	1.04	0.18	1.83	0.95	-0.8	-2.72	-2.28	0.17	-1.45	-1.04	-1.07	-0.25	-3.03	-2.28	0.36	0.3	0.21	0.56	1.18	3.01	2.47	6.2	8.26	11.61		13.94	9.83	9.39	14.37	16.06	18.98	19.8	21.68	13.33	10.93
subregion	Adams County	Retail & recreation	7.4	2.95	7.08	3.84	-0.01	2.68	9.37	14.79	2.65	13.02	-2.75	-1.01	2.68	13.21	17.45	7.67	11.05	8.51	6.56	1.14	12.78	13.31	3.83	8.22	8.24	8.07	1.53	5.33	-2.96	6.19	-18.71	-23.08	-20.46	-23.76	-29.86	-32.25	-18.88	-26.92	-49.45	-39.91	-50.38	-45.84	-42.9
subregion	Adams County	Grocery & pharmacy		-10.3	-7.15	-5.8	-3.9	-3.41	-1.26		4.41	4.28	-7.25	-5.2	1.13	-8.86		5.88	1.43	-0.01	3.9	-6.82	2.53		10.29	1.43	7.24	5.18	17.04	26.57		52.93	10.0	10.14	22.07	31.81	11.38		27.94	10.0	-31.89	-28.58	-13.64	-39.24	-25.0
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations																																											
