Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Kansas	Retail & recreation	15.22	6.95	3.37	4.46	-2.19	9.3	5.08	12.94	-0.23	1.86	11.75	7.51	17.4	11.11	24.35	7.65	14.08	12.53	8.67	15.42	10.14	19.22	1.5	9.4	15.16	10.47	8.42	-10.92	-5.61	-6.91	-12.53	-16.37	-22.93	-24.16	-37.89	-34.64	-28.41	-36.06	-34.12	-39.62	-36.95	-44.66	-35.89
region	Kansas	Grocery & pharmacy	2.87	0.09	-1.1	2.55	-6.52	-4.28	1.12	1.63	-1.91	-4.48	7.24	-0.44	3.22	8.74	13.36	5.01	9.22	10.87	3.65	2.53	7.47	9.36	2.19	6.38	14.59	22.37	26.28	15.58	10.18	21.29	21.85	24.27	14.31	15.25	6.25	-0.38	3.81	-6.76	-3.61	-13.82	-12.84	-11.55	-14.11
region	Kansas	Parks	22.91	55.38	17.97	8.2	-2.98	21.57	56.42	19.09	-7.69	0.69	11.62	19.3	62.03	116.09	90.27	34.96	80.45	65.46	53.13	87.28	100.8	46.51	-8.5	50.08	112.46	64.51	22.07	-18.95	-27.55	-5.56	25.65	61.87	93.89	20.39	34.9	-33.1	29.73	45.71	116.74	80.68	62.2	49.52	72.44
region	Kansas	Transit stations	5.53	1.51	0.16	3.97	-1.78	4.21	5.71	0.67	-4.38	-5.43	5.41	4.27	14.77	11.79	16.59	2.19	9.09	11.68	8.87	16.44	17.6	17.94	-0.09	4.92	16.08	10.73	10.96	3.37	4.74	-3.21	-3.09	-0.09	-7.83	-9.06	-8.8	-17.49	-16.26	-15.61	-12.28	-19.05	-20.66	-25.94	-20.2
region	Kansas	Workplace	1.33	-14.76	-0.32	3.7	-0.81	7.31	4.16	2.42	4.97	1.45	4.08	1.55	8.41	4.55	4.26	6.22	2.72	4.58	2.11	6.92	5.61	2.18	-0.41	-2.41	-0.66	-4.3	-5.95	-1.02	-6.23	-18.25	-24.39	-25.89	-29.75	-27.08	-15.31	-24.34	-31.28	-37.96	-38.99	-41.52	-37.55	-25.19	-30.16
region	Kansas	Residential	-0.83	3.33	0.11	-1.24	1.4	-3.41	-1.42	-0.15	0.3	0.93	-1.92	-0.8	-5.07	-3.09	-2.38	-1.52	-1.72	-2.63	-1.3	-4.66	-2.64	-1.29	1.38	0.06	-2.21	-0.21	-0.15	3.37	3.22	7.03	9.16	9.39	12.18	10.84	9.25	9.28	12.93	16.6	14.9	17.61	15.29	12.11	9.06
subregion	Allen County	Retail & recreation	16.1	3.02	-2.23	12.26	2.63	9.48	-2.25	22.14	-2.42	-3.89	22.69	9.47	12.06	6.28	22.81	9.69	16.11	25.76	10.52	13.79	16.59	20.13	8.48	14.16	24.54	22.1	10.33	1.34	9.39	10.9	-1.11	10.42	-9.48	-15.95	-25.56	-27.52	-14.55	-23.34	-12.28	-16.85	-19.41	-22.87	-18.79
subregion	Allen County	Grocery & pharmacy	-1.76	-8.78	-10.0	5.65	-6.9	-10.78	1.61	3.5	-14.04	-13.34	-0.01	6.89	12.3	6.44	-3.52	1.75	3.33	11.32	-3.45	-4.62	4.83	7.01	-14.04	-8.34	13.2	22.41	23.07	4.83	8.77	21.05	19.99		22.41	19.99	1.61	-7.02	1.75	-6.67	7.55	1.72	-1.54	16.12	-1.76
subregion	Allen County	Parks																																											
subregion	Allen County	Transit stations																																											
