Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Kentucky	Retail & recreation	3.24	3.48	-2.8	1.72	0.03	1.71	8.88	3.83	-2.49	4.56	8.72	9.39	10.18	16.65	18.46	7.79	16.34	12.84	11.59	4.7	14.58	12.77	8.09	6.19	8.61	1.53	3.49	-8.46	-10.6	-8.49	-19.4	-23.72	-27.9	-29.14	-38.01	-40.05	-29.87	-39.01	-33.14	-33.02	-36.1	-37.66	-36.93
region	Kentucky	Grocery & pharmacy	-0.17	-1.69	-3.13	0.71	-1.48	2.06	8.54	4.55	-1.15	4.91	6.79	6.46	9.13	13.27	15.73	5.63	15.68	12.77	11.55	4.79	15.74	13.26	11.09	9.92	16.61	21.39	27.1	16.05	12.37	24.34	17.38	13.42	12.32	7.1	1.62	-8.67	-2.77	-11.28	-4.61	-5.8	-8.88	-5.74	-10.93
region	Kentucky	Parks	24.61	24.4	-7.29	14.34	-3.99	11.95	67.55	43.28	-20.2	4.34	-6.02	-1.94	11.73	36.3	100.69	-6.6	35.0	48.72	49.4	11.95	84.85	135.61	38.65	14.44	42.0	12.69	39.13	-4.3	9.27	-1.19	32.77	-4.87	1.93	50.76	16.54	17.35	20.29	0.7	68.97	84.05	64.57	100.2	67.8
region	Kentucky	Transit stations	2.96	2.78	0.11	3.44	1.8	2.72	10.3	5.83	-2.61	3.74	3.33	2.15	3.45	13.35	12.96	-0.74	6.15	5.61	4.82	2.21	15.05	11.39	1.6	1.37	2.86	-0.56	-0.51	-1.29	-3.24	-9.3	-6.12	-10.92	-16.24	-19.43	-16.22	-27.52	-25.55	-24.85	-23.38	-26.71	-32.49	-27.86	-34.09
region	Kentucky	Workplace	0.08	-12.2	1.51	1.88	1.33	2.21	4.67	1.7	2.15	2.51	1.61	-1.04	1.58	3.18	2.58	2.11	2.75	2.19	2.01	0.98	3.87	0.86	1.35	0.09	-0.01	-1.62	-3.69	-2.07	-7.72	-13.89	-19.36	-23.22	-26.14	-28.58	-21.59	-28.98	-33.98	-38.28	-39.64	-41.12	-42.33	-29.04	-33.99
region	Kentucky	Residential	-0.41	3.83	0.87	-0.23	0.14	-0.01	-1.8	-0.63	2.07	-0.25	-0.19	0.26	-0.94	-2.36	-2.51	1.09	-1.46	-1.32	-1.55	0.23	-2.4	-1.79	0.42	0.65	-0.27	1.29	1.58	3.47	3.21	6.67	7.74	10.05	11.47	13.25	9.24	8.5	14.11	15.86	14.96	14.91	17.67	9.24	8.52
subregion	Adair County	Retail & recreation	-0.01	2.45	-0.01	-1.63	-10.69	4.76	11.25	4.87	1.63	11.29	25.19	19.84	22.02	23.17	26.02	18.03	21.77	16.25	17.55	13.68	21.85	13.81	13.93	8.87	14.63	-0.76	17.26	2.65	1.62	12.29	-8.07	-1.63	-9.16	-17.86	-17.22	-22.77	-14.76	-20.97	-23.58	-15.27	-17.26	-13.92	-21.95
subregion	Adair County	Grocery & pharmacy	-6.82	-0.01	-3.78	4.26	-6.0	-3.18	9.25		2.04	-7.55	4.26	10.0	1.59	27.78		-0.01	3.77	6.38	12.0	-6.35	3.7		6.12	1.88		21.99	22.22	14.81			11.32	4.26	16.0	-0.01	-1.86	-4.55	-6.13	-22.64	-8.51	-6.0	-7.93	-11.12	-15.92
subregion	Adair County	Parks																																											
subregion	Adair County	Transit stations																																											
subregion	Adair County	Workplace		-15.13	2.38	2.29	-1.17	2.4			-0.01	9.51	3.43	-6.98	2.4			1.15	5.94	1.14	-0.01	-0.01			1.15	-1.2	-2.3	-0.01	-1.21			-9.31	-10.72	-14.96	-19.78	-24.11			-27.91	-34.53	-36.79	-37.22	-38.56		
subregion	Adair County	Residential																																											
subregion	Allen County	Retail & recreation	-0.01	-7.15	-1.09	8.5	7.07	2.45	14.84	5.61	1.01	10.86	23.39	25.25	18.84	30.68	26.96	15.3	42.38	27.66	33.33	16.38	30.68	26.96	4.07	10.86	10.63	12.12	9.83	3.95	-4.5	-8.16	-16.31	-14.9	-10.11	-20.5	-15.85	-32.59	-29.6	-29.36	-20.21	-16.17	-18.86	-16.84	-16.86
subregion	Allen County	Grocery & pharmacy	8.63	-10.32	2.29	7.25	-5.63	-0.01	4.2	-0.01	-23.71	8.04	11.72	-5.63	6.3	10.52	16.04	3.09	18.38	-13.97	17.97	-17.12	11.57	13.57	-7.22	-5.76	-7.27	33.7	16.21	12.62	20.97	17.0	23.55	0.55	22.46	4.5	15.78	-6.17	-21.66	-19.55	-20.67	-14.62	-18.92	4.2	-0.01
subregion	Allen County	Parks																																											
subregion	Allen County	Transit stations																																											
subregion	Allen County	Workplace	1.82	-8.2	3.19	3.1	2.44	0.83	13.2	0.0	3.27	5.6	0.78	6.5	5.0	5.65	-9.09	1.64	3.19	1.54	5.69	9.16	9.43	-5.45	4.09	2.4	5.43	5.69	5.0	9.43	-5.45	-4.1	-9.6	-14.73	-13.82	-14.17	0.0	-18.18	-23.77	-32.0	-27.14	-27.64	-35.83	-11.32	-23.64
subregion	Allen County	Residential																																											
subregion	Anderson County	Retail & recreation	-1.57	2.47	-2.47	-0.41	-0.39	1.26	13.69	7.45	-2.07	9.04	13.41	8.77	7.91	16.09	13.72	6.61	16.04	14.63	11.44	1.9	17.8	19.61	9.91	2.88	9.34	5.34	9.18	1.37	-7.45	-0.01	-15.64	-17.08	-21.37	-21.53	-28.42	-29.8	-25.63	-30.86	-20.74	-21.37	-26.9	-12.68	-26.28
subregion	Anderson County	Grocery & pharmacy	-5.38	-2.33	-2.53	-4.76	-4.71	-2.06	2.06	-1.08	-3.5	1.26	-5.96	1.17	6.18	15.46	8.6	2.32	22.78	-2.38	4.71	8.25	11.33	10.75	18.6	16.45	20.23	36.47	48.45	30.92	17.2	37.2	35.44	20.23	27.05	20.61	7.21	-3.23	-2.33	-7.6	-9.53	-8.24	-8.25	1.03	-5.38
subregion	Anderson County	Parks																																											
