Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Louisiana	Retail & recreation	4.63	2.29	3.26	4.08	0.28	7.54	8.85	16.51	16.4	15.86	19.31	13.89	10.76	11.64	15.89	11.81	16.41	6.81	12.38	8.32	11.0	15.24	8.49	10.8	13.6	11.06	5.4	-3.67	-5.3	-3.38	-18.29	-20.48	-24.91	-32.04	-41.5	-40.0	-35.24	-42.67	-38.93	-39.2	-41.75	-47.19	-44.51
region	Louisiana	Grocery & pharmacy	3.24	0.26	2.24	0.19	-1.3	5.36	8.64	11.19	7.93	6.74	9.76	7.71	8.19	8.43	12.5	7.19	15.38	3.68	10.68	6.7	8.13	13.18	6.98	11.59	14.06	24.74	35.77	21.11	16.28	24.15	18.31	11.81	14.95	7.73	-2.07	-1.01	-4.63	-13.95	-13.5	-11.51	-12.66	-15.7	-16.46
region	Louisiana	Parks	-2.75	14.21	12.8	16.1	-23.75	12.77	26.52	42.35	36.85	45.75	25.3	16.56	22.39	31.83	31.18	19.85	18.26	-0.71	14.85	29.86	32.32	62.22	26.5	19.81	54.24	35.4	21.67	9.29	22.54	7.73	-2.53	11.14	-1.8	-16.08	-38.18	-20.37	-20.89	-18.77	-6.47	-14.48	-19.54	-37.64	-18.38
region	Louisiana	Transit stations	7.58	3.52	2.75	11.32	1.27	15.81	41.27	32.73	13.72	23.69	18.39	12.62	9.95	12.53	14.6	8.25	5.51	4.58	8.17	8.89	13.16	15.99	8.22	4.97	9.72	5.48	0.3	-0.63	-0.42	-6.71	-16.79	-17.29	-24.28	-32.72	-35.53	-40.41	-38.54	-36.28	-34.86	-38.52	-44.31	-45.9	-48.64
region	Louisiana	Workplace	-0.54	-3.27	1.12	0.74	-1.38	-0.52	-0.14	1.33	-14.65	-36.88	-8.22	-3.47	-2.41	3.14	3.19	4.92	2.86	0.72	2.42	2.73	3.2	2.4	3.26	1.46	1.25	0.44	-0.72	-0.56	-3.59	-11.17	-19.67	-23.52	-25.87	-29.05	-23.76	-28.48	-33.86	-41.69	-42.51	-43.03	-43.4	-32.86	-34.81
region	Louisiana	Residential	0.4	2.02	0.26	-0.21	2.72	0.24	-1.57	-2.31	3.21	5.31	0.03	0.04	-0.35	-2.15	-1.78	-1.35	-1.69	0.54	-1.18	-1.19	-1.56	-1.68	-0.23	-0.35	-1.75	-0.85	0.35	1.71	1.87	4.65	8.57	9.16	11.19	15.02	11.93	9.73	14.93	17.75	16.79	17.98	20.06	13.89	11.2
subregion	Acadia Parish	Retail & recreation	5.32	-1.11	1.34	-1.89	-4.0	4.1	10.02	25.76	8.61	23.12	29.11	21.0	10.3	20.89	22.12	16.94	22.84	13.47	16.49	13.35	17.05	22.68	11.38	8.32	15.35	17.25	10.87	8.31	12.6	12.5	-8.34	-6.21	-11.5	-21.76	-27.3	-17.09	-19.72	-27.16	-20.21	-22.5	-31.87	-29.86	-24.09
subregion	Acadia Parish	Grocery & pharmacy	-1.32	1.62	-8.77	-2.84	2.52	7.03	14.76	34.64	9.76	6.77	13.35	5.46	5.64	4.54	14.03	13.0	11.94	4.45	14.7	7.03	6.82	10.52	5.29	-2.0	9.71	19.74	27.46	22.72	12.27	24.39	23.11	16.59	28.99	14.07	3.4	7.45	6.09	-11.16	-4.86	0.83	-7.75	-6.82	-4.83
subregion	Acadia Parish	Parks																																											
subregion	Acadia Parish	Transit stations	-1.86	-3.13	-3.3	2.41	-2.23	3.66	-3.65	11.5	-2.24	-0.01	13.7	9.58	15.74	12.54	22.11	16.5	16.45	13.7	12.9	18.31	26.31	23.49	22.76	14.39	17.73	11.43	18.67	10.52	22.57	20.97	-0.83	-0.01	-11.44	-21.25	-22.28	-29.97	-24.12	-18.94	-23.39	-29.9	-29.68	-38.07	-36.42
