Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Maine	Retail & recreation	14.24	14.95	-9.37	6.49	8.09	2.62	6.09	13.79	5.83	4.37	11.97	-10.01	8.36	10.31	18.82	7.01	20.06	7.71	9.25	5.31	9.29	18.0	8.45	5.36	9.83	9.16	-4.14	-0.61	0.2	-7.07	-24.3	-25.08	-35.18	-37.95	-41.28	-38.23	-37.34	-42.56	-39.66	-40.45	-44.26	-46.27	-49.69
region	Maine	Grocery & pharmacy	8.13	4.75	-7.14	-1.14	1.6	-3.56	-3.24	10.16	3.83	0.24	8.59	-11.38	1.0	-0.69	11.53	4.99	9.97	2.95	6.73	-0.43	-0.92	11.39	6.95	3.83	11.25	28.02	17.27	19.11	26.12	24.45	7.21	8.53	0.24	-3.94	-8.57	-7.8	-9.16	-17.24	-10.04	-9.64	-16.08	-17.24	-22.02
region	Maine	Parks	47.4	31.83	-8.49	5.04	4.99	-2.38	23.08	54.56	21.72	11.21	8.12	-15.89	2.37	0.77	19.01	5.95	54.84	0.27	25.88	5.69	-1.18	57.52	49.98	21.2	23.52	17.64	-18.77	18.19	39.25	13.98	-18.8	42.85	-8.54	-0.72	36.39	51.84	-6.55	-1.52	13.16	45.88	17.57	41.48	-23.71
region	Maine	Transit stations	16.66	12.18	4.16	12.73	8.18	4.48	10.38	33.33	8.12	6.41	12.11	-9.4	9.49	15.22	26.49	9.06	11.85	7.76	8.18	5.01	9.34	32.04	7.81	6.41	5.27	3.63	-9.24	-5.89	0.43	-11.25	-17.95	-18.32	-30.31	-35.62	-36.68	-34.62	-37.81	-40.38	-41.61	-41.82	-50.92	-48.45	-56.41
region	Maine	Workplace	3.0	-32.64	-12.82	-12.04	-8.99	-11.11	-0.6	6.05	2.87	2.81	2.1	-5.44	2.09	0.5	6.38	2.81	2.41	1.4	3.91	1.67	1.1	6.96	1.98	1.51	1.06	2.65	-3.27	-0.6	2.01	-14.2	-23.17	-28.22	-31.16	-34.46	-24.07	-24.48	-36.42	-42.44	-40.5	-40.74	-42.34	-31.15	-31.38
region	Maine	Residential	-1.67	6.06	4.69	1.99	1.73	3.08	-0.65	-2.14	-0.27	-0.04	-0.83	5.16	-0.16	-0.98	-2.02	-0.12	-1.6	0.32	-0.58	0.38	-0.1	-1.88	-0.17	0.58	-0.03	0.08	4.19	2.34	1.53	6.09	11.0	11.32	14.42	16.76	10.28	7.5	14.58	17.77	16.77	16.87	19.41	11.32	10.38
subregion	Androscoggin County	Retail & recreation	5.55	12.19	-15.78	4.88	9.2	0.87	3.73	9.71	7.42	5.38	13.8	-4.6	8.92	10.44	16.74	9.39	19.14	8.24	13.11	5.25	9.2	13.64	10.54	8.45	8.54	12.14	-6.19	-4.04	-5.47	-7.18	-22.37	-22.36	-29.87	-35.59	-38.4	-37.42	-34.55	-38.46	-37.61	-36.35	-42.88	-42.97	-48.61
subregion	Androscoggin County	Grocery & pharmacy	4.64	6.51	-10.15	1.37	0.86	-4.64	-7.14	5.5	1.2	1.37	11.48	-10.09	-0.42	-4.26	7.22	4.63	11.53	6.51	6.32	-1.83	-1.79	11.18	7.03	6.88	14.74	35.89	21.09	16.46	26.67	26.75	14.11	13.71	5.12	1.12	-10.97	-11.71	-6.52	-13.95	-4.98	-5.3	-12.94	-16.19	-21.34
subregion	Androscoggin County	Parks																																											
subregion	Androscoggin County	Transit stations																																											
subregion	Androscoggin County	Workplace	2.95	-29.03	-13.14	-12.33	-9.38	-11.5	0.27	6.63	1.36	2.66	1.3	-2.27	1.71	2.21	5.15	1.88	1.73	0.8	2.37	0.85	0.82	4.05	1.78	2.35	1.3	2.37	-2.7	-1.12	-1.11	-14.31	-21.13	-26.17	-29.05	-32.56	-20.29	-21.05	-34.08	-40.31	-38.19	-38.83	-41.14	-29.45	-29.53
subregion	Androscoggin County	Residential	-1.87	6.05	5.21	2.65	1.61	3.27	-0.75	-1.73	-0.34	-0.14	-0.47	3.1	-0.65	-0.99	-1.81	-0.09	-1.87	0.94	-0.72	0.61	-0.24	-1.49	-0.4	0.03	0.64	-0.14	4.04	2.05	1.64	5.9	9.94	11.23	13.25	16.04	9.69	6.88	13.47	16.6	16.69	15.64	19.09	10.75	10.26
subregion	Aroostook County	Retail & recreation	32.4	4.51	3.27	-4.47	10.33	0.4	-0.44	36.17	8.42	4.74	22.84	-23.11	1.22	6.92	41.2	15.09	26.09	5.35	14.99	7.75	12.72	39.94	1.75	-12.05	10.71	20.17	-20.58	-2.42	34.41	2.14	-24.64	-17.5	-24.67	-35.7	-34.45	-21.61	-28.83	-35.41	-33.58	-33.8	-45.24	-38.33	-27.9
