Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Maryland	Retail & recreation	5.49	7.71	2.01	1.63	0.76	-0.56	4.76	6.1	0.59	0.84	2.94	2.85	2.41	4.81	8.37	3.9	7.47	7.23	5.83	0.58	5.51	7.23	5.59	4.9	4.04	8.01	1.17	-7.26	-13.2	-6.78	-19.72	-23.19	-24.21	-27.02	-36.05	-39.53	-35.46	-37.71	-43.51	-36.03	-38.71	-48.13	-44.62
region	Maryland	Grocery & pharmacy	-0.18	-0.59	0.15	-0.0	-0.24	-3.16	3.37	4.0	-1.22	-2.63	0.72	-0.37	0.29	2.72	5.57	2.1	5.55	4.78	4.34	-0.26	6.27	6.33	5.13	4.73	6.09	19.36	19.22	10.56	1.56	16.15	4.23	0.46	1.29	1.36	-4.35	-14.77	-15.23	-16.72	-24.76	-15.95	-19.13	-26.19	-24.8
region	Maryland	Parks	19.95	39.5	20.97	7.15	-5.61	-4.0	52.43	75.41	10.49	-5.99	-1.62	-3.99	3.73	-2.69	31.34	20.76	23.53	48.48	28.68	2.61	33.7	100.11	83.64	37.44	27.22	32.95	39.22	66.34	20.37	11.84	52.21	39.36	42.12	54.01	33.82	33.45	-45.44	30.84	-43.16	52.61	41.12	-28.41	28.71
region	Maryland	Transit stations	-0.88	-18.48	3.73	1.13	-0.21	-1.26	6.44	6.06	-0.59	-0.84	0.83	-0.52	0.99	0.07	1.85	-0.56	1.24	2.91	1.02	-2.89	3.82	5.29	-0.77	-1.71	-2.29	-6.81	-13.27	-10.96	-19.36	-27.87	-32.56	-37.02	-41.36	-42.04	-37.61	-45.24	-56.18	-51.29	-57.88	-51.59	-51.36	-52.66	-50.99
region	Maryland	Workplace	0.25	-33.29	2.43	1.99	1.76	2.71	4.48	2.73	4.19	2.65	2.27	1.93	2.95	3.59	3.22	4.36	3.8	2.77	2.62	2.27	4.06	2.04	3.05	1.96	0.94	-1.24	-4.14	-2.08	-10.88	-24.33	-32.47	-36.95	-39.33	-39.5	-25.36	-33.08	-45.99	-48.9	-51.77	-50.54	-48.8	-36.33	-38.9
region	Maryland	Residential	-0.82	7.95	-0.3	-0.28	-0.07	0.46	-1.54	-0.98	0.09	0.49	-0.46	-0.28	-0.34	-1.41	-0.98	-0.35	-0.85	-1.18	-1.09	0.87	-1.39	-0.82	-0.36	0.09	0.21	0.51	3.06	2.87	5.19	10.19	13.54	15.6	17.12	18.22	11.67	11.47	21.52	21.07	24.41	21.89	23.04	16.06	13.23
subregion	Allegany County	Retail & recreation	8.27	9.65	4.21	4.09	7.19	1.71	3.01	8.14	3.85	10.02	11.05	4.75	7.23	8.76	21.81	13.51	20.84	14.53	18.02	4.76	11.4	18.92	10.29	9.76	6.96	12.29	2.09	-7.36	-7.1	-6.95	-26.26	-27.83	-25.82	-34.38	-43.16	-42.44	-36.68	-41.16	-46.84	-35.08	-44.19	-46.75	-39.03
subregion	Allegany County	Grocery & pharmacy	8.81	2.7	3.91	3.31	3.69	1.13	3.6	13.23	5.42	6.43	5.29	-0.43	6.81	8.89	14.46	7.9	13.1	8.37	10.21	5.48	12.92	19.12	12.86	10.56	9.69	21.08	21.93	13.55	9.8	25.5	7.35	5.94	8.69	1.32	-0.64	-7.85	-6.1	-13.34	-18.51	-14.57	-17.78	-20.55	-16.91
subregion	Allegany County	Parks	44.25			2.08	7.84	6.93	10.98	75.4				25.49	2.77	8.78	39.34					19.44	42.85	55.73					5.55	-2.21	-0.01	-29.17	-29.27	-22.92	-23.53	-36.11	-54.95	-34.43	-56.25	-19.51	-50.0	1.96	-44.44	-64.83	-8.2
subregion	Allegany County	Transit stations	7.77	8.56	8.99	5.82	-5.56	5.12	-0.01	14.44	1.9	-1.01	3.87	2.77	7.68	5.25	14.44	-0.96	4.99	8.73	9.25	-5.14	-3.17	14.44	6.66	6.0	2.9	6.47	-0.86	-5.27	-3.34	-4.77	-2.01	-13.6	-17.6	-26.5	-30.53	-30.01	-26.67	-16.0	-26.22	-16.67	-39.33	-33.69	-32.23
subregion	Allegany County	Workplace	1.72	-18.15	4.26	2.07	3.99	4.54	8.8	5.16	2.58	5.11	3.93	4.42	6.81	7.24	4.59	6.26	4.04	3.1	4.63	3.4	4.65	4.02	-3.24	5.96	2.69	1.47	-2.28	-2.08	-10.35	-15.13	-19.84	-24.91	-25.54	-25.92	-18.66	-23.57	-32.83	-37.75	-40.88	-38.41	-37.73	-25.91	-31.04
