Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Massachusetts	Retail & recreation	6.35	11.13	-3.86	3.07	3.13	0.06	5.47	8.53	4.4	1.73	4.78	3.86	5.19	9.05	9.97	6.53	11.14	4.42	7.17	2.31	6.83	8.97	9.79	4.67	5.43	5.25	-5.39	-10.72	-14.83	-12.26	-31.75	-30.55	-38.95	-34.19	-42.4	-46.43	-40.41	-48.76	-52.11	-47.34	-47.78	-52.24	-59.36
region	Massachusetts	Grocery & pharmacy	-4.42	-1.54	-9.93	-3.17	-1.79	-5.82	-2.05	1.12	0.02	-3.09	-0.18	0.18	1.48	0.5	4.03	4.53	6.41	2.74	7.37	1.67	2.77	4.67	6.94	7.39	13.39	31.95	30.1	16.41	5.37	15.58	-0.5	0.96	-3.32	11.19	-4.58	-18.63	-11.72	-20.62	-24.91	-16.65	-18.64	-23.2	-36.45
region	Massachusetts	Parks	2.53	32.19	-18.46	3.27	-1.42	-9.25	49.16	66.37	50.94	11.5	2.74	-1.15	-2.32	25.68	-1.45	21.44	48.79	5.17	29.78	1.19	24.17	47.32	101.71	32.78	25.34	13.63	-15.57	60.72	43.25	7.82	-18.95	53.16	-35.76	19.53	71.27	21.84	-32.96	-1.91	-20.96	42.43	45.9	57.13	-56.31
region	Massachusetts	Transit stations	-0.96	-25.53	-4.38	-2.33	-2.29	-3.46	5.4	5.86	1.49	1.61	4.54	4.87	6.93	11.26	10.57	1.7	4.38	-0.48	0.85	-0.61	0.24	0.04	-2.92	-7.21	-9.98	-17.32	-26.02	-18.54	-25.62	-41.37	-50.35	-50.43	-59.35	-55.72	-50.37	-59.18	-66.3	-67.59	-69.77	-68.17	-66.92	-62.68	-72.89
region	Massachusetts	Workplace	0.05	-42.2	-10.21	-9.97	-8.47	-9.38	1.34	2.94	3.68	3.05	2.16	2.58	3.0	1.72	3.48	3.49	0.93	1.68	3.76	2.71	1.41	1.96	0.85	-0.2	-2.54	-4.51	-13.91	-4.43	-8.26	-29.62	-39.19	-41.85	-44.29	-43.82	-29.73	-32.88	-49.79	-54.92	-57.38	-56.46	-55.45	-40.75	-42.24
region	Massachusetts	Residential	-0.44	9.08	3.17	1.86	2.06	2.84	-1.23	-1.05	-0.77	-0.22	-0.3	0.29	-0.36	-1.42	-0.52	-0.49	-0.97	-0.08	-0.68	0.51	-0.57	-0.27	-0.46	0.6	1.23	2.7	7.49	3.85	5.07	11.64	17.4	17.09	21.05	20.41	12.12	11.9	21.16	24.12	25.58	24.72	25.57	15.3	15.64
subregion	Barnstable County	Retail & recreation	14.33	12.82	2.12	6.12	5.23	1.41	9.21	8.22	5.81	0.23	2.58	0.78	0.43	5.58	4.85	4.38	11.9	2.82	6.19	3.83	0.59	12.96	9.16	5.42	5.79	5.56	-1.23	0.64	-5.56	-7.16	-32.08	-27.65	-39.18	-32.63	-38.23	-41.54	-32.91	-44.75	-49.51	-45.48	-45.32	-49.08	-57.5
subregion	Barnstable County	Grocery & pharmacy	8.1	2.8	-1.76	2.34	1.73	-0.85	-0.54	9.72	1.86	-0.94	1.99	1.15	3.36	1.71	7.98	5.49	6.56	4.94	5.3	7.25	-1.61	12.84	6.08	8.9	12.69	25.37	30.07	22.18	16.83	20.23	1.87	1.64	-4.73	12.08	-0.32	-10.1	-4.22	-15.36	-22.69	-16.96	-18.83	-18.54	-28.3
subregion	Barnstable County	Parks	14.23	58.85	-13.64	29.16	11.17	1.0	46.82	55.33	39.99	-0.01	-3.12	4.46	2.51	20.48	-6.33	16.0	46.58	11.45	36.3	6.03	-0.49	25.29	65.14	31.81	26.04	41.89	-8.04	77.56	47.03	25.71	-9.66	92.18	-15.64	24.62	98.53	42.28	-9.72	43.17	7.81	84.9	120.59	109.75	-37.95
subregion	Barnstable County	Transit stations	-0.01	-3.98	0.78	-0.01	2.6	-2.95	-1.9	2.05	3.16	-11.12	-1.63	-5.22	-0.01	16.97	16.48	-3.18	5.55	1.6	10.42	0.73	-12.28	2.05	4.75	0.78	3.22	2.6	-10.31	3.77	-1.04	-12.7	-27.78	-11.3	-24.36	-32.36	-20.76	-36.09	-38.1	-46.04	-46.78	-46.09	-41.92	-36.8	-67.01
