Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Minnesota	Retail & recreation	8.88	3.57	-2.11	-0.22	-2.12	2.12	5.16	11.1	3.54	5.1	6.41	2.63	4.67	7.54	14.68	5.57	9.96	7.4	1.2	6.12	7.33	13.49	4.06	5.67	7.12	2.95	1.64	-6.74	-5.15	-5.45	-18.2	-33.54	-41.19	-37.9	-48.88	-47.99	-38.78	-41.1	-37.39	-36.78	-39.78	-64.69	-57.88
region	Minnesota	Grocery & pharmacy	2.17	-1.42	-1.05	-1.9	-1.69	2.53	4.77	7.73	3.05	1.59	2.28	1.29	3.02	6.48	10.52	3.77	7.36	4.92	0.64	5.7	9.02	11.6	3.0	4.25	6.72	14.25	20.0	14.77	19.09	20.17	15.17	1.55	-5.83	4.02	-9.29	-18.57	-11.23	-14.42	-7.71	-5.41	-8.15	-38.39	-35.07
region	Minnesota	Parks	11.03	4.57	-8.85	-13.2	-14.24	6.2	26.48	44.1	4.65	3.02	-0.51	-4.61	0.31	5.4	40.33	-0.73	20.05	5.42	-14.65	5.99	20.99	92.87	-1.31	6.31	10.78	-9.82	-2.31	-13.94	30.61	-13.37	32.7	6.68	-31.14	-2.72	-5.22	17.61	35.29	21.86	-11.49	55.33	54.84	-44.06	-16.41
region	Minnesota	Transit stations	-3.05	-6.12	6.1	2.84	0.24	7.76	4.65	6.33	4.72	6.1	5.9	3.9	7.62	5.67	6.43	1.82	2.96	4.19	-0.72	2.73	6.51	7.42	-4.77	-1.45	-1.76	-7.85	-7.35	-10.04	-15.28	-26.83	-26.5	-35.21	-45.39	-42.72	-42.54	-50.33	-51.81	-49.89	-52.71	-51.53	-51.0	-63.51	-64.27
region	Minnesota	Workplace	1.03	-22.46	-1.36	1.21	1.29	2.48	3.25	3.5	2.94	1.81	2.24	1.66	2.38	4.52	4.5	2.83	0.89	2.01	1.22	-0.56	3.03	1.9	-1.89	-2.01	-2.61	-4.15	-6.02	-0.89	-3.98	-15.6	-24.09	-31.59	-35.22	-36.29	-25.35	-30.22	-39.24	-42.14	-43.32	-43.34	-43.55	-36.74	-38.26
region	Minnesota	Residential	-1.49	5.29	0.83	0.33	0.57	-0.45	-1.1	-1.99	-0.58	-0.14	-0.8	-0.16	-0.72	-1.18	-2.08	-0.47	-0.43	-0.59	0.45	-0.0	-0.95	-1.9	0.85	0.72	0.56	2.12	2.98	3.84	2.8	7.51	11.11	15.13	18.4	19.06	14.09	11.04	17.25	19.64	20.35	19.77	20.99	19.32	14.23
subregion	Aitkin County	Retail & recreation	21.87	6.66	2.1	-1.05	-2.81	27.48	46.66	23.95	15.55	9.47	-1.05	8.41	14.5	43.32	5.21	7.78	17.89	4.16	3.73	13.74	20.83	8.32	5.55	18.42	8.32	5.6	8.39	9.16	3.12	3.33	-0.01	-31.26	-30.84	-35.88	-38.33	-56.25	-28.89	-33.68	-30.21	-35.52	-38.17	-60.83	-62.49
subregion	Aitkin County	Grocery & pharmacy	4.16	7.01	9.25	12.72	-16.0	17.57	21.97	12.5	8.77	5.55	7.26	3.33	-4.4	-8.8	-9.73	34.21	7.4	14.54	-18.67	-9.89	-5.5	-6.95	8.77	16.67	23.63	-5.33	13.18	-17.59	-0.01	15.78	29.62	10.9	-21.34	-23.08	-27.47	-29.17	3.5	-0.01	-1.82	-18.67	-21.99	-51.65	-45.83
subregion	Aitkin County	Parks													-50.0	-37.69	-43.48					-50.0	-44.92	-52.17					-64.29	-68.12	-58.7					-71.43	-63.76	-65.22					-60.71	-73.91	-65.22
subregion	Aitkin County	Transit stations																																											
