Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Mississippi	Retail & recreation	2.72	2.27	-1.78	2.61	-4.57	1.37	5.85	3.65	1.98	9.89	21.77	17.95	15.33	19.89	23.36	16.53	21.91	12.26	15.61	10.01	13.94	16.15	11.98	15.92	15.39	14.34	5.06	3.19	1.66	3.87	-2.68	-5.3	-12.86	-22.55	-29.64	-35.84	-26.18	-27.96	-24.25	-25.77	-29.42	-33.99	-32.12
region	Mississippi	Grocery & pharmacy	0.74	1.9	0.26	1.27	-4.33	-0.46	4.66	1.62	0.48	3.2	8.0	7.05	8.23	11.68	13.84	8.99	15.83	4.18	9.68	5.12	10.13	9.49	7.7	10.8	9.71	23.86	20.84	21.46	17.12	25.43	20.79	17.2	17.61	9.92	8.07	-6.78	-0.45	-4.37	-4.55	-5.6	-8.95	-9.0	-6.62
region	Mississippi	Parks	-11.52	-0.69	-2.33	-1.99	-19.74	2.21	19.53	11.5	-9.09	24.32	8.82	18.2	18.36	41.79	34.97	10.11	21.1	-5.95	20.9	23.54	41.01	45.13	24.01	38.63	35.84	44.85	23.11	41.01	32.43	24.17	33.62	32.43	26.13	-0.3	-0.92	-5.54	4.11	9.29	25.57	30.85	21.18	14.19	26.75
region	Mississippi	Transit stations	3.57	0.67	0.08	2.15	-0.4	8.88	12.34	12.0	1.95	9.63	15.39	11.5	10.22	16.87	24.0	4.67	8.04	4.22	10.13	11.32	22.82	21.72	7.65	7.87	11.67	12.46	8.52	9.86	9.62	3.91	1.92	0.16	-2.98	-12.45	-14.93	-21.23	-18.63	-12.99	-13.5	-16.58	-23.48	-24.6	-28.67
region	Mississippi	Workplace	-0.91	-14.96	0.51	0.41	-1.12	0.25	2.08	1.26	-2.03	-3.85	-0.53	1.69	0.74	3.38	3.92	2.86	2.46	-0.67	2.19	0.24	2.67	2.34	-8.7	-9.19	-9.38	-10.07	-11.99	0.24	-4.45	-13.59	-17.93	-20.69	-22.31	-26.25	-18.27	-26.87	-29.31	-32.28	-33.65	-33.56	-34.63	-24.86	-29.74
region	Mississippi	Residential	0.56	4.01	1.05	0.3	2.73	-0.15	-1.01	-0.38	2.07	0.27	-1.29	-1.52	-2.77	-3.68	-2.44	-1.19	-1.86	0.83	-1.0	-1.99	-2.76	-2.28	0.87	0.28	0.11	0.15	1.37	-0.6	0.87	3.83	5.97	6.99	8.56	12.15	8.72	9.28	12.34	13.52	12.68	13.4	14.42	9.38	8.84
subregion	Adams County	Retail & recreation	2.29	3.47	1.11	-5.86	-8.86	5.67	-0.44	4.59	2.61	8.07	20.6	26.07	17.61	23.5	25.57	22.02	28.13	2.51	20.25	11.73	11.96	16.39	16.51	22.0	23.95	17.97	6.67	4.87	2.29	12.46	0.28	-3.63	-14.18	-29.97	-37.7	-34.1	-22.61	-24.79	-25.63	-28.61	-30.97	-38.8	-32.79
subregion	Adams County	Grocery & pharmacy	-1.94	-8.07	-1.09	-13.66	-3.85	-6.43	-0.01	-7.75	-3.77	-0.01	-2.74	4.39	0.45	8.98	5.15	3.77	14.05	-2.74	13.18	1.37	8.42	9.02	6.44	9.19	4.36	19.22	16.51	22.46	17.41	20.43	10.8	13.66	15.93	0.91	2.8	-5.81	-5.38	-10.81	-9.84	-8.8	-15.14	-12.92	-10.0
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations																																											
