Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	New Jersey	Retail & recreation	4.39	14.31	0.62	1.64	0.94	-0.61	7.11	5.95	1.39	-1.07	3.46	2.23	1.96	6.93	7.84	6.1	4.23	7.55	7.02	-2.49	8.88	8.05	8.48	5.1	6.49	4.72	-0.5	-7.25	-14.32	-10.48	-27.38	-30.15	-35.44	-35.36	-42.27	-57.43	-56.2	-45.78	-51.25	-46.13	-48.28	-59.23	-58.64
region	New Jersey	Grocery & pharmacy	-3.74	0.69	-0.16	-0.49	-0.58	-2.75	1.47	1.51	0.01	-2.54	1.16	0.5	1.05	1.94	4.13	5.22	5.83	6.99	9.44	-0.0	8.5	5.55	8.35	10.47	11.62	25.47	26.78	15.98	5.78	18.32	4.48	0.68	-3.03	3.81	-1.15	-30.52	-34.46	-18.47	-26.74	-19.41	-21.0	-31.73	-33.4
region	New Jersey	Parks	20.09	63.01	5.36	16.26	2.1	-2.36	58.76	104.32	45.78	-8.58	0.41	1.61	2.06	9.48	27.93	52.66	9.72	36.27	39.11	-5.97	44.71	116.14	120.62	33.64	48.18	18.53	39.46	86.97	79.46	9.27	9.47	45.69	0.41	51.21	51.4	-2.73	-54.52	31.83	-31.72	51.83	42.22	-47.12	-36.08
region	New Jersey	Transit stations	0.04	-15.15	1.78	2.25	1.3	-0.11	5.96	5.15	0.52	-1.02	2.09	2.06	1.92	1.66	3.09	1.39	1.58	2.14	2.71	-2.99	2.46	1.6	-3.73	-6.95	-8.33	-13.71	-19.71	-16.09	-24.18	-34.74	-41.14	-42.57	-49.88	-49.19	-48.28	-60.94	-66.52	-59.98	-64.56	-62.0	-62.61	-67.33	-70.46
region	New Jersey	Workplace	-0.14	-35.96	-0.66	0.79	0.46	1.69	4.43	2.26	3.38	2.2	1.84	1.29	2.65	3.63	2.35	3.24	2.58	1.95	1.57	1.55	5.52	1.65	0.8	-1.62	-2.67	-5.01	-9.23	-1.98	-8.44	-25.12	-35.22	-39.38	-43.08	-43.61	-29.97	-38.36	-54.93	-55.42	-56.9	-57.0	-55.78	-43.55	-44.24
region	New Jersey	Residential	-0.48	8.32	0.74	0.03	0.42	0.94	-1.39	-0.91	-0.25	0.4	-0.26	0.08	0.06	-1.14	-0.56	-0.53	-0.31	-0.66	-0.62	1.65	-1.08	-0.39	-0.02	0.97	1.22	2.72	5.62	3.55	5.12	11.42	16.26	17.42	20.56	21.18	13.57	14.5	26.26	24.33	26.71	25.61	27.04	18.98	16.11
subregion	Atlantic County	Retail & recreation	14.65	17.23	8.11	7.13	5.03	2.49	13.75	5.25	1.48	-0.42	8.81	7.98	7.21	21.49	9.43	6.73	10.61	11.48	12.54	-1.51	16.37	9.68	12.53	10.94	10.96	8.52	4.36	3.89	-7.87	0.15	-25.05	-29.44	-35.0	-34.29	-41.58	-60.5	-56.92	-44.85	-52.47	-43.26	-48.73	-59.6	-56.05
subregion	Atlantic County	Grocery & pharmacy	6.91	4.69	6.94	5.2	3.14	1.53	5.46	6.58	3.45	-0.96	5.9	5.82	7.8	6.9	11.37	11.89	12.28	10.75	12.8	1.11	13.92	10.79	12.78	14.02	12.1	21.3	18.52	17.43	12.6	28.67	2.57	-1.53	-6.81	0.47	-5.47	-32.0	-33.85	-21.93	-31.91	-18.51	-24.06	-36.54	-29.74
subregion	Atlantic County	Parks	28.69	67.34	33.69	25.0	8.41	0.88	62.85	79.12	28.56	-15.22	7.28	3.15	-5.31	14.28	22.6	20.41	25.0	47.92	38.94	-23.01	36.18	93.04	89.79	40.21	32.29	21.05	20.35	92.37	42.6	2.04	52.17	43.74	9.47	46.01	19.99	-29.56	-56.12	40.21	-45.83	75.79	45.13	-47.63	11.3
subregion	Atlantic County	Transit stations	21.54	1.53	9.69	13.27	11.71	10.32	16.98	10.33	-1.29	3.77	10.29	6.23	7.26	10.58	6.31	-2.58	5.38	12.73	6.23	-3.77	10.29	9.76	-1.29	7.54	3.24	-0.53	-8.93	-12.82	-16.39	-15.91	-30.47	-37.14	-49.75	-46.96	-57.39	-69.83	-67.7	-56.07	-62.07	-56.52	-62.21	-70.48	-72.13
