Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	New York	Retail & recreation	6.79	6.96	-2.11	3.24	2.11	-0.57	7.93	8.92	2.98	-0.6	3.99	-1.48	0.81	7.03	9.9	6.13	4.4	7.19	7.67	-1.31	10.0	9.92	7.4	0.72	2.92	0.98	-5.91	-8.7	-13.86	-14.71	-30.99	-32.56	-38.77	-39.7	-45.75	-53.65	-62.13	-53.26	-55.79	-52.23	-53.67	-61.45	-61.69
region	New York	Grocery & pharmacy	-3.43	-2.3	-5.14	-1.73	-2.78	-5.5	0.37	1.53	-0.0	-2.37	2.87	-2.48	0.01	1.36	5.07	5.44	5.72	8.18	8.78	-0.08	7.79	7.15	8.39	6.89	11.17	27.33	27.83	21.36	13.74	24.05	13.32	10.04	1.57	7.76	0.01	-18.67	-36.9	-17.6	-23.25	-17.9	-20.04	-28.48	-31.66
region	New York	Parks	13.08	22.71	-4.24	11.23	-0.02	-8.17	29.08	54.12	24.73	-0.71	-0.76	-4.49	-8.72	-5.26	9.09	16.46	5.88	15.66	21.21	-11.28	16.74	60.93	61.99	13.88	20.42	5.8	0.65	20.2	27.65	-10.51	-16.18	6.88	-15.86	-9.1	-0.87	-14.6	-63.9	-16.04	-38.28	0.53	-7.14	-51.56	-46.73
region	New York	Transit stations	-0.45	-22.01	-5.47	-2.82	-3.35	-5.92	2.54	3.12	-0.73	-0.78	0.23	-0.37	0.14	-0.56	0.4	-1.07	-0.28	-0.01	0.17	-3.12	0.21	-0.37	-4.15	-6.85	-7.98	-13.05	-19.19	-20.48	-25.42	-36.11	-41.75	-44.22	-49.72	-50.04	-50.03	-59.05	-69.4	-63.25	-65.89	-64.4	-63.98	-67.17	-68.33
region	New York	Workplace	-0.24	-37.05	-10.1	-9.05	-8.84	-9.41	3.51	2.51	3.57	3.41	3.22	0.46	3.0	4.38	3.17	4.01	3.83	3.01	3.76	2.82	5.51	2.23	1.28	-0.91	-1.16	-3.21	-7.9	-1.92	-7.31	-24.96	-31.8	-36.01	-39.81	-42.74	-29.86	-35.93	-56.59	-56.35	-57.31	-57.3	-57.08	-44.88	-45.51
region	New York	Residential	-0.54	8.56	3.0	1.95	2.05	3.13	-0.84	-1.17	-0.42	0.07	-0.39	1.14	0.52	-0.43	-0.67	-0.43	-0.29	-0.4	-0.93	1.14	-0.61	-0.64	-0.05	1.38	1.28	2.16	5.13	3.59	4.27	10.34	14.42	15.55	18.07	20.24	13.16	12.73	25.79	24.53	25.64	24.86	26.71	18.34	15.61
subregion	Albany County	Retail & recreation	6.54	11.46	-6.98	3.98	2.15	0.68	8.87	8.52	7.16	4.15	5.85	2.38	5.49	10.89	10.49	10.73	7.94	7.05	5.22	5.65	12.46	8.99	9.62	0.33	3.04	1.9	-6.55	-14.73	-18.9	-10.58	-33.2	-36.19	-39.58	-42.74	-48.94	-54.02	-60.32	-56.93	-54.39	-51.32	-52.22	-58.75	-59.36
subregion	Albany County	Grocery & pharmacy	-5.63	1.83	-7.06	-2.9	-3.24	-5.05	-2.9	0.34	2.1	-0.09	-1.14	1.23	6.68	3.6	12.99	15.3	14.73	7.73	13.16	9.76	12.06	13.34	15.94	8.95	14.6	31.83	33.61	17.63	10.62	28.41	16.91	6.94	4.29	6.68	-4.55	-15.37	-29.33	-18.81	-18.04	-11.5	-15.12	-24.85	-30.12
subregion	Albany County	Parks	8.32	-22.59	-32.77	-21.47	-8.13	-9.59	78.42	121.28	57.42	12.06	-1.7	-3.76	-0.6	15.68	18.51	29.02	40.8	5.65	17.5	11.97	78.42	186.1	114.19	-1.72	10.73	5.62	-1.2	63.72	99.07	4.51	-22.41	22.59	-16.26	5.38	133.32	89.8	-54.84	-46.55	-26.55	42.49	40.71	33.33	-14.82
subregion	Albany County	Transit stations	-0.64	-7.42	0.16	1.61	-2.24	-4.6	5.85	6.53	2.52	3.75	3.57	3.98	4.43	11.31	3.99	4.73	8.33	2.43	1.91	6.94	10.5	6.74	4.25	0.16	1.61	-3.35	-8.3	-12.74	-14.56	-21.14	-28.33	-30.21	-39.56	-45.42	-37.38	-51.69	-56.63	-54.18	-55.68	-53.28	-52.08	-58.59	-63.93
subregion	Albany County	Workplace	1.91	-40.88	-9.12	-8.23	-7.57	-9.49	3.51	4.26	3.49	3.75	3.25	3.37	2.05	4.24	7.05	3.1	3.48	2.56	3.4	2.5	5.57	2.34	1.86	1.9	0.18	-0.83	-6.95	-4.26	-6.93	-20.17	-34.51	-39.6	-42.84	-45.79	-26.83	-29.46	-55.51	-56.23	-56.41	-55.28	-55.47	-36.78	-36.23
subregion	Albany County	Residential	-0.9	9.02	2.99	2.38	1.95	2.68	-1.35	-1.58	-0.85	-0.46	0.16	0.3	-0.18	-1.14	-1.0	-0.36	-0.66	0.01	-0.85	0.1	-1.39	-1.39	-0.66	0.69	0.67	1.34	4.52	3.72	3.46	8.37	14.7	16.52	18.2	20.56	11.02	9.69	23.19	24.09	24.41	22.67	24.32	14.36	12.85
subregion	Allegany County	Retail & recreation	31.01	4.45	13.39	13.43	20.84	19.74	31.91	43.3	5.8	10.03	15.01	-11.59	5.63	18.43	47.05	12.49	28.44	15.41	30.1	9.71	24.1	41.17	7.13	5.01	8.29	15.82	10.33	16.31	25.67	-8.93	-34.74	-37.16	-37.46	-37.94	-41.49	-42.25	-56.25	-48.12	-48.23	-39.0	-34.5	-51.42	-39.58
subregion	Allegany County	Grocery & pharmacy	3.77	-1.16	1.17	-4.01	0.54	-7.28	-0.5	16.14	5.16	3.52	15.99	-6.6	-9.55	-4.91	13.4	14.36	15.88	10.85	12.63	-1.38	-0.99	14.09	9.19	8.22	8.56	17.57	14.53	18.13	36.76	28.72	7.05	6.85	2.74	-3.64	-3.94	-3.1	-26.45	-14.12	-17.72	-13.19	-19.1	-23.78	-14.78
subregion	Allegany County	Parks																																											
subregion	Allegany County	Transit stations																																											
subregion	Allegany County	Workplace	-0.88	-24.28	-12.81	-14.48	-11.88	-12.79	5.47	-0.88	4.33	3.06	3.0	-18.24	0.87	9.37	0.88	2.89	2.22	1.92	3.86	3.49	4.68	1.75	-1.16	-4.18	-1.91	-1.39	-6.97	3.91	-3.51	-20.81	-27.57	-31.15	-34.25	-34.89	-18.75	-25.44	-45.09	-46.24	-46.44	-46.69	-46.81	-28.91	-33.33
subregion	Allegany County	Residential		4.79	2.89	2.14	2.2	2.86			-0.58	-0.34	-1.61	9.23	2.35			-0.46	-1.26	-0.32	-1.61	0.07			-1.54	0.67	-0.75	-0.83	1.82			5.55	9.66	10.26	10.56	14.25			17.06	16.67	15.65	14.38	17.52		
subregion	Bronx County	Retail & recreation	-0.74	2.93	-2.36	2.02	2.09	-3.82	9.62	7.26	7.23	0.1	5.25	7.75	5.62	10.13	8.61	13.45	7.71	11.42	12.54	-2.11	12.86	10.15	14.53	6.32	7.36	6.15	-0.76	1.4	-6.76	-10.33	-21.52	-21.38	-29.36	-29.73	-32.68	-50.28	-61.3	-48.53	-54.42	-48.17	-50.56	-60.47	-63.69
