Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	North Carolina	Retail & recreation	3.02	5.11	0.79	1.55	-10.06	-7.88	3.43	3.03	-1.3	4.95	9.04	10.55	11.52	13.15	14.22	9.99	13.14	8.54	5.62	6.4	9.04	9.2	8.07	7.0	7.89	8.62	4.84	-1.13	-8.15	-3.94	-12.74	-21.69	-23.48	-24.77	-32.4	-38.68	-32.48	-30.93	-28.45	-34.76	-35.03	-40.09	-40.29
region	North Carolina	Grocery & pharmacy	-2.83	1.52	-0.43	4.4	4.52	-13.77	-4.18	-3.11	-3.23	-0.3	1.25	3.23	3.91	2.73	4.95	5.66	9.44	4.57	3.62	1.94	3.81	3.57	7.15	6.73	7.0	17.95	23.51	17.22	13.39	20.66	18.81	9.05	9.55	9.68	2.27	-9.72	-4.58	-3.59	-0.87	-6.7	-5.67	-9.72	-15.34
region	North Carolina	Parks	-4.84	45.6	13.55	-9.23	-31.15	-12.86	30.44	24.24	-2.84	17.48	11.12	6.49	20.43	25.88	22.04	31.1	23.6	14.3	-3.77	18.83	48.6	40.75	65.03	37.45	51.29	43.53	37.38	56.8	-3.26	21.71	14.34	27.82	42.28	63.44	45.46	-7.0	-16.63	-7.57	4.83	10.86	38.35	37.82	12.88
region	North Carolina	Transit stations	-0.55	6.4	5.57	2.72	-7.32	-4.9	3.8	3.73	3.06	3.82	7.08	9.11	13.27	12.97	11.26	7.17	2.71	2.85	1.78	5.7	7.96	7.64	4.43	0.62	1.6	-1.31	-3.92	-4.36	-13.62	-15.03	-18.1	-22.51	-28.07	-29.11	-29.39	-42.16	-41.07	-38.19	-39.01	-43.11	-44.75	-43.53	-51.21
region	North Carolina	Workplace	-0.99	-10.63	1.08	1.64	-6.13	-18.8	2.53	2.14	3.46	2.98	2.69	1.78	2.59	1.83	2.18	3.11	1.57	2.09	1.15	2.02	1.95	0.25	0.04	0.72	-0.48	-1.82	-3.29	-0.07	-9.19	-14.76	-19.91	-24.54	-26.51	-28.0	-18.78	-28.66	-33.21	-34.28	-36.19	-38.18	-38.71	-28.72	-35.31
region	North Carolina	Residential	-0.15	1.71	0.35	-0.04	6.78	8.73	-0.39	-0.46	0.14	-0.24	-1.52	-1.02	-2.46	-2.22	-1.8	-1.55	-0.5	-0.99	0.46	-1.27	-1.68	-1.29	-0.98	-0.16	-0.87	-0.05	0.04	0.5	3.17	5.34	8.78	9.91	11.17	11.07	7.98	8.88	14.06	14.87	14.56	16.2	15.92	10.47	9.9
subregion	Alamance County	Retail & recreation	3.08	4.69	0.66	5.06	-10.07	-8.24	2.88	3.56	-2.27	6.17	12.14	12.42	14.17	13.21	17.16	9.22	17.81	10.96	9.73	8.92	8.81	10.84	9.01	10.9	10.82	12.01	7.85	-2.16	-5.85	-4.42	-10.21	-18.02	-19.91	-22.66	-32.82	-38.66	-32.83	-29.27	-27.45	-31.31	-32.45	-40.94	-38.59
subregion	Alamance County	Grocery & pharmacy	0.97	1.44	2.26	5.85	7.81	-14.2	-3.01	0.29	-2.21	1.28	2.55	4.09	6.16	3.51	8.67	6.42	11.44	6.61	3.72	4.53	7.61	8.19	8.63	10.25	10.49	15.34	30.44	22.1	20.15	20.32	25.04	15.59	14.5	17.96	8.29	-3.77	-0.96	-0.89	2.74	-3.07	3.25	-6.28	-7.24
subregion	Alamance County	Parks	-4.5			-9.84	-38.33	-12.51	35.58	33.7			16.39	13.33		42.37	34.83			36.06	26.66			55.04				61.66			-4.5			39.34	73.33			10.11	4.34		13.11	39.99			33.7
subregion	Alamance County	Transit stations	4.6	4.95	1.08	-1.81	-11.35	-10.23	-2.23	2.47	-4.97	2.98	1.28	3.26	10.21	6.03	19.85	3.12	4.34	3.34	6.29	13.21	3.8	15.59	3.38	6.51	3.6	6.79	5.97	-0.01	4.95	-0.27	4.88	2.05	2.26	1.98	-13.34	-10.3	-13.59	-5.44	-12.12	-8.57	-15.72	-19.69	-18.44
subregion	Alamance County	Workplace	-1.21	-2.28	3.14	2.04	-5.86	-22.41	4.54	1.98	4.22	3.45	3.36	2.67	3.02	5.04	2.78	4.74	3.45	2.52	1.51	2.18	4.71	1.79	3.03	2.28	0.83	-0.07	-0.72	1.84	-8.39	-9.18	-15.86	-20.03	-21.87	-24.93	-16.51	-25.15	-26.89	-27.02	-30.32	-32.22	-34.58	-25.43	-32.94
subregion	Alamance County	Residential	-0.55	0.24	-0.23	-0.22	7.46	11.19	-0.35	-0.87	-0.26	-0.52	-2.02	-1.22	-2.23	-2.36	-2.27	-1.96	-1.2	-1.35	-0.35	-1.17	-1.83	-1.78	-1.64	-0.83	-1.41	-0.48	-0.42	0.15	2.73	4.43	7.54	9.45	10.14	10.35	7.38	8.43	13.13	13.09	14.16	14.96	15.55	9.8	8.86
subregion	Alexander County	Retail & recreation	-5.76	7.9	2.79	1.25	-6.02	-1.47	0.67	0.71	1.02	7.08	11.67	12.31	9.06	4.47	14.74	15.11	25.52	9.14	9.45	5.14	9.9	12.94	15.45	9.71	11.03	12.6	13.47	3.93	-1.8	-0.01	-9.4	-22.08	-23.79	-16.43	-21.31	-31.3	-26.12	-26.21	-24.93	-28.37	-21.33	-13.44	-24.11
subregion	Alexander County	Grocery & pharmacy	-4.51	4.19	6.82	20.86	13.32	-20.58	-3.06	0.89	-1.69	-7.69	11.3	10.0	9.21	4.57	-3.6	5.87	21.36	11.3	12.49	-1.43	8.39	6.3	15.11	14.1	15.65	26.66	37.58	32.81	37.82	41.17	52.98	46.94	38.33	29.06	29.76	11.7	1.67	16.23	13.9	12.07	20.56	19.07	9.9
subregion	Alexander County	Parks																																											
subregion	Alexander County	Transit stations																																											
subregion	Alexander County	Workplace	0.0	-8.69	0.82	0.81	-3.59	-5.49	2.6	5.32	0.0	1.11	0.81	2.2	-1.22	5.22	4.26	1.12	1.38	2.18	1.93	0.3	7.82	4.26	0.0	0.82	-1.37	1.65	-1.22	-2.61	-3.19	-7.56	-8.57	-11.72	-14.05	-21.65	-13.04	-24.47	-18.21	-17.4	-18.8	-22.59	-33.24	-18.26	-23.41
subregion	Alexander County	Residential		1.86	0.3	0.69	5.92	3.7			0.89	-0.99	-0.86	-1.11	-1.22			-1.26	-0.63	-0.76	-0.25	-1.51			-0.74	-0.58	-1.14	-1.04	-1.73			3.4	5.34	7.52	7.93	8.03			10.61	10.44	10.71	12.37	12.22		
subregion	Alleghany County	Retail & recreation		-2.04	-1.96	-0.01	-31.26	1.4	25.48		-12.25	-1.96	21.05	4.68	21.12	11.76		10.2	7.84	12.27	1.56	11.26	21.56		8.16	11.76	21.05	7.81	12.67	7.84		-6.13	-23.54	-42.99	-46.88	-38.03	-25.49		-35.72	-62.75	-36.84	-53.13	-38.03	-31.38	
subregion	Alleghany County	Grocery & pharmacy																																											
subregion	Alleghany County	Parks																																											
subregion	Alleghany County	Transit stations																																											
subregion	Alleghany County	Workplace																																											
subregion	Alleghany County	Residential																																											
subregion	Anson County	Retail & recreation	2.2	3.22	3.28	-6.47	-7.89	-9.21	-1.14	1.31	-3.24	5.15	8.61	20.32	17.76	17.22	14.15	23.03	19.71	12.93	12.85	13.47	16.1	15.92	9.21	21.59	16.8	25.72	21.7	17.97	21.67	11.52	2.34	12.93	4.97	-3.95	-4.13	-20.36	-16.6	-19.25	-3.03	-16.19	-31.91	-34.46	-42.92
subregion	Anson County	Grocery & pharmacy	-2.03	11.99	0.99	-2.95	9.08	-6.05	-7.97	-4.06	-4.01		-0.01	12.12	17.23	7.07	13.12	10.99	8.99	8.81	9.08	8.61	13.27	8.07	29.99	6.99	12.74	29.28	38.78	21.23	23.22	26.99	29.99	27.43	28.28	34.9	15.04	3.02	5.99	19.99	20.58	29.28	3.43	8.84	2.01
subregion	Anson County	Parks																																											
subregion	Anson County	Transit stations																																											
subregion	Anson County	Workplace	-3.22	-10.56	2.55	-1.19	-2.43	-14.19	-2.94	3.23	3.11	1.9	0.0	1.22	-1.93	-2.94	0.0	-4.35	1.9	-2.38	-0.61	0.65	1.47	1.61	-3.1	1.9	-2.98	0.61	-5.8	2.94	-4.84	-8.08	-5.09	-8.93	-11.59	-18.06	-11.76	-12.9	-18.02	-15.28	-19.65	-21.95	-27.75	-22.06	-20.97
subregion	Anson County	Residential																																											
subregion	Ashe County	Retail & recreation	13.81	7.17	0.74	13.58	-23.45	-1.81	11.71	7.73	-4.79	9.6	15.05	-7.08	7.24	-8.07	23.75	13.87	22.66	14.07	18.58	1.45	9.51	19.06	6.21	8.37	12.37	10.17	10.86	8.05	2.2	-7.66	-13.3	-20.39	-18.15	-22.83	-20.88	-24.32	-23.45	-24.14	-22.81	-23.9	-18.12	-17.95	-4.97
subregion	Ashe County	Grocery & pharmacy	3.4	-4.96	7.21	4.5	-15.58	-7.09	10.67	5.68	-7.44	5.41	9.0	-15.58	2.12	-8.74	3.4	-0.01	19.82	9.0	3.27	-6.38	11.65	12.5	0.82	9.91	11.7	13.93	10.63	37.86	23.86	12.39	23.42	19.82	5.73	-3.55	24.27	-11.37	-8.26	0.9	3.6	-9.84	-2.84	15.53	1.13
subregion	Ashe County	Parks																																											
subregion	Ashe County	Transit stations																																											
