Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Pennsylvania	Retail & recreation	8.86	8.13	0.91	1.41	1.11	0.48	8.53	10.99	2.58	3.7	7.46	2.61	4.45	9.09	16.34	7.65	9.22	9.47	9.15	0.66	10.39	14.76	9.4	6.36	7.18	8.14	1.35	-6.93	-8.03	-5.93	-28.46	-33.33	-34.73	-38.6	-47.98	-46.96	-49.7	-45.09	-48.52	-43.69	-45.6	-58.46	-50.4
region	Pennsylvania	Grocery & pharmacy	0.88	-1.18	-2.33	-0.1	-0.66	-2.23	2.71	5.16	0.23	-1.09	3.57	-0.71	1.53	2.61	7.9	3.96	4.95	6.62	7.1	-0.31	5.83	8.56	6.96	4.65	9.54	21.14	21.89	12.64	8.39	18.37	2.14	-2.02	-0.72	-1.12	-11.25	-17.9	-24.59	-18.95	-22.83	-17.6	-19.54	-32.97	-26.61
region	Pennsylvania	Parks	29.43	42.91	12.14	17.69	9.79	6.07	53.13	99.56	35.88	0.91	8.25	0.16	2.04	-3.5	39.45	30.81	4.04	27.01	37.37	-6.78	25.94	126.91	103.68	16.68	29.31	39.04	32.69	40.13	62.55	9.51	-3.6	30.74	-0.49	14.81	20.34	38.05	-52.52	9.71	-29.23	52.38	27.44	-52.92	6.66
region	Pennsylvania	Transit stations	0.38	-10.68	2.38	2.09	1.13	0.77	6.27	3.83	1.66	0.61	4.53	2.09	4.27	5.03	5.89	2.12	2.61	4.33	4.75	-0.78	6.58	7.58	0.7	-1.86	-0.14	-4.44	-10.86	-8.26	-14.77	-26.2	-34.43	-36.7	-41.91	-42.74	-39.62	-46.13	-57.96	-51.37	-54.61	-50.35	-51.92	-55.35	-52.09
region	Pennsylvania	Workplace	0.51	-20.56	1.49	1.67	1.42	2.93	3.98	3.34	2.78	2.25	1.86	0.76	2.68	2.45	3.03	2.4	1.86	1.49	1.38	1.38	2.66	1.44	0.04	-0.4	-0.96	-2.5	-7.08	-2.17	-7.5	-21.83	-31.1	-34.82	-37.41	-40.65	-31.14	-32.71	-50.09	-50.9	-51.82	-51.5	-50.14	-38.51	-37.52
region	Pennsylvania	Residential	-0.53	4.82	0.38	-0.13	0.33	0.54	-1.09	-1.28	0.03	0.16	-0.65	0.62	0.03	-0.75	-1.29	-0.18	-0.3	-0.72	-0.77	0.95	-1.03	-1.54	-0.33	0.61	0.14	0.59	3.45	2.93	3.34	8.18	12.78	13.92	16.01	18.73	12.66	10.2	21.46	20.72	22.2	21.07	22.77	16.56	12.13
subregion	Adams County	Retail & recreation	15.17	18.59	-0.96	3.17	2.11	5.6	16.68	15.05	0.99	-0.01	4.09	-0.01	3.58	4.6	16.98	5.21	7.1	10.32	8.84	4.34	11.18	22.57	11.96	5.88	5.82	8.22	4.06	-0.44	-5.34	4.64	-32.79	-33.33	-35.99	-45.07	-58.21	-56.31	-52.96	-47.54	-54.9	-48.07	-49.23	-64.95	-58.49
subregion	Adams County	Grocery & pharmacy	-0.62	1.37	-4.18	0.19	-1.17	-5.26	12.96	7.02	-1.77	-1.4	1.38	-2.89	-2.47	6.56	7.63	1.95	1.59	1.97	2.7	1.3	8.52	13.63	6.85	4.38	3.36	18.14	25.61	24.51	13.01	29.74	12.35	2.77	9.07	2.14	-1.24	-15.5	-23.68	-16.34	-24.36	-14.67	-16.75	-25.58	-29.14
subregion	Adams County	Parks	62.49			22.44	16.32	11.29	88.74	90.27			-4.09	-0.01	4.83	22.49	38.89					27.41	76.24	119.43					70.96	91.24	58.32					40.32	26.24	34.72	-44.01		-32.66		37.09	-48.75	-0.01
subregion	Adams County	Transit stations																																											
