Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	South Carolina	Retail & recreation	3.49	5.6	-0.87	0.91	-7.06	1.69	5.03	5.0	-1.47	5.54	10.3	12.78	12.05	15.15	15.56	9.75	10.17	6.66	1.65	9.05	10.59	11.88	8.61	8.59	9.98	10.55	8.29	4.07	2.46	-0.64	-8.42	-18.82	-22.06	-24.77	-31.7	-39.3	-33.84	-35.75	-30.15	-31.21	-31.97	-35.35	-37.86
region	South Carolina	Grocery & pharmacy	-1.3	2.13	-1.11	0.39	-4.81	-1.99	0.62	0.62	-2.33	1.28	1.75	4.79	5.39	7.74	7.94	6.23	8.18	2.87	-1.78	5.33	6.93	7.12	7.95	8.63	7.33	14.75	22.19	17.64	22.89	23.69	17.14	11.44	10.14	10.13	4.49	-9.08	-6.89	-8.5	-5.34	-6.11	-5.71	-4.17	-11.46
region	South Carolina	Parks	-9.36	36.82	-11.25	-12.78	-28.95	-6.84	27.41	17.15	-7.66	-1.08	-7.3	8.54	10.53	39.37	24.66	19.52	3.31	-10.71	-24.64	20.63	53.11	38.26	53.36	33.49	42.53	42.5	41.27	64.48	14.5	12.54	5.68	9.76	32.31	30.68	39.02	-22.21	-20.91	-28.47	-2.08	-4.57	5.54	12.24	-3.91
region	South Carolina	Transit stations	10.72	7.87	2.18	1.12	-0.79	5.43	7.19	11.62	-1.18	2.79	8.03	13.32	14.57	14.61	25.46	8.42	4.31	4.75	1.9	11.87	17.62	23.95	6.91	7.71	9.85	10.91	10.43	9.51	16.17	-0.63	-2.44	-3.94	-8.78	-12.98	-15.64	-22.52	-25.22	-23.28	-21.38	-24.21	-27.16	-31.72	-33.91
region	South Carolina	Workplace	-1.18	-14.52	0.95	0.38	-1.27	-1.95	3.33	2.94	2.9	1.87	1.67	2.09	0.73	3.43	3.15	3.83	1.7	0.93	-0.6	1.92	3.43	1.86	2.33	1.08	0.67	0.02	-2.44	1.37	-2.88	-10.32	-15.29	-21.45	-23.37	-25.98	-17.27	-28.19	-29.85	-33.33	-34.0	-34.57	-35.4	-25.01	-34.28
region	South Carolina	Residential	0.32	3.03	1.5	1.09	4.04	1.22	-0.71	-0.62	0.91	0.61	-0.83	-1.11	-2.4	-2.88	-1.8	-1.08	0.35	0.51	2.77	-2.07	-1.86	-1.27	-1.06	-0.16	-1.04	-0.56	-1.29	-0.43	1.13	4.36	7.45	8.92	10.19	10.19	7.2	9.03	13.23	15.71	13.72	14.66	13.91	8.93	9.14
subregion	Abbeville County	Retail & recreation		3.77	-1.61	9.23	-1.45	17.28	7.57		7.55	3.22	23.07	27.54	20.99	24.23		18.86	6.44	18.46	14.49	19.75	31.06		9.43	-0.01	18.46	17.39	-0.01	15.15		5.65	-16.14	-32.31	-24.64	-34.57	-33.33		-60.37	-70.97	-40.0	-27.54	-23.46	-34.85	
subregion	Abbeville County	Grocery & pharmacy	-8.13	-11.51	-0.01	-5.64	4.1	-3.21	3.57	6.5	-12.23	19.26	-9.86	16.41	10.89	10.71	9.76	9.35	7.37	2.11	10.44	14.74	7.14	20.32	8.27	24.58	12.31	25.37	21.15	21.42	21.95	27.34	30.73	3.51	19.4	19.22	26.42	1.62	-2.88	-8.2	-0.01	15.67	-0.01	21.42	7.32
subregion	Abbeville County	Parks																																											
subregion	Abbeville County	Transit stations																																											
