Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Utah	Retail & recreation	5.4	17.6	1.06	3.13	4.39	4.23	3.06	11.34	4.93	6.56	10.24	9.61	7.68	5.45	2.11	9.69	10.0	8.56	9.81	6.93	4.65	11.47	7.6	7.67	8.02	10.42	-1.75	-13.39	-6.42	-7.03	-17.82	-26.07	-29.69	-33.42	-39.74	-33.43	-30.86	-32.87	-34.21	-36.0	-38.05	-46.38	-40.89
region	Utah	Grocery & pharmacy	3.13	8.35	4.54	5.72	6.39	9.1	7.01	12.75	8.27	8.74	10.44	11.76	13.81	12.39	7.94	15.78	15.85	15.54	16.5	15.46	13.45	14.91	14.36	14.49	19.19	47.3	44.26	22.54	24.46	30.09	21.6	19.94	7.84	10.38	-1.14	-2.78	-2.23	-4.22	-5.38	-5.32	-4.07	-15.92	-14.2
region	Utah	Parks	-3.12	40.84	20.43	13.75	17.2	25.31	22.29	41.85	6.91	22.41	25.49	36.95	47.82	36.02	-17.42	10.98	34.62	50.27	64.94	61.0	46.66	20.45	37.09	76.87	51.56	64.7	12.4	14.68	68.13	61.61	95.32	13.91	7.61	22.29	47.89	83.7	19.26	27.35	1.36	-1.6	13.67	-1.08	26.35
region	Utah	Transit stations	-8.25	-7.37	2.4	1.33	4.04	4.49	3.57	7.25	4.8	3.23	6.38	7.52	9.87	9.49	4.67	4.85	1.59	6.11	5.42	4.46	6.88	5.41	1.52	-1.73	-0.09	-1.77	-9.5	-8.06	-4.49	-16.58	-22.01	-33.45	-32.76	-35.32	-28.32	-31.49	-36.95	-38.95	-40.32	-42.71	-42.53	-40.37	-43.66
region	Utah	Workplace	-2.93	-39.07	1.67	1.73	1.56	5.85	3.27	2.14	3.26	2.93	2.13	2.14	4.97	3.63	-0.7	2.92	-0.14	1.85	1.88	4.55	3.12	1.34	1.0	1.47	1.0	-0.55	-3.9	-3.01	-19.01	-21.89	-28.01	-42.21	-36.48	-35.02	-19.58	-33.7	-38.68	-41.19	-43.05	-44.03	-40.69	-27.75	-39.9
region	Utah	Residential	0.24	7.15	-0.35	-0.38	-0.35	-0.81	-0.4	-0.98	-0.27	-0.89	-1.29	-1.09	-1.71	-1.6	0.52	-0.68	-0.37	-1.07	-1.08	-1.2	-0.96		-0.1	-0.78	-0.72	-0.12	3.17	3.9	3.64	7.51	10.31	16.96	15.95	15.83	9.64	7.21	15.21	16.76	17.99	19.36	18.27	12.81	10.05
subregion	Beaver County	Retail & recreation			-3.85	18.09	-0.01	19.17	-6.79		12.0	-25.0	6.66	5.16	26.03	18.63		-8.0	-26.93	18.09	25.86	12.32	27.11		3.99	18.26	27.61	32.75	8.22	28.8		23.0	11.54	-6.67	-24.14	-31.51	-10.18	-30.24	-46.01	-53.85	-30.48	-36.21	-57.53	-30.51	-58.14
subregion	Beaver County	Grocery & pharmacy																																											
subregion	Beaver County	Parks																																											
subregion	Beaver County	Transit stations	10.95		1.34	-2.34	14.62	10.52	8.85	13.69	21.04	8.1	-0.01	36.58	28.41	12.65	21.9	26.31	8.1	8.13	32.91	22.09	21.51	24.65	40.34	8.1	13.94	35.35	16.83	21.51	23.28	33.32	24.31	8.13	4.87	-3.17	7.58	-0.01	17.53	10.8	1.15	7.31	-2.12	-2.54	-26.03
subregion	Beaver County	Workplace		-13.34	-0.01	-0.01	-4.17	-4.26			-0.01	-4.17		4.16	-4.26			-0.01	-2.1	-2.05	2.07	-6.39				-0.01	-6.13	-2.1	-21.29			-17.79	-22.93	-18.38	-16.67	-17.03			-11.12	-22.93	-24.5	-25.0	-23.42		
subregion	Beaver County	Residential																																											
subregion	Box Elder County	Retail & recreation	-0.52	20.94	1.25	8.53	10.54	5.6	9.18	13.98	6.28	9.5	15.67	17.41	9.56	7.27	5.69	14.85	11.48	10.09	18.09	11.09	8.71	17.61	11.42	10.59	9.74	14.23	4.45	-5.02	4.91	0.94	-6.29	-15.16	-17.26	-26.53	-25.78	-16.33	-15.82	-21.01	-22.65	-21.45	-30.49	-29.96	-27.99
subregion	Box Elder County	Grocery & pharmacy	-0.01	12.39	5.2	2.21	9.81	5.94	7.85	13.25	3.5	3.56	6.38	11.4	5.02	8.95	3.05	5.38	6.02	8.61	9.27	7.78	4.57	10.87	7.54	8.49	9.71	31.29	27.9	16.37	17.34	15.89	10.67	14.99	-0.81	-2.07	-4.15	-7.83	-5.67	-13.44	-9.45	-13.27	-11.44	-21.19	-24.5
subregion	Box Elder County	Parks																																											
subregion	Box Elder County	Transit stations	-6.97	8.1	9.09	-3.59	1.03	2.39	6.38	6.39	-6.49	2.67	2.56	11.34	7.17	16.49	10.47	-7.03	-2.68	4.1	11.34	7.66	14.89	18.02	3.24	8.55	1.02	6.18	8.61	5.32	9.3	1.62	14.44	9.74	11.34	-3.36	14.89	14.53	1.62	3.21	-2.05	6.69	-9.09	-9.58	-4.65
subregion	Box Elder County	Workplace	0.0	-34.5	0.5	1.2	1.02	3.85	2.66	4.97	2.81	0.84	2.75	4.1	5.39	2.12	1.86	2.64	0.17	2.75	2.39	0.19	0.0	8.07	2.46	1.87	2.92	1.53	0.38	-2.66	-18.02	-15.67	-18.2	-23.36	-27.01	-29.67	-12.23	-26.71	-31.51	-35.37	-34.54	-34.19	-35.26	-21.28	-36.02
subregion	Box Elder County	Residential		5.18	0.14	-0.34	-0.35	0.08			-0.62	-0.53	-1.28	-1.88	-3.03			-1.33	-0.49	-1.49	-1.63	-1.75			-1.41	-0.79	-1.72	-2.12	0.0			3.95	6.35	9.34	11.36	12.25			10.33	13.81	13.1	14.42	14.56		
subregion	Cache County	Retail & recreation	1.58	23.2	0.58	1.84	4.45	1.78	7.77	11.17	2.66	7.85	9.46	7.46	5.42	3.36	-1.7	4.33	8.96	4.92	7.09	-1.43	-2.53	10.49	6.0	9.62	8.27	16.31	4.33	-10.58	-2.6	-1.0	-6.22	-16.1	-24.09	-28.03	-35.65	-24.95	-24.36	-28.27	-28.18	-28.23	-32.32	-40.93	-32.73
subregion	Cache County	Grocery & pharmacy	3.45	10.18	9.63	8.69	6.33	17.97	16.32	23.82	13.52	20.68	16.63	19.96	25.28	15.91	19.12	21.85	26.1	21.27	23.22	22.46	14.4	26.02	24.25	23.29	34.42	70.04	65.39	24.41	41.68	38.51	30.91	30.75	15.92	19.96	0.68	9.39	4.07	2.2	2.32	6.72	4.65	-14.27	-3.45
subregion	Cache County	Parks	-25.35	40.97	-1.57	1.53	10.52	14.07	16.12	9.85	3.27	9.37	16.92	35.08	43.65	38.7	-15.5	8.19	10.94	39.99		49.29	49.46	40.84	18.02	71.87	58.46		87.31	15.05	76.05			38.46	15.78	73.23	95.69	126.75		-0.01	-4.62		60.56	34.4	66.18
subregion	Cache County	Transit stations		1.65	3.16	3.16	4.75	4.33	-1.7		3.33	11.1	6.33	15.86	-4.36	5.08		9.98	23.8	22.21	23.8	15.93	6.77		23.33	25.38	23.8	20.62	23.17	3.38		21.65	11.1	15.86	7.93	17.38	16.94		16.65	4.75	-7.95	9.51	13.04	-6.79	
subregion	Cache County	Workplace	-5.77	-42.36	0.38	0.98	1.91	1.06	1.8	4.74	0.54	-0.77	0.15	0.45	-1.17	-4.67	-8.48	-9.88	-14.65	-11.41	-11.2	-11.94	-9.05	-1.02	-0.32	-0.16	0.3	-0.7	-14.51	-4.4	-22.72	-18.42	-23.37	-27.23	-29.83	-31.9	-10.87	-33.56	-34.82	-36.58	-38.48	-37.89	-38.45	-27.4	-38.65
