Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	West Virginia	Retail & recreation	6.75	4.77	3.22	3.74	1.79	0.3	7.95	8.35	3.63	9.59	13.62	4.77	8.11	12.98	21.81	11.63	19.66	15.77	13.37	0.59	12.1	18.05	12.71	10.84	10.35	11.72	6.64	-0.2	-3.24	-0.84	-4.64	-17.96	-22.19	-30.28	-35.26	-39.84	-33.7	-35.59	-46.1	-39.9	-43.44	-41.91	-37.55
region	West Virginia	Grocery & pharmacy	0.65	-1.72	-1.39	-3.46	-2.54	-7.02	-0.08	3.9	-0.52	1.62	2.71	-2.8	0.19	3.22	13.18	4.3	12.13	5.99	7.56	-4.54	2.83	11.35	7.16	4.73	5.47	17.22	18.59	12.74	10.89	15.92	14.24	9.76	9.55	1.02	5.14	-10.01	-4.8	-11.0	-25.39	-17.75	-23.44	-17.25	-16.11
region	West Virginia	Parks	28.27	14.36	4.86	11.14	-0.18	3.13	42.01	49.98	3.77	9.74	7.36	-8.46	-2.65	4.58	39.95	0.94	9.35	26.46	21.99	-0.17	28.06	89.33	48.57	6.62	22.29	38.37	22.14	23.11	7.98	4.15	7.4	15.87	8.62	14.04	0.55	32.57	-21.93	5.26	-14.94	26.22	2.64	59.81	52.24
region	West Virginia	Transit stations	3.4	3.13	4.59	2.25	2.0	-1.93	2.78	8.64	3.73	2.87	4.88	3.29	2.81	6.96	17.54	4.7	5.93	8.65	7.67	4.92	13.69	25.13	7.25	3.63	7.14	7.67	6.32	4.87	12.56	1.17	-2.12	-3.57	-9.7	-18.98	-16.71	-17.54	-25.49	-22.99	-27.07	-27.97	-35.68	-31.79	-31.42
region	West Virginia	Workplace	0.54	-14.51	0.94	0.61	1.58	1.75	2.88	3.37	2.24	2.17	1.95	-3.32	-0.72	1.81	3.63	2.19	2.58	1.97	2.56	0.35	2.52	3.37	0.1	0.02	-0.25	0.02	-2.58	-1.9	-4.95	-12.93	-15.91	-20.72	-22.62	-26.36	-21.88	-26.83	-33.25	-37.02	-41.92	-41.02	-40.96	-29.58	-32.58
region	West Virginia	Residential	-0.21	4.14	0.04	-0.09	0.56	0.81	-0.68	-0.9	1.23	-0.49	-1.01	2.38	1.06	-0.67	-1.81	0.65	-1.36	-1.32	-0.91	1.72	-0.66	-1.88	0.26	0.06	-0.4	-0.5	1.04	1.69	2.49	5.39	5.57	7.4	9.18	11.74	8.63	7.59	13.91	13.1	16.2	15.01	17.71	9.47	7.95
subregion	Barbour County	Retail & recreation		-2.17	5.88	14.28	-8.48	9.67	14.28			13.72	3.57	-13.57	6.44	8.16			25.49	19.64	16.94	6.44	10.2			11.76	1.79	16.94	14.51	-4.09		-0.01	3.92	-33.94	-42.38	-32.26	-65.3		-36.95	-46.08	-51.79	-42.38	-46.77	-46.94	
subregion	Barbour County	Grocery & pharmacy	7.32	-8.9	-1.14	-2.23	-4.35	2.02	-3.12	8.53	-1.11	7.95	5.55	-3.27	-2.02	-2.08	18.28	3.33	13.63	6.66	10.86	6.06	-1.05	19.51	10.0	-1.14	-1.11	21.73	21.2	9.37	14.63	5.55	18.17	14.44	7.6	10.09	-0.01	-9.76	-3.33	-9.09	-24.44	-13.05	-18.18	-12.51	-8.54
subregion	Barbour County	Parks																																											
subregion	Barbour County	Transit stations																																											
