Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Wisconsin	Retail & recreation	11.57	-6.01	-0.77	-0.61	0.19	2.24	11.24	15.46	1.66	-0.16	3.5	4.58	5.21	13.5	19.38	5.17	6.58	7.75	4.17	5.12	14.0	17.96	0.03	5.64	5.39	5.89	2.39	-4.7	-4.86	-9.53	-19.69	-34.11	-39.42	-40.2	-48.22	-49.77	-36.42	-46.6	-51.84	-51.26	-50.59	-57.8	-54.71
region	Wisconsin	Grocery & pharmacy	5.91	-2.26	-0.08	-0.08	-1.07	-0.32	8.64	9.77	5.35	-0.77	0.72	0.64	0.26	8.61	11.91	5.02	5.07	5.03	1.67	2.3	11.31	12.97	0.66	5.55	6.71	19.17	24.7	22.64	12.54	19.23	14.11	3.19	-3.03	3.41	-4.29	-20.88	-3.61	-16.38	-24.74	-24.28	-22.97	-26.02	-29.93
region	Wisconsin	Parks	34.07	-1.39	17.45	0.26	-1.57	8.5	50.32	65.22	9.27	8.09	6.31	4.8	7.09	28.26	90.24	19.45	15.77	25.68	7.27	14.56	52.28	132.66	-1.18	38.12	15.29	10.59	12.97	2.19	46.67	6.78	57.67	-5.18	-16.0	-5.79	23.44	26.25	24.78	43.35	43.43	15.14	32.67	-25.5	-11.91
region	Wisconsin	Transit stations	-0.61	-6.93	3.33	-0.15	0.14	3.96	8.91	7.55	-1.2	-0.34	0.8	4.35	7.84	10.31	11.03	-0.05	3.82	4.88	4.17	7.97	15.02	14.93	-4.44	4.14	2.56	1.67	2.22	-2.25	-6.83	-16.07	-11.35	-21.17	-26.92	-28.31	-27.82	-38.84	-34.13	-34.97	-36.93	-38.61	-38.7	-46.16	-49.81
region	Wisconsin	Workplace	2.35	-5.47	-0.45	1.75	1.81	1.52	5.38	4.66	3.08	1.74	2.1	2.34	2.2	5.17	4.59	3.61	-0.21	2.5	2.41	3.49	6.4	4.28	2.0	1.27	1.31	0.77	0.2	1.92	-1.47	-12.52	-21.07	-27.91	-31.11	-32.33	-20.42	-27.27	-36.25	-41.15	-44.08	-44.4	-43.45	-30.52	-34.33
region	Wisconsin	Residential	-1.59	2.97	0.45	0.1	0.32	0.75	-1.88	-2.27	-0.25	0.33	-0.29	-0.4	0.2	-2.02	-2.61	-0.45	0.32	-0.86	0.14	0.1	-1.97	-2.33	0.85	-0.17	-0.01	0.68	1.74	2.73	2.27	6.36	9.44	13.52	16.06	18.3	11.95	10.1	15.75	18.65	20.23	21.31	22.96	15.98	12.55
subregion	Adams County	Retail & recreation	2.1	-16.05	-8.14	3.33	1.04	10.06	41.93	6.31	3.7	-3.5	3.33	3.12	11.41	49.18	18.94	12.34	1.16	11.11	19.27	12.07	51.61	27.36	3.7	11.63	24.44	11.45	12.75	29.83	16.84	3.7	-2.33	-35.55	-42.71	-52.35	-42.75	-52.63	-23.46	-39.53	-48.89	-46.88	-46.98	-58.07	-62.1
subregion	Adams County	Grocery & pharmacy	15.7	-0.01	-3.7	1.26	-3.66	-0.01	12.94	12.85	5.12	-8.65	5.06	10.97	8.16	7.05	18.57	15.38	12.34	17.72	12.19	6.12	22.35	32.85	12.82	12.34	13.92	8.53	13.27	22.35	37.14	30.76	14.81	10.12	-1.22	-2.04	4.71	-0.01	11.54	-17.28	-15.2	-15.86	-12.24	-16.47	-15.72
subregion	Adams County	Parks																																											
subregion	Adams County	Transit stations																																											
subregion	Adams County	Workplace	1.43	-0.01	-1.09	1.6	2.16	-2.88	3.84	4.28	-0.01	-1.63	2.15	0.53	-2.3	1.27	4.28	-3.92	-2.71	1.06	1.08	1.72	5.12	5.7	3.34	2.69	1.6	-0.55	-1.16	6.4	5.7	-7.83	-13.52	-23.12	-22.71	-28.17	-23.09	-31.43	-26.83	-31.9	-38.18	-37.3	-37.36	-34.62	-35.72
subregion	Adams County	Residential																																											
