Kind	Name	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
region	Wyoming	Retail & recreation	4.95	2.35	2.09	-0.4	4.7	2.93	7.31	8.36	-1.88	-0.84	7.64	9.01	10.14	12.75	0.09	5.3	10.99	9.09	11.14	8.05	12.78	8.97	9.43	8.65	8.17	5.81	-3.13	-7.08	-4.11	0.61	-7.28	-13.18	-31.16	-37.86	-38.62	-38.12	-28.0	-31.18	-35.16	-36.2	-41.67	-43.61	-37.22
region	Wyoming	Grocery & pharmacy	1.9	1.6	4.41	0.37	4.81	7.0	9.19	8.05	3.74	2.48	8.74	7.32	12.11	13.29	2.74	8.42	14.24	12.5	12.27	12.24	14.85	10.2	16.14	15.4	15.59	25.51	29.27	20.44	16.76	33.28	27.16	21.38	4.22	7.06	4.31	-6.55	2.98	-0.38	-5.88	-6.51	-8.08	-12.09	-13.2
region	Wyoming	Parks	-0.38	2.21	2.87	-2.04	4.01	13.9	15.84	6.98	-0.89	-4.54	1.62	4.41	20.29	10.22	-20.97	0.44	2.87	6.9	18.47	31.94	39.26	2.93	18.66	15.22	16.25	4.41	-1.51	-14.52	2.93	15.54	24.27	15.84	-26.52	-16.55	18.81	9.18	32.88	11.52	-0.41	12.04	-3.76	-8.92	29.4
region	Wyoming	Transit stations	-11.95	6.3	5.27	-2.36	5.99	16.39	14.45	-0.33	-3.15	-3.24	4.55	9.22	16.88	18.77	-13.26	-18.15	-17.89	9.89	8.41	15.58	20.93	4.42	7.59	8.17	6.28	9.7	3.24	7.63	-0.33	3.14	3.57	-1.73	-26.54	-8.12	9.3	-10.97	-3.89	-8.69	-12.09	-14.08	-13.48	-7.14	-14.41
region	Wyoming	Workplace	0.57	-25.56	3.03	1.61	1.43	3.51	3.76	3.24	2.82	0.46	2.43	1.91	2.85	1.74	1.04	4.16	4.19	3.19	2.03	2.85	4.25	2.19	3.93	3.42	1.58	0.34	-3.31	-2.12	-3.13	-16.37	-19.06	-23.44	-29.14	-28.89	-21.24	-26.24	-30.27	-32.94	-34.76	-35.75	-34.9	-27.51	-29.25
region	Wyoming	Residential	0.11	6.33	-0.17	0.24	-0.25	-0.51	-1.4	-0.25	1.17	2.6	-0.61	-0.81	-1.54	-2.19	1.57	-0.0	-0.69	-0.83	-1.08	-1.08	-2.51	-0.13	-1.03	-1.04	-1.3	0.09	2.91	3.35	1.72	4.16	6.02	7.48	14.48	15.29	8.87	7.87	10.53	12.59	13.86	14.56	17.0	11.4	8.27
subregion	Albany County	Retail & recreation	8.9	5.06	5.21	2.43	11.72	11.89	17.99	11.52	2.41	0.22	9.95	15.34	16.6	14.01	1.3	8.69	9.07	13.27	19.61	16.08	19.2	15.65	16.41	11.33	14.82	23.87	6.12	-0.87	-0.23	6.04	1.81	-7.53	-28.79	-37.76	-37.54	-35.65	-24.64	-28.8	-33.85	-32.62	-47.55	-45.85	-41.52
subregion	Albany County	Grocery & pharmacy	-7.05	-3.4	10.76	-6.35	-0.01	-3.7	-2.47	-4.23	1.69	-7.69	3.17	1.49	16.04	3.7	-11.27	18.63	6.15	14.28	2.98	11.11	12.34	-4.23	15.24	6.15	12.7	37.31	28.39	17.28	4.22	33.89	29.23	30.15	8.95	-2.47	-4.94	-12.68	10.16	-0.01	-7.93	-14.93	-18.52	-27.17	-26.76
subregion	Albany County	Parks																																											
subregion	Albany County	Transit stations	-40.44	18.96	5.51	-5.51	10.17	29.02	18.12	-0.01	-1.47	4.29	10.98	19.75	27.09	22.21	-18.04	-46.72	-61.97	12.63	11.96	18.05	25.72	2.18	8.02	8.57	8.78	24.54	21.93	35.08	3.82	5.83	10.42	1.09	-12.58	29.67	39.76	-1.65	8.75	7.96	-4.4	-4.8	6.44	18.7	1.09
subregion	Albany County	Workplace	-1.01	-13.58	10.32	8.34	7.49	11.6	3.24	6.05	9.77	7.9	7.45	8.69	12.89	-4.88	-1.01	11.34	10.63	9.24	8.69	10.96	-1.64	3.02	13.87	11.54	10.14	7.49	2.89	-10.58	-10.11	-22.1	-25.84	-33.14	-35.74	-36.78	-25.21	-29.3	-34.39	-37.7	-39.11	-39.64	-40.98	-28.46	-29.3
subregion	Albany County	Residential		4.83	-0.85	-0.63	-2.1	-1.72			0.58	1.96	-0.63	-1.76	-2.46			-0.06	-1.33	-1.17	-2.23	-2.02			-1.4	-1.46	-1.83	-1.56	0.86			4.69	6.32	8.92	17.21	18.28			13.51	15.58	16.73	16.0			
subregion	Big Horn County	Retail & recreation			-2.28	4.24	-4.56	-11.12	-11.89			-4.56	-4.26		1.84	4.94				6.38		-1.86	-24.76			-2.28	4.24		-0.01	-32.68			-6.82	-12.77	-28.42	-38.89	-44.56			-63.64	-41.49	-34.1	-33.34	-34.66	
subregion	Big Horn County	Grocery & pharmacy				7.99		14.28	17.85				7.99	10.63	5.35	14.28				15.99		7.13	-1.79				15.99		26.78	14.28				21.99		14.28	12.49				-0.01	10.63	12.49	1.77	-6.82
subregion	Big Horn County	Parks																																											
subregion	Big Horn County	Transit stations																																											
subregion	Big Horn County	Workplace		-9.33	5.2	3.84	-1.26	8.21			7.99	3.89	8.97	-6.33	-1.38			3.99	9.09	8.97	0.0	-9.59			7.99	6.49	5.13	2.53	-4.11			-12.0	-10.4	-16.67	-15.2	-13.7			-22.66	-24.68	-25.64	-25.32	-28.77		
subregion	Big Horn County	Residential																																											
subregion	Campbell County	Retail & recreation	1.32	-2.64	-0.01	0.28	5.06	8.94	7.96	8.96	-10.58	-9.95	8.28	7.52	15.57	9.5	4.55	9.24	6.82	11.37	12.73	13.4	13.08	2.34	10.13	10.37	8.71	5.61	3.13	-10.11	-7.05	-1.77	-1.0	-6.6	-18.36	-23.55	-32.35	-36.42	-20.86	-26.57	-30.2	-30.41	-31.52	-36.51	-32.38
subregion	Campbell County	Grocery & pharmacy	9.16	2.04	7.94	5.95	7.94	11.18	15.67	26.59	-3.41	-13.92	9.26	17.21	13.04	11.93	6.42	6.12	2.65	7.28	11.91	16.14	14.17	10.08	24.48	13.24	17.21	19.86	27.33	19.4	27.51	27.21	26.49	16.55	8.61	22.98	20.89	9.16	10.88	3.31	-10.6	-7.29	-6.22	-11.19	-1.83
subregion	Campbell County	Parks																																											
subregion	Campbell County	Transit stations	-4.56	-7.55	-13.22	-8.48	-0.01	17.85	9.98		-13.22	-15.11	-6.79	12.49	14.27	11.99	-4.56	-3.78	9.43	-13.57	7.13	24.99	9.98		-5.67	3.77	-1.7	-1.79	-3.58	-10.01		-7.55	-0.01	-10.18	-21.44	-10.72	15.99		-16.99	-0.01	-23.74	-17.86	-14.3	-14.01	-6.83
subregion	Campbell County	Workplace	-4.84	-21.67	0.73	-0.73	1.45	1.26	-1.14	4.13	1.5	-20.16	3.1	3.39	4.05	1.12	4.13	4.78	6.38	4.3	3.39	4.56	1.12	-0.01	6.54	4.41	3.1	1.69	2.28	-3.97	-3.46	-14.11	-16.97	-20.11	-22.34	-23.62	-18.09	-18.63	-26.96	-28.26	-31.58	-32.28	-32.49	-24.3	-22.07
subregion	Campbell County	Residential		6.54	-0.29	0.22	-0.19	-1.3			4.88	12.02	-0.03	-0.73	-2.59			-0.14	-0.77	0.15	-1.25	-2.23			-0.65	-1.37	-1.31	1.64	1.01			5.8	5.45	7.1	13.09	12.22			12.06	11.85	15.01	15.54	16.74		
subregion	Carbon County	Retail & recreation	-8.34	-0.69	8.38	6.26	1.79	15.69	-2.89	7.57	-9.53	1.28	0.29	-3.02	22.08	-1.16	-5.31	-2.73	14.83	5.06	12.64	16.85	12.63	13.63	9.51	13.22	10.43	27.7	15.4	5.74	13.63	11.56	4.51	-5.68	-19.89	-25.0	-23.57	-22.73	-29.94	-35.49	-39.11	-37.96	-36.64	-37.94	-29.55
subregion	Carbon County	Grocery & pharmacy	-4.7	6.05	9.22	1.44	14.07	2.49	-0.01	4.68	4.54	7.68	-2.9	-1.42	10.0	5.18	-10.94	4.54	12.3	11.58	1.4	4.99	-3.9	6.25	15.15	18.45	10.14	29.57	18.74	12.98	15.62	28.78	39.99	23.18	-0.01	18.74	6.49	-9.38	-0.01	-3.08	-0.01	-9.87	-15.01	-9.09	-14.07
subregion	Carbon County	Parks																																											
subregion	Carbon County	Transit stations	-47.67	5.47	7.28	-13.72	9.03	39.69	8.69	1.16	-14.85	-4.63	2.29	10.32	38.16	18.01	-21.52	-68.75	-71.52	15.43	12.26	41.21	21.12	4.07	7.81	7.28	9.14	17.42	24.43	26.08	1.16	9.37	7.28	-3.43	-17.42	14.5	32.29	-3.48	6.25	3.97	-8.0	-12.25	17.55	7.45	-15.12
subregion	Carbon County	Workplace	-1.96	-16.53	3.19	0.0	-0.77	6.78	5.09	-1.96	4.12		2.26	0.0	0.84	3.39	1.96	0.82	-2.4	3.03	-3.85	-3.39	-1.69	7.84	7.44	3.99	0.0	0.77	-2.54	-3.39	0.0	-9.91	-14.4	-18.95	-20.0	-22.88	-22.04	-25.5	-25.62	-26.4	-31.06	-29.24	-31.35	-33.9	-35.29
subregion	Carbon County	Residential																																											
subregion	Converse County	Retail & recreation	-8.0	-13.85	-5.14	-7.93	-2.65	-8.34	0.73	-9.01	-13.09	-8.91	-0.7	9.26	-0.01	9.42	-17.0	-13.09	4.79	2.76	5.3	-0.01	14.49	1.0	6.15	-2.06	-9.31	-15.24	-13.7	-15.22	-19.0	-21.54	-25.34	-28.28	-37.75	-48.81	-44.92	-40.0	-36.16	-40.41	-40.0	-49.0	-50.6	-44.92	-42.01
subregion	Converse County	Grocery & pharmacy	-5.32	-6.73	-0.97	-5.61	2.86	14.03	11.88	13.82	8.65	3.89	5.6	19.04	23.68	25.74	14.88	10.58	21.36	18.69	27.61	19.29	15.83	12.76	15.38	18.44	15.88	25.71	21.05	17.81	15.96	27.88	30.09	22.43	4.76	0.88	16.83	4.26	11.54	10.67	-3.74	10.47	-0.88	-0.01	-3.19
subregion	Converse County	Parks																																											
subregion	Converse County	Transit stations																																											
subregion	Converse County	Workplace	-10.21	-23.21	2.39	1.57	-0.81	-2.58	5.45	-10.21	-6.4	-0.81	-0.79	-1.6	-12.83	-5.46	-8.18	1.59	1.59	2.35	3.2	-2.58	-0.01	-2.05	1.59	1.59	1.57	-4.01	-9.41	-3.65	-8.18	-19.21	-20.81	-18.9	-28.01	-24.79	-16.38	-18.38	-27.21	-29.61	-29.93	-30.4	-29.07	-20.01	-22.46
subregion	Converse County	Residential																																											
subregion	Crook County	Retail & recreation																																											
subregion	Crook County	Grocery & pharmacy																																											
subregion	Crook County	Parks																																											
subregion	Crook County	Transit stations																																											
subregion	Crook County	Workplace										-34.15																				-11.92	-29.28	-19.53	-26.2				-33.34	-31.72	-29.28	-38.1			
subregion	Crook County	Residential																																											
subregion	Fremont County	Retail & recreation	10.79	8.86	5.97	4.66	10.26	0.57	6.74	14.81	9.69	11.94	17.02	25.45	26.3	20.86	8.64	29.63	34.28	19.57	13.17	7.54	12.39	26.54	21.6	16.62	11.89	6.91	3.09	-1.31	6.47	8.03	-4.68	-13.52	-25.0	-33.47	-35.87	-30.86	-25.49	-28.05	-35.2	-37.73	-38.5	-37.17	-30.56
subregion	Fremont County	Grocery & pharmacy	2.11	-2.03	-2.01	-7.02	-1.4	-2.51	-0.01	-2.12	5.08	1.0	-0.47	4.63	7.11	16.1	5.73	10.15	7.0	9.34	5.55	-5.44	2.92	12.98	7.1	10.0	8.41	16.2	14.22	19.51	22.66	26.39	10.99	7.0	2.77	-2.93	-4.39	-9.37	-8.63	-9.5	-16.35	-16.21	-17.15	-17.81	-16.62
subregion	Fremont County	Parks																																											
subregion	Fremont County	Transit stations																																											
