names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso,start_date,end_date,interval,pred_date,outcome_name
transit_stations_percent_change_from_baseline,-1.822074343066517,0.0006386896681980851,Stations Percent Change From Baseline,0.146878600015805,0.018832391713747645,Transit,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
snowDepth,-6.814034864834059,0.10554809380010655,,0.06977644858117621,0.224105461393597,Snowdepth,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
grocery_and_pharmacy_percent_change_from_baseline,4.558677998371087,3.765743890925474e-12,And Pharmacy Percent Change From Baseline,0.29908253792949,0.24858757062146894,Grocery,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
deaths,30.060855498883377,0.004945455330133537,,0.11765553408229124,0.3314500941619586,Deaths,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
cldCvrMin,0.4190457280697295,0.6098988915745069,,0.02492045087205094,0.7137476459510358,Cldcvrmin,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
snowfall,22.426627011204374,0.708727853998345,,0.01564043127608199,0.1694915254237288,Snowfall,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
presTendAvg,-39.5312562519947,0.6908644959643444,,0.015870715393271083,0.4124293785310734,Prestendavg,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
windSpdMin,10.708354622142394,0.023675358351950195,,0.092292604536313,0.9868173258003766,Windspdmin,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
parks_percent_change_from_baseline,0.4209147624387492,0.06953969166431635,Percent Change From Baseline,0.07672326198402417,0.5536723163841808,Parks,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
spcHumMin,-6.487626043100681,0.022859918276739378,,0.09953496586145602,1.0,Spchummin,2020-05-01 21:16:52.616682,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136687,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0,0,4,4,11,cases
