names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso
spcHumMin,-17.75693392903666,0.008402991419512002,,0.049825445202833156,1.0,Spchummin,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
presTendAvg,-666.433763212729,0.30171524785656545,,0.017177359137813545,0.2690677966101695,Prestendavg,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
snowfall,-381.4918353864647,0.03910576667924934,,0.03415719636304531,0.2923728813559322,Snowfall,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
windSpdMin,49.05717501053364,0.0006770472710814285,,0.05736322248463949,1.0,Windspdmin,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
grocery_and_pharmacy_percent_change_from_baseline,6.8252257237152,0.00011695941853664863,And Pharmacy Percent Change From Baseline,0.0635978048127801,0.09110169491525423,Grocery,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
parks_percent_change_from_baseline,-1.6107629457244672,0.00222946246007957,Percent Change From Baseline,0.054937424782823756,0.5720338983050848,Parks,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
deaths,-36.41408463666426,2.6775095521351693e-05,,0.08019100141523526,0.815677966101695,Deaths,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
precip,94.6659189357983,0.7442552766994089,,0.006213158564875383,0.9915254237288136,Precip,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
cases,6.226419233187413,1.2330391036514754e-95,,0.6106599895206134,1.0,Cases,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
cldCvrMin,-2.829696894675926,0.27057992741110426,,0.02265882187349247,0.8919491525423728,Cldcvrmin,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
snowDepth,1.7666698522629052,0.837803780555008,,0.0032185758418481853,0.336864406779661,Snowdepth,2020-04-29 17:36:55.543358,gaussian,identity,0_14_21,Day 21 Delta Cases,472,14,12,189942.63923517932,196.42987767267334,2199.8913986153266,0.6767568407591136,435.8240920775024,0.0
