names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso,start_date,end_date,interval,pred_date,outcome_name
cases,2.748426559392446,1.5277423484522844e-50,,0.5332422006457738,1.0,Cases,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
presTendAvg,-41.69115271562135,0.4826884254407714,,0.02136280922001614,0.3522935779816514,Prestendavg,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
precip,85.05278531320181,0.0417418956512759,,0.07126042474039564,0.9431192660550459,Precip,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
spcHumMin,-1.5317550873667654,0.1898174018308001,,0.043479751320459274,1.0,Spchummin,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
parks_percent_change_from_baseline,0.06214346790333206,0.49943561582766305,Percent Change From Baseline,0.021352804714942566,0.5724770642201835,Parks,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
cldCvrMin,-0.3418045213802839,0.39668285347552146,,0.030982334534197527,0.7834862385321101,Cldcvrmin,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
snowfall,-19.500698376059635,0.32273568061593216,,0.02975035551163325,0.21834862385321102,Snowfall,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
grocery_and_pharmacy_percent_change_from_baseline,1.0371631138810768,6.355883697695579e-05,And Pharmacy Percent Change From Baseline,0.11924707917335482,0.1724770642201835,Grocery,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
windSpdMin,6.67058914686402,0.0018573020067681784,,0.09086154895612651,0.998165137614679,Windspdmin,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
deaths,4.0645412021014735,0.18338997295263904,,0.038460691183100325,0.5192660550458715,Deaths,2020-05-03 17:50:33.934445,gaussian,identity,0_7_10,Day 10 Delta Cases,545,14,11,1759.1455118650138,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
